"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925258759917469731""","معالي الوزير في طفلة اسمها "" اية بلوق"" تم خطفها بوضح النهار من منطقة  الزبلطاني ، دمشق منذ عدة ايام 
وحيدة لوالدتها بعد 15 سنة انتظار او عدم قدرة على الإنجاب.

تعديل: تم تأكيد مقتل الملاك اية 
هل ممكن المحاسبة وتعويض الام، رغم انه يصعب ذلك أبدا 💔

#سوريا_الان 
#آية_بلوق https://t.co/reG2SdqFHw","Tweet","Mustafa 🇺🇸","BackoMustafa","5/21/2025, 9:33:52 PM","0","0","0","0","1","0","ar","No","Twitter for iPhone","#سوريا_الان, #آية_بلوق","https://x.com/BackoMustafa/status/1925258759917469731","photo","https://pbs.twimg.com/media/GrfixAdW8AALEtI.jpg",""
"=""1925156427208749541""","تشرفت اليوم باستقبال وفد من محافظة حلب برئاسة محافظ حلب السيد ""عزام الغريب"" وجرى خلال اللقاء بحث عدد من القضايا الأمنية والإدارية وسبل تعزيز التنسيق بين وزارة الداخلية والمحافظة لخدمة أهلنا في حلب. https://t.co/f7vSnBbgNk","Quoted tweet","أنس حسان خطاب","Anas_Khatab_sy","5/21/2025, 2:47:14 PM","69","54","5","1371","37143","7","ar","No","Twitter for Android","","https://x.com/Anas_Khatab_sy/status/1925156427208749541","photo","https://pbs.twimg.com/media/GreHkNJXAAA-XtC.jpg, https://pbs.twimg.com/media/GreHkREWcAAePFg.jpg, https://pbs.twimg.com/media/GreHkTjWgAAAnSD.jpg, https://pbs.twimg.com/media/GreHkXFWcAANhr_.jpg",""
"=""1925258586562674892""","@mcgui12 🔴 فيديو يوثق لحظة اختطاف الطفلة آية بلوق (ثلاث سنوات) من قبل طفلة أخرى في منطقة الزبلطاني في دمشق.٠ https://t.co/8aOGtubQ4B","Reply","Lebanon","Lebanon_009613","5/21/2025, 9:33:11 PM","0","0","0","0","1","0","ar","No","Twitter for iPhone","","https://x.com/Lebanon_009613/status/1925258586562674892","video","https://video.twimg.com/amplify_video/1925258450176458752/vid/avc1/360x640/uNNyxuVNEGnvYJ6n.mp4?tag=21",""
"=""1925258270723199425""","@nur_al_yasmin @AbuAlfurat772 🔴 فيديو يوثق لحظة اختطاف الطفلة آية بلوق (ثلاث سنوات) من قبل طفلة أخرى في منطقة الزبلطاني في دمشق.٠ https://t.co/L0Q7r9OQF3","Reply","Lebanon","Lebanon_009613","5/21/2025, 9:31:55 PM","0","0","0","0","4","0","ar","No","Twitter for iPhone","","https://x.com/Lebanon_009613/status/1925258270723199425","video","https://video.twimg.com/amplify_video/1925258183007698944/vid/avc1/360x640/DpMTaTgAEcywtKxQ.mp4?tag=21",""
"=""1925257646468174144""","لا يمكن لعصابة تستخدم الاطفال لأختطاف اطفال اصغر منهم سناً ومن ثم قتلهم بعيدة عن اعين الامن في دمشق وربما تحظى بغطاء سياسي من الحكومة السورية لأن الحكومة بالأصل قامت على دماء الابرياء
#آية_بلوق 
#الجولاني_يقتل_الشعب_السوري https://t.co/VVtM4Ko4O6","Tweet","الثائر ألأممي","MouradAK2","5/21/2025, 9:29:27 PM","0","2","0","9","62","0","ar","No","Twitter for Android","#آية_بلوق, #الجولاني_يقتل_الشعب_السوري","https://x.com/MouradAK2/status/1925257646468174144","photo","https://pbs.twimg.com/media/GrfjoHwX0AA2HFg.jpg",""
"=""1925254300332179463""","🚨العثور على جثـ.ة الطفلة ""آية بلوق"" في الزبلطاني بدمشق وذلك بعد عدة أيام على خبر اختـ.طافهانعم 💔 مقتوله وخالية الاعضاء بالكامل!
ما ذنب طفلة عمرها ثلاث سنوات ان تخطف وتقتل!!
 آية بلوق ""  بالجنة ""
إن لله وإن إليه راجعون 🙏💔","Reply","Sam","AdamIsa196812","5/21/2025, 9:16:09 PM","0","0","0","3","22","0","ar","No","Twitter for Android","","https://x.com/AdamIsa196812/status/1925254300332179463","","",""
"=""1925251707983761464""","العثور على جثة الطفلة آية بلوق البالغة من العمر ٣ سنوات في منطقة الزبلطاني بعد ٤ ايام من خطفها 
وجدت مقتولة ومسروقة الأعضاء 
خلق بناء الهجرة والجوازات

يذكر انها خطفت من امام احد المراكز التجارية
وقد رصدت لها صورة قبيل خطفها بكاميرات المراقبة https://t.co/2rVCzvobIf","Tweet","Eng . Khalil Mokhaimr 🇸🇾🇸🇾🇸🇾","khalilmokhaimr","5/21/2025, 9:05:51 PM","0","0","0","2","66","0","ar","No","Twitter for iPhone","","https://x.com/khalilmokhaimr/status/1925251707983761464","photo","https://pbs.twimg.com/media/GrfeN-lXgAErpL_.jpg",""
"=""1925251477993300403""","آية بلوق.
طفلة لم تُكمل طفولتها، اختُطفت، ثم عُثر عليها جثةً هامدة داخل سيارة في الزبلطاني – دمشق.
جريمة لا يسعنا تصنيفها إلا بأنها طعنة في قلب الإنسانية، مشهد لا يمكن تصديقه ولا تحمله.

أي قسوة تلك التي تجردت من كل مشاعر الرحمة؟
أي ظلام يسكن قلب من يسرق روحاً بريئة كهذه؟
#دمشق https://t.co/nfHfgNMq18","Tweet","AL-Kholoud Hasan","kholoudahassan","5/21/2025, 9:04:56 PM","0","0","0","3","122","0","ar","No","Twitter for iPhone","#دمشق","https://x.com/kholoudahassan/status/1925251477993300403","photo","https://pbs.twimg.com/media/Grfd_rxXQAAyA0s.jpg, https://pbs.twimg.com/media/Grfd_rtWAAAuhdb.jpg",""
"=""1925252354204369222""","فليمضِ كل هذا العالم إلى الجحيم…
حين تُخطف آية بلوق وتُغتصب وتقتل ويسرقون جميع اعضائها والعالم يصمت ويتواطأ أو يتظاهر بأنه لا يرى 
أي عالم هذا الذي يترك اطفال تُذبح دون أن يرتجف؟ اين ماحل الارهاب فهم منظمات بريطانية اميركية لتجارة الاعضاء 
#آية_بلوق #سوريا #الارهاب_ذبح_سوريا","Tweet","Noha.🕊️","NohaAkk","5/21/2025, 9:08:25 PM","2","0","0","6","99","0","ar","No","Twitter for iPhone","#آية_بلوق, #سوريا, #الارهاب_ذبح_سوريا","https://x.com/NohaAkk/status/1925252354204369222","","",""
"=""1925242737550348751""","عثر عليها منزوعة الأعضاء 😢","Quoted tweet","Majd","Majd_elarabi","5/21/2025, 8:30:12 PM","12","8","4","90","2378","2","ar","No","Twitter for Android","","https://x.com/Majd_elarabi/status/1925242737550348751","","",""
"=""1925254011298468253""","خبر شكل صدمة مدوية..
وفاة الطفلة ""آية بلوق"" التي خطفت منذ أيام على يد مجهول
#تلفزيون_سوريا #نيو_ميديا_سوريا https://t.co/XwpAic7Qot","Tweet","تلفزيون سوريا","syr_television","5/21/2025, 9:15:00 PM","2","1","0","9","1605","1","ar","No","Twitter Media Studio","#تلفزيون_سوريا, #نيو_ميديا_سوريا","https://x.com/syr_television/status/1925254011298468253","video","https://video.twimg.com/amplify_video/1925240938122944512/vid/avc1/1080x1350/UQS3-z2Wx6guUjsg.mp4?tag=16",""
"=""1925253560310067406""","خالص التضامن مع أسرة الطفلة الضحية ""آية بلوق"" التى تم اختطافها منذ أيام و عثر عليها اليوم مقتولة.لماذا لا أسمع أصوات استنكار و تضامن من مدعي الإنسانية أو مدعيات النسوية؟ هل لإن الطفلة سنية ربما؟ 
ملاحظة: التفلت الأمني الحاصل يتحمل مسؤوليته الحكومة قبل أي أحد آخر
#سوريا #آية_بلوق https://t.co/T6HcPzuLZd","Tweet","Moussa","Moussakar1P","5/21/2025, 9:13:12 PM","0","0","0","0","71","0","ar","No","Twitter for iPhone","#سوريا, #آية_بلوق","https://x.com/Moussakar1P/status/1925253560310067406","photo","https://pbs.twimg.com/media/Grff6FnXsAAG8TG.jpg",""
"=""1925250282369520004""","@k7ybnd99 الفديو عبارة عن جريمتين بنت صغيره كأن حدا مهددها تجيب آية الله واعلم كمان الخاطف شو عامل معها وشو مهددها وعاملها اداة خطف يمكن كمان البنت التانيه مخطوفه الله يرحم اية بلوق ويتغمدها برحمته ويصبر أهلها يارب لازم السلطات تتحرك قبل مايصير جريمة مشابهة بغير طفل","Reply","Orkidya12453ay","orkidya12453ay","5/21/2025, 9:00:11 PM","0","0","0","0","23","0","ar","No","Twitter for iPhone","","https://x.com/orkidya12453ay/status/1925250282369520004","","",""
"=""1925249194131968025""","ببن آية بلوق شهيدة دمشق ومينيسا حسن شهيدة بانياس سقط الوطن 💔💔💔 https://t.co/vL7RNNWve3","Tweet","ابو اليان","aboeleanggyyttd","5/21/2025, 8:55:51 PM","0","0","0","1","25","0","ar","No","Twitter for Android","","https://x.com/aboeleanggyyttd/status/1925249194131968025","photo","https://pbs.twimg.com/media/Grfb7HVXcAIQwYk.jpg, https://pbs.twimg.com/media/Grfb8IHXwAACcGz.jpg",""
"=""1925248325961269682""","تخيلوا أم تنجب بعد ١٥ سنة انتظار، ثم تُفجع بابنتها #آية_بلوق مقتولة بعد خطفها في سوق بـ #دمشق.
جريمة تهز القلوب، والأبشع أن طفلة أُخرى استُعملت طُعماً لاستدراجها!
القصاص العلني لهؤلاء المجرمين مطلب كل سوري... حتى لا تُكرّر هذه الفاجعة. https://t.co/KJXcmIS1XC","Tweet","Maimouna  Khotaba","MaimounahK","5/21/2025, 8:52:24 PM","1","2","1","16","282","0","ar","No","Twitter for Android","#آية_بلوق, #دمشق","https://x.com/MaimounahK/status/1925248325961269682","photo","https://pbs.twimg.com/media/GrfbJiyXUAAAkYW.jpg, https://pbs.twimg.com/media/GrfbJihWgAA5hJo.jpg",""
"=""1925244020055265545""","اليوم الأربعاء 21 أيار 2025
جرى العثور على جثة الطفلة آية بلوق، البالغة من العمر ثلاث سنوات، مقتولة داخل سيارة في سوق الهال بدمشق، وذلك بعد أربعة أيام من اختفائها
وكانت الطفلة قد أختُطفت بتاريخ 17 أيار من منطقة الزبلطاني، في حادثة أثارت ضجة واسعة على مواقع التواصل الاجتماعي
 
ومن https://t.co/BXYvj9UYNd","Tweet","المدونة السورية","Syrian_Blog","5/21/2025, 8:35:18 PM","0","0","0","0","209","1","ar","No","Twitter for Android","","https://x.com/Syrian_Blog/status/1925244020055265545","photo","https://pbs.twimg.com/media/GrfXO6ZXgAArUfI.jpg",""
"=""1925242911530131950""","آية بلوق، الطفلة التي كانت تملأ حياتنا ضحكًا وبراءة، عُثر على جثتها في الزبلطاني بدمشق بعد اختفائها، وقد نُزعت منها أعضاؤها، لتتحول من روح بريئة إلى مأساة موجعة تهز القلوب.
ننشر هذا الحدث لنطالب بالعدالة، وكشف المجرمين ومحاسبتهم على ما فعلوا.
كل التعازي لعائلتها.
#العدالة_لآية https://t.co/sNIMYzJedC","Tweet","أبو هادي Abu Hade","hI4ybyLNdCdM0K0","5/21/2025, 8:30:54 PM","0","0","0","0","52","0","ar","No","Twitter for Android","#العدالة_لآية","https://x.com/hI4ybyLNdCdM0K0/status/1925242911530131950","photo","https://pbs.twimg.com/media/GrfWOapWUAAF419.jpg, https://pbs.twimg.com/media/GrfWObPXoAA5xog.jpg",""
"=""1925240833248199059""","العثور على جثـة الطفلة ""آية بلوق"" مقـتولة في الزبلطاني #بدمشق وذلك بعد عدة أيام على خبر اختـطافها https://t.co/It8BoX5e3o","Tweet","بنت سوريا الحرة 💚","a_s_dll","5/21/2025, 8:22:38 PM","0","0","0","0","46","0","ar","No","Twitter for Android","#بدمشق","https://x.com/a_s_dll/status/1925240833248199059","photo","https://pbs.twimg.com/media/GrfUVblW8AAOKax.jpg",""
"=""1925240497779442012""","سوريا في ظل حكم عصابات #الجولاني الإرهابية   العثور على جثة الطفلة ""آية بلوق"" في الزبلطاني بدمشق، وذلك بعد عدة أيام على خبر اختطافها.  (وَإِذَا الْمَوْءُودَةُ سُئِلَتْ بِأيّ ذَنْبٍ قتلَتْ)   #الكلية_العسكرية","Tweet","عباس الكعبي","Abbas_AlKaabi4","5/21/2025, 8:21:18 PM","0","0","0","0","27","0","ar","No","Twitter Web App","#الجولاني, #الكلية_العسكرية","https://x.com/Abbas_AlKaabi4/status/1925240497779442012","","",""
