"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925267017528901930""","@SomiAsla نفس سيناريو الانقلاب على  الرئيس مرسي   يسوونه مع  فخامه الرئيس احمد الشرع. عيال الرقاصات زعلانين  عشانه حليف السعودية https://t.co/6dhIaUF392","Reply","الشرعاني |🇸🇦","fwowf87","5/21/2025, 10:06:41 PM","0","0","0","0","","0","ar","No","Twitter for iPhone","","https://x.com/fwowf87/status/1925267017528901930","photo","https://pbs.twimg.com/media/GrfsJUqWkAAcj7p.jpg, https://pbs.twimg.com/media/GrfsJUpWwAEDy3G.jpg",""
"=""1925266920434983036""","@ammamaiii رسالة إلى الادراة السورية الجديدة وعلى رأسهم سيادة الرئيس أحمد الشرع 
هيبة الدولة الآن على المحك في السويداء وشرق سوريا 🇸🇾 اذا ما استمر هذا الوضع سينتشر التمرد في جميع أنحاء البلاد","Reply","المركون B52","almrkwn489643","5/21/2025, 10:06:18 PM","0","0","0","0","1","0","ar","No","Twitter for Android","","https://x.com/almrkwn489643/status/1925266920434983036","","",""
"=""1925266517106573696""","@damas_ksaa تحررت سوريا وقطعت يد ايران واذنابها من المنطقة بفضل الله ودماء الشهداء رحمة الله تغشاهم

تحت ظل الزعيم #أحمد_الشرع حفظه الله ورعاه https://t.co/15E7bXcvDg","Reply","Hussein Alkhateeb🪃🇸🇾","3wrck","5/21/2025, 10:04:42 PM","0","0","0","1","4","0","ar","No","Twitter for iPhone","#أحمد_الشرع","https://x.com/3wrck/status/1925266517106573696","photo","https://pbs.twimg.com/media/Grfrrv2WIAAtDwx.jpg",""
"=""1925266477084475632""","@mazen00711 عندما عرض اعلام الكيان مقتنيات  الجاسوس وقال انه وجده  اتهمت الحكومة السورية هي من عملت صفقة مع الكيان 
صدقني خطاب الجولاني بالامس ليس كخطاب احمد الشرع اليوم 
اقول للتاريخ مهما تنازلتم للعدو وتبررون الضعف 
ولن تجد احسن من الله قيلا وحديثا 
لن ترضى عنك اليهود ولا النصارى حتى تتبع","Reply","أبو عبيدة زعيم الامة الاسلامية","bwbyd8667724723","5/21/2025, 10:04:32 PM","0","0","0","0","2","0","ar","No","Twitter for Android","","https://x.com/bwbyd8667724723/status/1925266477084475632","","",""
"=""1925266447896391963""","يبدو انهم يحتاجون لفته كريمة من أحمد الشرع لان كذا كثير مره","Tweet","🇸🇦layan","lay5nii","5/21/2025, 10:04:25 PM","0","0","0","0","3","0","ar","No","Twitter for iPhone","","https://x.com/lay5nii/status/1925266447896391963","","",""
"=""1925250227323257136""","قامت مجموعة ارهابية من الدروز الخارجين عن القانون بالإعتداء على محافظ السويداء ""مصطفى بكور"" في مكتبه، حيث قاموا بضربه وسرقوا مقتنيات المكتب، لاجبار المحافظ على مغادرة محافظة السويداء ويتجه إلى دمشق https://t.co/QHRfl1lcY4","Quoted tweet","عمر مدنيه","Omar_Madaniah","5/21/2025, 8:59:58 PM","359","215","16","1917","72006","44","ar","No","Twitter for iPhone","","https://x.com/Omar_Madaniah/status/1925250227323257136","photo","https://pbs.twimg.com/media/Grfc3x-W8AA_0nv.jpg",""
"=""1925266390434361829""","@imammoraib الله يحشرك مع الشرع لأن المرء يحشر مع من يحب","Reply","احمد منعم","Aboabdallh17963","5/21/2025, 10:04:11 PM","0","0","0","0","3","0","ar","No","Twitter for Android","","https://x.com/Aboabdallh17963/status/1925266390434361829","","",""
"=""1925266425536483650""","الوالد ايلي كوهين الابن احمد الشرع ابو محمد الجولاني سابقا !!.
هل ترى كيفية الشبة كبيرا بين الابن وابنه ؟؟!!. https://t.co/hhCDHQ4n5j","Tweet","حميد الشاكر","HameedAlshaker","5/21/2025, 10:04:20 PM","0","0","0","0","10","0","ar","No","Twitter Web App","","https://x.com/HameedAlshaker/status/1925266425536483650","photo","https://pbs.twimg.com/media/GrfrcAFWoAAJ46p.jpg, https://pbs.twimg.com/media/GrfrdbPWMAAosmj.jpg",""
"=""1925266446583574929""","@mnc07yans الجزائر ارسلت مبعوث رسمي وهو وزير الخارجية واستقبله الرئيس السوري احمد الشرع
فهل انت تتهم الجزائر بعلاقات مع الارهاب؟؟؟؟ https://t.co/4HBrdXzGDV","Reply","سماحي البكري اولادسيد الشيخ 🇩🇿","1973Smahi","5/21/2025, 10:04:25 PM","0","0","0","0","3","0","ar","No","Twitter for Android","","https://x.com/1973Smahi/status/1925266446583574929","photo","https://pbs.twimg.com/media/GrfroAKWYAA28ef.jpg",""
"=""1925266389960462664""","الوضع خطير للغايه...
...... حركوا درون واستطلاع
.... أحداث ستحري..
وخطيره
ارجوكم تحركوا...
مرسل لكم مقاطع وصور وتقارير
على الايميلات","Reply","أحمد عبدالله الشرع","ahmdbdallhalsh9","5/21/2025, 10:04:11 PM","0","0","0","0","5","0","ar","No","Twitter for Android","","https://x.com/ahmdbdallhalsh9/status/1925266389960462664","","",""
