"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1924592536443654570""","لم يعد بإمكان الحاصلين على ""المغادرة الطوعية"" أو ""إذن العبور"" من تركيا إلى سوريا، السفر إلى مطار بيروت نحو دمشق، سواء كانوا يحملون جواز سفر أو تذكرة عبور من السفارة.

ويمكنهم العودة إلى سوريا إما عبر شركات الطيران التركية مباشرة إلى دمشق، أو من خلال المعابر الحدودية. https://t.co/3BTmWpIVX8","Tweet","شبكة أخبار سوريا","SyrNetworkNews","5/20/2025, 1:26:32 AM","1","2","0","20","3571","0","ar","No","Twitter for Android","","https://x.com/SyrNetworkNews/status/1924592536443654570","photo","https://pbs.twimg.com/media/GrWGtmTWsAEH6Lh.jpg",""
"=""1924561128073347326""","المتحدث باسم الخارجية الأمريكية مايكل ميتشل: رفع العقوبات غير المشروط وإعادة افتتاح سفارتنا في دمشق هو هدفنا النهائي

#الإخبارية_السورية

خلي الي ما سمع يسمع 
رفع العقوبات غير مشروط 
افتتاح السفارة  الامريكية قريبا ان شالله","Tweet","شبكة أخبار سوريا","XGFXUDj4I9dIa7R","5/19/2025, 11:21:44 PM","0","0","0","0","69","0","ar","No","Twitter for Android","#الإخبارية_السورية","https://x.com/XGFXUDj4I9dIa7R/status/1924561128073347326","","",""
"=""1924565680889770051""","وقع مساء اليوم اشتباكات بين مجموعات مسلحة وعناصر الأمن العام، قرب محطة الإيمان على الأوتوستراد الدولي بين #دمشق و #درعا.","Tweet","أخبار سوريا الوطن Syrian","SyriawatanNews","5/19/2025, 11:39:49 PM","0","2","0","15","1620","0","ar","No","Twitter for Android","#دمشق, #درعا","https://x.com/SyriawatanNews/status/1924565680889770051","","",""
"=""1924569408925544554""","وكالة الأنباء السورية #سانا: وزير الطاقة السوري بحث مع وفد من شركة أمريكية خاصة الفرص الاستثمارية في مجال الغاز #سوريا 
#دمشق #لبنان #جنوب_لبنان #صباح_الخير","Tweet","أخبار هولندا 24","holland24news","5/19/2025, 11:54:38 PM","0","0","0","0","87","0","ar","No","Twitter for Android","#سانا, #سوريا, #دمشق, #لبنان, #جنوب_لبنان, #صباح_الخير","https://x.com/holland24news/status/1924569408925544554","","",""
"=""1924523465333211352""","#لبنان يصدر تعميم جديد بخصوص السوريين👇
https://t.co/T7iSelVO5H
#سوريا #بيروت #جنوب_لبنان #دمشق","Tweet","أخبار هولندا 24","holland24news","5/19/2025, 8:52:04 PM","0","0","0","0","84","0","ar","No","Twitter for Android","#لبنان, #سوريا, #بيروت, #جنوب_لبنان, #دمشق","https://x.com/holland24news/status/1924523465333211352","","","https://holland24news.com/?p=8423"
"=""1924471201998508456""","#دمشق
والدة الطفلة #آيه_بلوق تناشد الرئيس والمسؤولين في الأمن لإيجاد أبنتها المخطوفة.

📍 مكان الفقدان: الزبلطاني، خلف مبنى الهجرة والجوازات
العمر: 3 سنوات ونصف
آخر ظهور: كانت ترتدي ملابس سوداء كما ظهر في إحدى صور كاميرات المراقبة
لمن يشاهد الـ.ـطفـ.ـلة التواصل على 0981801467 https://t.co/jmjm0GCVQv","Tweet","شبكة أخبار سوريا الجديدة (Syria)","syrianew0","5/19/2025, 5:24:24 PM","0","4","1","10","3470","0","ar","No","Twitter for Android","#دمشق, #آيه_بلوق","https://x.com/syrianew0/status/1924471201998508456","video","https://video.twimg.com/ext_tw_video/1924471144922353664/pu/vid/avc1/360x640/QVheCKR6VJIvtvDl.mp4?tag=12",""
"=""1924263196552003722""","#دمشق - اوتوستراد #المزة

فعل مستهتر من تفحيط على اوتوستراد المزة قبل قليل الذي أوقف السير و عطل الناس و كان من الممكن أن يتسبب بحادث مروري يؤدي إلى فاجعة 

برسم الأمن العام و شرطة مرور دمشق https://t.co/8Jbz5zJTFg","Tweet","شبكة أخبار سوريا الجديدة (Syria)","syrianew0","5/19/2025, 3:37:51 AM","0","0","0","1","332","0","ar","No","Twitter for Android","#دمشق, #المزة","https://x.com/syrianew0/status/1924263196552003722","video","https://video.twimg.com/ext_tw_video/1924263154135044096/pu/vid/avc1/720x1280/n9a_xwgzdanhEk8a.mp4?tag=12",""
"=""1924483978817393029""","السفير السعودي في #سوريا يقوم بجولة على صالة الحجاج بمطار دمشق الدولي، والاطلاع على التسهيلات المقدمة للحجاج السوريين.

- https://t.co/btk0ZtSpJy","Tweet","أخبار السعودية","SaudiNews50","5/19/2025, 6:15:10 PM","40","94","1","788","110037","11","ar","No","Twitter for iPhone","#سوريا","https://x.com/SaudiNews50/status/1924483978817393029","photo","https://pbs.twimg.com/media/GrUj-X9XAAAm4z6.jpg",""
"=""1924510849068040587""","سفير المملكة في #سوريا يقوم بجولة في صالة الحجاج بمطار دمشق الدولي، للاطلاع على التسهيلات والخدمات المقدمة للحجاج

#أخبار_المجتمع https://t.co/EKN3ijQby7","Tweet","أخبار المجتمع","SAsocietynews","5/19/2025, 8:01:56 PM","0","0","0","1","1500","0","ar","No","Hootsuite Inc.","#سوريا, #أخبار_المجتمع","https://x.com/SAsocietynews/status/1924510849068040587","photo","https://pbs.twimg.com/media/GrU8a2cXEAAqaFT.jpg",""
"=""1924436300372856978""","🟥 دمشق:
حجاج بيت الله الحرام يبدؤون رحلتهم من مطار دمشق الدولي الى المملكة العربية السعودية.","Tweet","أخبار سوريا - 𝗦𝗬𝗥𝗜𝗔 𝗡𝗘𝗪𝗦","newsyria2025","5/19/2025, 3:05:42 PM","0","0","0","0","118","0","ar","No","Twitter for Android","","https://x.com/newsyria2025/status/1924436300372856978","","",""
"=""1924436110337310760""","🟦 طقس:
انخفاض ملحوظ على درجات الحرارة بعد يومين من الحرارة العالية، و اجواء مشمسة و رياح متوسطة على العاصمة دمشق.","Tweet","أخبار سوريا - 𝗦𝗬𝗥𝗜𝗔 𝗡𝗘𝗪𝗦","newsyria2025","5/19/2025, 3:04:57 PM","0","0","0","0","29","0","ar","No","Twitter for Android","","https://x.com/newsyria2025/status/1924436110337310760","","",""
"=""1924431230709236186""","📣سلام عليكم👋😃...أول خبر لهدا اليوم من دمشق وكما أعلنا سابقا على صفحتكم #اخبار_بلادي_مع_هشام سوريا تتجه الى إإعلان سحب اعترافها بالجمهورية الوهمية وإغلاق مكتبها والاعتراف بمغربية🇲🇦 الصحراء دالك ما كشفت عنه وسائل إعلام سورية من صناع القرار الجدد....يتبع https://t.co/eoAv13JT5o","Tweet","أخبار بلادي-مع هشام","akhbarbladie","5/19/2025, 2:45:34 PM","5","30","1","370","7439","6","ar","No","Twitter for Android","#اخبار_بلادي_مع_هشام","https://x.com/akhbarbladie/status/1924431230709236186","photo","https://pbs.twimg.com/media/GrT0ARrXAAA6sTq.jpg",""
"=""1924417648172962043""","حريق يلتهم ملعب نادي حرجلة بريف #دمشق بالكامل
📌 بحسب ما تم تداوله عن كابتن الفريق ""محمد الهنداوي"" فإن الحريق تم بفعل فاعل وليس بالخطأ أو المصادفة
#سوريا https://t.co/JDdBjLaENz","Tweet","شبكة أخبار سوريا الجديدة (Syria)","syrianew0","5/19/2025, 1:51:35 PM","0","0","0","1","152","0","ar","No","Twitter for Android","#دمشق, #سوريا","https://x.com/syrianew0/status/1924417648172962043","video","https://video.twimg.com/ext_tw_video/1924417606817095680/pu/vid/avc1/360x640/Bk9St5i9V_SUMXya.mp4?tag=12",""
"=""1924366363532865611""","سعر الليرة السورية والتركية مقابل الدولار في سوريا يوم الإثنين 19-05-2025

📍 #دمشق
💵 1 دولار = 10100 ليرة سورية
💶 1 يورو = 11285 ليرة سورية
💶 1 ليرة تركية = 260 ليرة سورية
📍 #حلب
💵 1 دولار = 10100 ليرة سورية
💶 1 يورو = 11285 ليرة سورية
💶 1 ليرة تركية = 260 ليرة سورية
📍 https://t.co/pKdgVym1s2","Tweet","أخبار سوريا - SyriaNews","Syriatvnews","5/19/2025, 10:27:48 AM","0","0","0","1","743","0","ar","No","Twitter Web App","#دمشق, #حلب","https://x.com/Syriatvnews/status/1924366363532865611","photo","https://pbs.twimg.com/media/GrS4aapWcAADlei.jpg",""
"=""1924352017113272813""","▪️العاصمة السورية #دمشق تشهد انطلاق أول قافلة حجاج تضم مواطنين من مختلف محافظات البلاد، وذلك لأول مرة منذ سقوط نظام البعث، بعدما كان سكان مناطق سيطرة فصائل المعارضة شمالي سوريا يؤدون الحج عبر دول الجوار https://t.co/49qNaIebn9","Tweet","أخبار سوريا وتركيا","scirsr","5/19/2025, 9:30:48 AM","0","0","0","0","170","0","ar","No","Twitter for Android","#دمشق","https://x.com/scirsr/status/1924352017113272813","video","https://video.twimg.com/ext_tw_video/1924351873185669120/pu/vid/avc1/720x1280/yJsgmLfp6FzhFPeY.mp4?tag=12",""
"=""1924344469886730383""","دمشق تعلن تشكيل هيئتين للعدالة والمفقودين.. خطوة على طريق المساءلة، لكن هل تكفي دون شمول جميع الانتهاكات؟ 
اقرأ التفاصيل:
#سوريا #دمشق #العدالة #المفقودين #اخبار
#الحل_نت

https://t.co/TfxngF0uL0","Tweet","الحل نت","7alpress","5/19/2025, 9:00:48 AM","0","0","0","0","92","0","ar","No","Buffer","#سوريا, #دمشق, #العدالة, #المفقودين, #اخبار, #الحل_نت","https://x.com/7alpress/status/1924344469886730383","","","https://7al.net/?p=371288"
"=""1924316960029860295""","وزير الأوقاف الدكتور محمد أبو الخير شكري خلال اطلاعه على التسهيلات والخدمات المقدمة للحجاج المغادرين من مطار دمشق الدولي: 

هذا الحج الأول بعد التحرير من النظام البائد ونقوم بخدمة 22 ألفاً و 500 حاج سيخرجون من سوريا وبعض البلدان الأخرى. https://t.co/gIqWdDmfBG","Tweet","Sham-news اخبار الشام","Sham__news","5/19/2025, 7:11:30 AM","0","0","0","0","42","0","ar","No","Twitter for iPhone","","https://x.com/Sham__news/status/1924316960029860295","photo","https://pbs.twimg.com/media/GrSMERjXUAAyChP.jpg",""
