"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1923023301699424553""","@am_j875 حوادث عرضية العالم عم تروح تتسوق من ادلب بشكل يومي وفيها مشكل ملون طولي بالك بكرا. نتعودد ع بعض","Reply","نورة الفضل","noorafdl","5/15/2025, 5:30:57 PM","0","0","0","1","17","0","ar","No","Twitter for Android","","https://x.com/noorafdl/status/1923023301699424553","","",""
"=""1918583861048455617""","استجابت فرق الطوارئ وفرق الإسعاف في الدفاع المدني السوري (الخوذ البيضاء) أمس الجمعة 2 أيار، لثلاثة حوادث مرورية، أدت هذه الحوادث لوفاة شاب ولإصابة 5 آخرين.
تفاصيل الحوادث:
◾️توفي شاب وأُصيب آخران بجروح إثر حادث سير بدراجة نارية كانوا يستقلونها، على طريق معرة مصرين في ريف #إدلب.","Tweet","الدفاع المدني السوري","SyriaCivilDefe","5/3/2025, 11:30:12 AM","0","2","0","64","2933","0","ar","No","Twitter Web App","#إدلب","https://x.com/SyriaCivilDefe/status/1918583861048455617","","",""
"=""1915569042192011495""","تعليمات من قيادة شرطة إدلب لتنظيم حركة السير والحد من وقوع حوادث المرور.

#محافظة_إدلب https://t.co/sWzZ9kAKca","Tweet","Ali Al Barghouth","AliAlBarghout","4/25/2025, 3:50:23 AM","0","0","0","0","8","0","ar","No","Twitter for iPhone","#محافظة_إدلب","https://x.com/AliAlBarghout/status/1915569042192011495","photo","https://pbs.twimg.com/media/GpV349wXcAAmAD3.jpg",""
"=""1919837261530648938""","فرق #الدفاع_المدني_السوري تنقذ شابًا علق في #بئر ارتوازية جنوب غرب #إدلب.. وتوثق ابتسامته بعد 3 ساعات من الظلام.. إليك التفاصيل! ما رأيك بهذه المشاهد؟

#العالم_الجديد #سوريا #دمشق #الخوذ_البيضاء #الدفاع_المدني #معرتماتر #حوادث #سوريا_الآن #تريند #تريندات #ترند_سوريا https://t.co/H8NPRlW2l5","Tweet","العالم الجديد","aalam_jadeed","5/6/2025, 10:30:46 PM","0","0","0","0","108","0","ar","No","Twitter Web App","#الدفاع_المدني_السوري, #بئر, #إدلب, #العالم_الجديد, #سوريا, #دمشق, #الخوذ_البيضاء, #الدفاع_المدني, #معرتماتر, #حوادث, #سوريا_الآن, #تريند, #تريندات, #ترند_سوريا","https://x.com/aalam_jadeed/status/1919837261530648938","video","https://video.twimg.com/amplify_video/1919836739302047745/vid/avc1/1080x1350/6MrQwOhgtSopXGfD.mp4?tag=16",""
"=""1917599548928843837""","@Aya_kr_ @BelalNezar الاغتيالات يلي حصلت بسوريا للعناصر يلي كانت تقاتل مع الشرع و خاصة بصواريخ موجهة أمريكية أو حوادث السيارات هذا ليس صدفة و سمعته لما كان حاكم إدلب مش كثير كويسة فشخصية الشرع في عليها استفهامات فربنا يجيب فيه الخير و اذا الشرع له خير في سوريا ربنا يحفظه وإذا لا ربنا يستبدله .","Reply","بيان الحروب🇵🇸","alhrwb65008","4/30/2025, 6:18:54 PM","1","0","0","1","34","0","ar","No","Twitter for Android","","https://x.com/alhrwb65008/status/1917599548928843837","","",""
"=""1917157478988497194""","فرض طوق أمني حول المنطقة لمنع تكرار أي حوادث مشابهة.

نؤكد حرصنا على ملاحقة المتورطين ومحاسبتهم وفق القانون، مع استمرار التحقيقات لكشف هوية صاحب المقطع الصوتي المسيء لنبينا محمد عليه الصلاة والسلام. ونؤكد أننا لن نتساهل في تقديم كل من ساهم في إثارة الفوضى","Reply","تلفزيون إدلب Idlib TV","TvIdlib","4/29/2025, 1:02:16 PM","0","0","0","0","44","0","ar","No","Twitter for Android","","https://x.com/TvIdlib/status/1917157478988497194","","",""
"=""1916171587205636168""","ارتفاع حوادث السير في #إدلب يودي بحياة وإصابة المئات

كيف يمكن الحد من هذه الحوادث؟

#عنب_بلدي #سوريا

https://t.co/HJjlwxymXs","Tweet","عنب بلدي","enabbaladi","4/26/2025, 7:44:41 PM","0","0","0","0","202","0","ar","No","Twitter Web App","#إدلب, #عنب_بلدي, #سوريا","https://x.com/enabbaladi/status/1916171587205636168","","","https://www.enabbaladi.net/749875/%d8%a7%d8%b1%d8%aa%d9%81%d8%a7%d8%b9-%d8%ad%d9%88%d8%a7%d8%af%d8%ab-%d8%a7%d9%84%d8%b3%d9%8a%d8%b1-%d9%81%d9%8a-%d8%a5%d8%af%d9%84%d8%a8/"
"=""1916037020159197291""","أطاحت ""هيئة تحرير الشام"" بحكومة بشار الأسد، وشهدت سوريا موجة غامضة من حوادث خطف استهدفت شابات. وهناك أدلة متزايدة على أن هؤلاء، ومعظمهن من الطائفة العلوية، خُطفن على يد فصائل مسلّحة تابعة للحكومة  الجديدة، ونُقلن الى محافظة إدلب، معقل ""هيئة تحرير الشام""، حيث يتم استعبادهن جنسيًا. https://t.co/GcJHzE9aTa","Tweet","عبد القادر عثمان","Abdulqaderothmn","4/26/2025, 10:49:58 AM","1","2","0","8","242","0","ar","No","Twitter Web App","","https://x.com/Abdulqaderothmn/status/1916037020159197291","photo","https://pbs.twimg.com/media/GpchETyW0AA6prH.jpg",""
"=""1918598927277793648""","يوم دامٍ على طرقات سوريا: مصرع شاب وإصابة خمسة في ثلاثة حوادث سير مروعة

استجابت فرق الدفاع المدني السوري (الخوذ البيضاء) يوم الجمعة، الموافق 2 أيار، لثلاثة حوادث مرورية خطي...

https://t.co/bfamBK5nIY

#إدلب #الدفاع_المدني_السوري #الرئيسية #حوادث_سير","Tweet","yalla news","YallaNewsSyria","5/3/2025, 12:30:04 PM","0","0","0","0","2","0","ar","No","yallasn","#إدلب, #الدفاع_المدني_السوري, #الرئيسية, #حوادث_سير","https://x.com/YallaNewsSyria/status/1918598927277793648","","","https://yallasyrianews.com/article/%D9%8A%D9%88%D9%85-%D8%AF%D8%A7%D9%85-%D8%B9%D9%84%D9%89-%D8%B7%D8%B1%D9%82%D8%A7%D8%AA-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D9%85%D8%B5%D8%B1%D8%B9-%D8%B4%D8%A7%D8%A8-%D9%88%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-%D8%AE%D9%85%D8%B3%D8%A9-%D9%81%D9%8A-%D8%AB%D9%84%D8%A7%D8%AB%D8%A9-%D8%AD%D9%88%D8%A7%D8%AF%D8%AB-%D8%B3%D9%8A%D8%B1-%D9%85%D8%B1%D9%88%D8%B9%D8%A9"
"=""1915373658878386373""","”أحزن بسبب حوادث انفجار مخلفات الحرب المستمرة، والأعداد الكثيرة من الضحايا الأطفال، وآثارها الجسدية والنفسية طويلة الأمد عليهم، صديقنا ""مصطفى"" أصيب بانفجار ذخيرة من مخلفات قصف سابق على بلدته تل حكمي بريف إدلب، مما أدى لبتر أصابع يده، ودخوله بحالة صدمة وخوف، نعمل أنا وزميلاتي على https://t.co/Fyrc5OrYj3","Tweet","الدفاع المدني السوري","SyriaCivilDefe","4/24/2025, 2:54:00 PM","3","7","0","87","2627","0","ar","No","Twitter for Android","","https://x.com/SyriaCivilDefe/status/1915373658878386373","photo","https://pbs.twimg.com/media/GpTFypyWgAA40sk.jpg",""
"=""1915133504284745730""","تعليمات من قيادة شرطة إدلب لتنظيم حركة السير والحد من وقوع حوادث المرور.

#محافظة_إدلب

تلفزيون_إدلب 
#عين_الحقيقة https://t.co/VJ5ivqXzPN","Tweet","تلفزيون إدلب Idlib TV","TvIdlib","4/23/2025, 10:59:43 PM","0","0","0","0","75","0","ar","No","Twitter for Android","#محافظة_إدلب, #عين_الحقيقة","https://x.com/TvIdlib/status/1915133504284745730","photo","https://pbs.twimg.com/media/GpPrxUmXgAERsqN.jpg",""
"=""1915017808301133968""","أعمالنا مستمرة خلال مشروع تجهيز 3 جسور للمشاة على طريق إدلب - سرمدا، لتأمين عبور آمن للمدنيين والطلاب على الطريق الحيوي المزدحم، والتخفيف من حوادث السير، وحماية المدنيين. 
#الخوذ_البيضاء #سوريا #إدلب https://t.co/ycSFDFUq6X","Tweet","الدفاع المدني السوري","SyriaCivilDefe","4/23/2025, 3:19:59 PM","3","7","0","198","3768","1","ar","No","Twitter for Android","#الخوذ_البيضاء, #سوريا, #إدلب","https://x.com/SyriaCivilDefe/status/1915017808301133968","photo","https://pbs.twimg.com/media/GpOCiy-WsAAsASB.jpg, https://pbs.twimg.com/media/GpOCjCNWcAAKqTk.jpg, https://pbs.twimg.com/media/GpOCim4W4AAq5od.jpg, https://pbs.twimg.com/media/GpOCjEJWwAAwGq3.jpg",""
"=""1914635292218105869""","وفاة امرأة في دمشق جراء انفجار ناجم عن تسرب غاز منزلي
https://t.co/qoQ87cYS7L

#سوريا #دمشق #تسرب_غاز #انفجار_منزلي #الدفاع_المدني #الخوذ_البيضاء #حوادث_الشتاء #حرائق_سوريا #العباسيين #سلامة_المنازل #مدافئ_خطر #إدلب #خالد_بن_الوليد #تدابير_السلامة #أخبار_سوريا","Tweet","وكالة قاسيون للأنباء","QasiounAr","4/22/2025, 2:00:00 PM","0","0","0","0","134","0","ar","No","Twitter Web App","#سوريا, #دمشق, #تسرب_غاز, #انفجار_منزلي, #الدفاع_المدني, #الخوذ_البيضاء, #حوادث_الشتاء, #حرائق_سوريا, #العباسيين, #سلامة_المنازل, #مدافئ_خطر, #إدلب, #خالد_بن_الوليد, #تدابير_السلامة, #أخبار_سوريا","https://x.com/QasiounAr/status/1914635292218105869","","","https://www.qasioun-news.com/ar/articles/83000/"
"=""1914095844925546525""","@mohammad_shazar ياصديقي وقت كانو بإدلب كانو يجيبو الشبيحة ويكرموهم بجامعة إدلب ...وهنن واجهو هيك شي بالماضي بكل صلافة وحقارة ...رح نشوف كتير حوادث متشابهة","Reply","لاجئون || Refugees","ZaheerZahe34452","4/21/2025, 2:16:26 AM","0","0","0","0","102","0","ar","No","Twitter for Android","","https://x.com/ZaheerZahe34452/status/1914095844925546525","","",""
"=""1913689456781271400""","@SallAbdi74928 @k7ybnd99 والله ونعم من محامين ادلب الاحرار الشرفاء لكن صدقا الجهاز الأمني في ادلب في الفترة الماضية كان غير متعاون مع القضاء احكي معك عن تجربة وقفت فيها على عدة حوادث المجرمين يسرحون ويمرحون وبعلم الامن","Reply","Dr.Omar.H.Haşemi 🇹🇷","omar79514419","4/19/2025, 11:21:35 PM","0","0","0","1","321","0","ar","No","Twitter for Android","","https://x.com/omar79514419/status/1913689456781271400","","",""
"=""1913496366866698511""","@M_Shadi3 @AldrsaniH @EdyCohen لا تعرف من الفاعل؟
منذ14سنة والمهجرين من ادلب وحلب في الساحل هل وقعت حادثة خطف؟
ألا تخجلون من أنفسكم
بالنسبة ل تشابه حوادث الخطف بين راهبات معلولا الإيزيديات والآن العلويات
فالفاعل معروف لا يحتاج للبحث عنه
ولكن كلما ناقشت أحدا اتفاجأ انه مثقف للأسف أنتم جاهلين بالنسبة لغيركم","Reply","Asif Sy","AasfSy52528","4/19/2025, 10:34:19 AM","0","0","0","0","36","0","ar","No","Twitter for Android","","https://x.com/AasfSy52528/status/1913496366866698511","","",""
"=""1906827806161441026""","إصابة 17 مدنيًا بينهم نساء وأطفال في ثلاثة حوادث سير بريف إدلب  https://t.co/Ff0minjYyk","Tweet","ZAMANALWSL - زمان الوصل","zamanalwsl","4/1/2025, 12:55:50 AM","0","0","0","4","2262","0","ar","No","Twitter Web App","","https://x.com/zamanalwsl/status/1906827806161441026","","","https://www.zamanalwsl.net/news/article/167614/"
"=""1906761331350667705""","🚨الدفاع المدني: 17 إصابة بينهم أطفال ونساء إثر سلسلة حوادث سير في ريف إدلب

أصيب 17 مدنياً بينهم 6 أطفال و6 نساء بجروح ورضوض متفاوتة، جرّاء ثلاثة حوادث سير متفرقة وقعت خلال الساعات الماضية في مناطق مختلفة من ريف إدلب، بحسب ما أفاد الدفاع المدني السوري.

فرق الإسعاف استجابت فوراً https://t.co/Erb8Tx19cZ","Tweet","Syria Radar","SyriaRadar","3/31/2025, 8:31:41 PM","0","0","0","0","94","0","ar","No","Twitter Web App","","https://x.com/SyriaRadar/status/1906761331350667705","photo","https://pbs.twimg.com/media/GnYs9ViXwAA6luT.jpg",""
"=""1906754456831549837""","الدفاع المدني: إصابة 17 مدنياً بينهم 6 أطفال و6 نساء بجروح ورضوض إثر ثلاثة حوادث سير وقعت في ريف إدلب.
#seebar","Tweet","Seebar","seebarsy","3/31/2025, 8:04:22 PM","0","0","0","0","89","0","ar","No","Metricool","#seebar","https://x.com/seebarsy/status/1906754456831549837","","",""
"=""1897269239595372811""","شعب بموت بنظرية المؤامرة ما بيقدر 
لك كل ادلب كانت تنتقد الجولاني في ناس مستلمة مراكز مهمة بالبلد كانت تنتقده 
ترحمو على الزلمة وحاج اختلاق قصص 
طريق بلودان طول عمره بصير عليه حوادث وكمان الشباب من زمان مو طالعين عليه","Tweet","Mohammed","Jobar05","3/5/2025, 3:53:30 PM","0","0","0","0","41","0","ar","No","Twitter for Android","","https://x.com/Jobar05/status/1897269239595372811","","",""
"=""1906752182398968069""","🔴 الدفاع المدني: إصابة 17 مدنيا بينهم 6 أطفال و6 نساء بجروح ورضوض إثر ثلاثة حوادث سير وقعت في ريف #إدلب","Tweet","Nedaa Post نداء بوست","NEDAAPOST","3/31/2025, 7:55:20 PM","0","0","0","3","349","0","ar","No","Twitter for Android","#إدلب","https://x.com/NEDAAPOST/status/1906752182398968069","","",""
