"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925247879750258698""","لا يمكن أسامح أو أتقبَّل أو أغفر لعالم لمَّعت جرائم إرهابيي الجولاني في الساحل السوري وفي الدروز واللي مستمرة للآن، تكوَّن في داخلي حقد شخصي لانهائي تجاههم
أنتم شركاء بهذا الإجرام والذبح وسفاحين وقتلة ولا تؤتمنوا حتى على المستوى الشخصي، ومنكم مأجورين، أتمنى لكم مصير بشع.","Tweet",".","Resistance27k","5/21/2025, 8:50:38 PM","0","4","1","13","265","1","ar","No","Twitter for iPhone","","https://x.com/Resistance27k/status/1925247879750258698","","",""
"=""1925243057382797518""","العلويين عايزين دولة في #الساحل السوري ههه.
بالله عليك ماذا يبقى من #سوريا اذا انفصل الساحل؟
انه أفضل منطقة على الإطلاق.
والسبب بسيط.. لأنه المنفذ الوحيد لقوارب الموت لمن يرغب في عيشة آدمية ههههه","Tweet","Issa Dr","issaDr07","5/21/2025, 8:31:28 PM","0","0","1","0","21","0","ar","No","Twitter for Android","#الساحل, #سوريا","https://x.com/issaDr07/status/1925243057382797518","","",""
"=""1925240515835875343""","مندوب روسيا في مجلس الأمن: 
-سوريا تسعى للتعافي من أحداث الساحل السوري في أذار/مارس الماضي.
-المطلوب توفير العدالة لكل الطوائف السورية. 
-على السلطة السورية حل مسألة المقاتلين الأجانب 
التي تمثل تهديداً لسوريا وجيرانها.
#seebar","Tweet","Seebar","seebarsy","5/21/2025, 8:21:22 PM","0","0","0","0","3","0","ar","No","Metricool","#seebar","https://x.com/seebarsy/status/1925240515835875343","","",""
"=""1925239107074367937""","#مظاهرات واسعة شهدتها مدينة #بانياس على الساحل السوري، رفضاً لأنباء عن نية الإفراج عن العميد المجرم مازن رستم عبر وساطات أمنية.

المحتجون اعتبروا أن الإفراج المحتمل عن رستم يمثل استفزازاً لأهالي المدينة الذين كانوا قد ألقوا القبض عليه قبل أيام وسلموه لـ""الأمن العام"".

رستم متهم https://t.co/2shXv6s2AC","Tweet","شبكة أخبار سوريا","SyrNetworkNews","5/21/2025, 8:15:46 PM","3","4","0","29","1685","3","ar","No","Twitter for Android","#مظاهرات, #بانياس","https://x.com/SyrNetworkNews/status/1925239107074367937","video","https://video.twimg.com/ext_tw_video/1925239061947551744/pu/vid/avc1/1280x720/RhvHKrIlRTfYpRfR.mp4?tag=12",""
"=""1925237926952128697""","#عاجل | رئيس المجلس الأوروبي: أجريت اتصالا جيدا مع الرئيس السوري #أحمد_الشرع

لا اعرف ان طلب منه الحماية لغزال وشلته في الساحل","Tweet","عمر مدنيه","Omar_Madaniah","5/21/2025, 8:11:05 PM","21","18","0","625","16473","5","ar","No","Twitter for iPhone","#عاجل, #أحمد_الشرع","https://x.com/Omar_Madaniah/status/1925237926952128697","","",""
"=""1925237251279098291""","أوردغاني وجولاني سيحترقون بصناعتهم الداعشية 
وخطية الدم السوري…
سأبقى وفياً لتلك الأرواح التي تزورني من الجبل إلى الساحل ولن أؤمن إلا بعد احتراق أعوادهم 
 الاوردغانية و الجولانية… https://t.co/2yUutUoAiE","Tweet","Dimoond517","dimoond517","5/21/2025, 8:08:24 PM","0","0","0","1","15","0","ar","No","Twitter for iPhone","","https://x.com/dimoond517/status/1925237251279098291","video","https://video.twimg.com/amplify_video/1925237122379730945/vid/avc1/720x1080/4nEpUaZem0U-G1q4.mp4?tag=21",""
"=""1925231267592782132""","He who ignites the sparks of discord will be burned by its embers.
#StopAlawiteGenocide 
#ياللعار https://t.co/uLLv8XEpK1","Quoted tweet","Dimoond517","dimoond517","5/21/2025, 7:44:37 PM","0","0","1","0","20","0","en","No","Twitter for iPhone","#StopAlawiteGenocide, #ياللعار","https://x.com/dimoond517/status/1925231267592782132","photo","https://pbs.twimg.com/media/GrfLoZOWMAAOfCP.jpg",""
"=""1925236425462571372""","@aliarida61 أهل الساحل السوري المسالمين أبلغ مثال 💔","Reply","نـــــــ🎀ـــــورا❥","NoraH190596","5/21/2025, 8:05:07 PM","1","0","0","1","11","0","ar","No","Twitter for Android","","https://x.com/NoraH190596/status/1925236425462571372","","",""
"=""1925233079007777226""","بحسب موقع ديتشفاليه الألماني مقتل جنديين روس وأربعو أوزباك في الساحل السوري البارحة الثلاثاء 

https://t.co/hDwOM0uvx1","Tweet","رشيد ﴿﷽﴾","tailor_richard","5/21/2025, 7:51:49 PM","0","0","0","0","29","0","ar","No","Twitter for Android","","https://x.com/tailor_richard/status/1925233079007777226","","","https://p.dw.com/p/4ujFv?maca=ar-Twitter-sharing"
"=""1925232627176427876""","فلول نظام الأسد المجرم امبارح ضربو القاعده العسكرية الروسيه في #الساحل_السوري","Tweet","سوريا فاكس","Syriafax","5/21/2025, 7:50:02 PM","0","0","0","0","17","0","ar","No","Twitter for Android","#الساحل_السوري","https://x.com/Syriafax/status/1925232627176427876","","",""
