"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925247811618316738""","مجموعات مسلحة خارجة عن القانون من اذناب الهجري تعتدي بالسلاح والضرب على محافظ السويداء الدكتور ""مصطفى بكور"" في مكتبه، وتقوم بسرقة بعض مقتنياته وأغراضه الشخصية.
الدكتور مصطفى بكور بحالة جيدة وقد خرج إلى دمشق بعد تدخل قوات حركة رجال الكرامة بقيادة ليث البلعوس وتأمينه خارج السويداء https://t.co/Cyo61tnHuZ","Tweet","🇸🇾 515 مضاد الذباب 🇸🇾","AAldamlkhy","5/21/2025, 8:50:22 PM","0","0","0","0","","0","ar","No","Twitter for Android","","https://x.com/AAldamlkhy/status/1925247811618316738","photo","https://pbs.twimg.com/media/GrfarphboAEhUgt.jpg",""
"=""1925247789908349131""","@abrahemswadan @SyrRafeef وشو رأيك لو عملو استطلاع بالجولان ....انو ماراح يوافقو يرجعو لسوريا.....وبيني وبينك...دروز السويداء بيكفّو وبيوفّو....مو ناقصنا اقليات انفصالية","Reply","عبدالرحمن الحنيفي الخالدي","alhnyfy31833","5/21/2025, 8:50:17 PM","0","0","0","0","","0","ar","No","Twitter for Android","","https://x.com/alhnyfy31833/status/1925247789908349131","","",""
"=""1925247787647615192""","ستنفار للفصائل الدرزية في السويداء بعد اقتحام مسلحين مكتب المحافظ واحتجازه الى حين إطلاق سراح معتقلين على خلفية سرقات، من ثم تم طرد المحافظ إلى خارج المدينة","Tweet","عبدالله خالد","sas2002sass","5/21/2025, 8:50:16 PM","0","0","0","0","","0","ar","No","Twitter Web App","","https://x.com/sas2002sass/status/1925247787647615192","","",""
"=""1925247768286671326""","الاعتداء على محافظ السويداء واخذه رهينة مقابل اطلاح سراح حرامية سيارات من ابناء السويداء 
ملا مضافات كرامة وضراط 
وين ماهر شرف الكذب 
يا عيب الشوم 
مصطفى بكور غادر السويداء لان هذه المحافظة بحاجة لتطهير من نجس الهجري https://t.co/ov1zaUhBsH","Tweet","أديب مارديني - Adeeb Mardini","Adeb_syria","5/21/2025, 8:50:11 PM","0","0","0","1","","0","ar","No","Twitter for Android","","https://x.com/Adeb_syria/status/1925247768286671326","photo","https://pbs.twimg.com/media/GrfapHHXgAA3qof.jpg",""
"=""1925247767837913095""","شو صحة الاعتداء على محافظ السويداء مصطفى بكور بمكتبه في السويداء ؟","Tweet","Mustafa HABESH","mustafa_habesh","5/21/2025, 8:50:11 PM","0","0","0","2","1","0","ar","No","Twitter Web App","","https://x.com/mustafa_habesh/status/1925247767837913095","","",""
"=""1925247746795053532""","محافظ السويداء اكل قتلة مرتبة وغادر مدينة السويداء😂","Tweet","Yazd ........","AboAhamad495645","5/21/2025, 8:50:06 PM","0","0","0","0","","0","ar","No","Twitter for Android","","https://x.com/AboAhamad495645/status/1925247746795053532","","",""
"=""1925247680667627595""","🤣🤣🤣🤣🤣
📌ضابطة عدلية برعاية مليشيات العمالة الانفصالية

📌وبدعم حكومي https://t.co/SgPfpMXOVH","Tweet","خميني السويداء","SheikHajari","5/21/2025, 8:49:51 PM","0","0","0","0","2","0","ar","No","Twitter for Android","","https://x.com/SheikHajari/status/1925247680667627595","photo","https://pbs.twimg.com/media/Grfaj2GXcAEJJe-.jpg",""
"=""1925247540997263837""","#عاجل 
مجموعة من #السويداء الخارجين عن القانون تقوم بالإعتداء على #محافظ_السويداء ""مصطفى بكور"" حيث قاموا بالهجوم على مكتبه والإعتداء عليه بالضرب وسرقة مقتنيات المكتب ليغادر المحافظ محافظة #السويداء ويتجه إلى #دمشق","Tweet","الشاهين","Hakamg0","5/21/2025, 8:49:17 PM","0","0","0","1","8","0","ar","No","Twitter for Android","#عاجل, #السويداء, #محافظ_السويداء, #السويداء, #دمشق","https://x.com/Hakamg0/status/1925247540997263837","","",""
"=""1925247510785695760""","مسلحون يقتحمون مكتب محافظ السويداء ويهددوه.. مصادر تكشف ما جرى  

ووفقاً لشهود عيان تحدثوا لوكالة ""ستيب نيوز""، فإن المسلحين – وجميعهم من أبناء المحافظة – اقتحموا مكتب المحافظ وهم يحملون أسلحة رشاشة، ووضع أحدهم مسدساً على

 https://t.co/X4aw4TT4bY","Tweet","الراصد الإخباري","ss70175339","5/21/2025, 8:49:10 PM","0","0","0","0","3","0","ar","No","IFTTT","","https://x.com/ss70175339/status/1925247510785695760","","","https://ift.tt/Iu7V9EC"
"=""1925247501432431056""","متى كان الضيف يهان في جبل العرب عند بني معروف ! 

ماحدث مؤسف ومعيب.. وصمة عار في جبين الخونة تضاف إلى سجلهم المخزي

محافظ السويداء يغادر إلى دمشق بعد الاعتداء عليه من ميليشيا خارجة عن القانون.","Tweet","DR daniel charley Hanna✝️","danielsharly2","5/21/2025, 8:49:08 PM","0","0","0","2","7","0","ar","No","Twitter for Android","","https://x.com/danielsharly2/status/1925247501432431056","","",""
"=""1925247435997061416""","📍#عاجل 
مجموعة من الدروز التابعين لحكمت #الإجري تقوم بالاعتداء على محافظ السويداء مصطفى بكور حيث هاجموا مكتبه وتم ضربه وإشهار السلاح عليه وسرقة مقتنيات المكتب وتم طرده من محافظة السويداء.
(منقول) https://t.co/ISf3QR6KXl","Tweet","📟 گـمال 📟","nzar__86","5/21/2025, 8:48:52 PM","0","0","0","0","13","0","ar","No","Twitter for Android","#عاجل, #الإجري","https://x.com/nzar__86/status/1925247435997061416","photo","https://pbs.twimg.com/media/GrfaVo1XcAAhOsz.jpg",""
"=""1925247176680382733""","أنباء عن احتجاز محافظ السويداء مصطفى بكور على يد ميليشيات الهجري ومغادرته المدينة

تداولت مصادر محلية أنباء تفيد بقيام مجموعة من الشبان من قرية ""ذيبين"" في ريف السويداء، والتابعين لما يُعرف بـ""ميليشيات الهجري""، باقتحام مكتب محافظ السويداء، السيد مصطفى بكور، واحتجازه تحت تهديد https://t.co/z4LogzeEQl","Tweet","الهيئة السورية للرقابة الشعبية SOPO","sopo665","5/21/2025, 8:47:50 PM","0","0","0","0","25","0","ar","No","Twitter Web App","","https://x.com/sopo665/status/1925247176680382733","photo","https://pbs.twimg.com/media/GrfaFsGX0AI0bm2.jpg",""
"=""1925247168249467138""","#عاجل

مجموعة من عصابات الدروز الخارجين عن القانون تقوم بالإعتداء على محافظ السويداء ""مصطفى بكور"" حيث قاموا بالهجوم على مكتبه والإعتداء عليه بالضرب وسرقة مقتنيات المكتب ليغادر المحافظ محافظة السويداء ويتجه إلى #دمشق","Tweet","الإخبارية السورية الأموية","SyrianUmayyad","5/21/2025, 8:47:48 PM","2","0","0","4","63","0","ar","No","Twitter for Android","#عاجل, #دمشق","https://x.com/SyrianUmayyad/status/1925247168249467138","","",""
"=""1925247052113387999""","#خطير / مجموعة من الدروز الخارجين عن القانون تقوم بالإعتداء على محافظ السويداء ""مصطفى بكور"" حيث قاموا بالهجوم على مكتبه والإعتداء عليه بالضرب وسرقة مقتنيات المكتب ليغادر المحافظ محافظة السويداء ويتجه إلى دمشق","Tweet","بدر الدين الخليل (أبو أمير) 🇸🇾🇸🇾","Nasser_Al_Din","5/21/2025, 8:47:21 PM","1","2","0","5","118","0","ar","No","Twitter for iPhone","#خطير","https://x.com/Nasser_Al_Din/status/1925247052113387999","","",""
"=""1925246998061457746""","مسلحون يقتحمون مكتب محافظ السويداء ويهددوه.. مصادر تكشف ما جرى  https://t.co/X4aw4TT4bY","Tweet","الراصد الإخباري","ss70175339","5/21/2025, 8:47:08 PM","0","0","0","0","10","0","ar","No","IFTTT","","https://x.com/ss70175339/status/1925246998061457746","","","https://ift.tt/Iu7V9EC"
"=""1925246964469227909""","اعتداء من قبل مسلحين مجهولين على محافظ السويداء ""مصطفى بكور"" داخل مبنى المحافظة

يعني المهم محافظ السويداء اكل قتلة مرتبة وغادر المحافظة 😃😃😂 https://t.co/D4z11l23wT","Tweet","maya","meme_syr3","5/21/2025, 8:47:00 PM","1","0","0","1","48","0","ar","No","Twitter for Android","","https://x.com/meme_syr3/status/1925246964469227909","photo","https://pbs.twimg.com/media/GrfZ6VxXUAA3WgB.jpg",""
"=""1925246964255383892""","المحافظ الهبور 

السويداء
انباء عن قيام مجموعه من مليشيا حكمت الهجري بالاعتداء على محافظ ⁧ السويداء⁩ "" مصطفى بكور "" حيث هاجموا مكتبه وتم اشهار السلاح عليه وسرقة مقتنيات المكتب

#سوريا 
#أحمد_الشرع https://t.co/5mVebBQTKv","Tweet","Mohamad ZD","MohamadZD27","5/21/2025, 8:47:00 PM","0","0","0","0","39","1","ar","No","Twitter for Android","#سوريا, #أحمد_الشرع","https://x.com/MohamadZD27/status/1925246964255383892","photo","https://pbs.twimg.com/media/GrfZ6WgWwAAGlmO.jpg",""
