"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925275743270965362""","رويترز: ابومحمدالجولانى وافق على إعادة مقتنيات الجاسوس إيلي كوهين إلى إسرائيل. https://t.co/x2ZAs86PrG","Tweet","Esam Saif ELdeen","EsamE25015","5/21/2025, 10:41:21 PM","0","0","0","0","2","0","ar","No","Twitter for Android","","https://x.com/EsamE25015/status/1925275743270965362","photo","https://pbs.twimg.com/media/Grf0FF_WQAAm9PA.jpg",""
"=""1925275511477158334""","@Hakeam_ps إذا كان يريد الأسري فقط و يريد أستمرار الحرب: إذا حان وقت أعدام الأسري.

لا تعطوه أي أنجاز أو نصر...بكفيه هدية أرشيف إيلى كوهين.","Reply","Motaz Shilu","MotazShilu","5/21/2025, 10:40:26 PM","0","0","0","0","11","0","ar","No","Twitter Web App","","https://x.com/MotazShilu/status/1925275511477158334","","",""
"=""1925274793210785806""","@hosamalkrbash @sameh_asker تضحك علينا ويلي قدم ارشيف ايلي كوهين ماذا نسميه","Reply","محمد وليد عثمان","MhmdWlyd67110","5/21/2025, 10:37:35 PM","0","0","0","1","9","0","ar","No","Twitter Web App","","https://x.com/MhmdWlyd67110/status/1925274793210785806","","",""
"=""1925274576419790914""","كانت إسرائيل تسعى لتوصل عمليها #ايلي_كوهين إلى رئاسة #سوريا ..
وبعد خمسين عاما تحقق حلمها بوصول عميل أخر له ألف وجه واسم ،وله هدف واحد ،إيجاد #سوريا جديدة في الجيب الصهيوني ..
#سوريا_الان #الم_ذلك_الكتاب https://t.co/qA9S2JszMh","Tweet","الطوفان","2014_yad","5/21/2025, 10:36:43 PM","0","0","0","1","19","0","ar","No","Twitter Web App","#ايلي_كوهين, #سوريا, #سوريا, #سوريا_الان, #الم_ذلك_الكتاب","https://x.com/2014_yad/status/1925274576419790914","photo","https://pbs.twimg.com/media/GrfyKdnWwAAs_O6.jpg",""
"=""1925274288254247423""","ايلى كوهين 
ابومحمد الجولانى https://t.co/zhlRUUH0Qu","Tweet","Esam Saif ELdeen","EsamE25015","5/21/2025, 10:35:34 PM","0","0","0","0","2","0","ar","No","Twitter for Android","","https://x.com/EsamE25015/status/1925274288254247423","photo","https://pbs.twimg.com/media/GrfywwXXYAA5jnz.jpg",""
"=""1925266425536483650""","الوالد ايلي كوهين الابن احمد الشرع ابو محمد الجولاني سابقا !!.
هل ترى كيفية الشبة كبيرا بين الابن وابنه ؟؟!!. https://t.co/hhCDHQ4n5j","Tweet","حميد الشاكر","HameedAlshaker","5/21/2025, 10:04:20 PM","0","1","0","4","75","0","ar","No","Twitter Web App","","https://x.com/HameedAlshaker/status/1925266425536483650","photo","https://pbs.twimg.com/media/GrfrcAFWoAAJ46p.jpg, https://pbs.twimg.com/media/GrfrdbPWMAAosmj.jpg",""
"=""1925263134068994464""","الصهاينة يستعيدون وثائق جاسوسهم إيلي كوهين الذي أعدمته دمشق في العام 1965 ليأتي الجولاني ليبيع وثائق الجاسوس الصهيوني بثمن بخس إرضاءً لتل أبيب.. 
هنا يكمن الفرق بين الثائر وبين العميل الرخيص  !!","Tweet","عبدالعزيز الشيخ","bdalzyzalshyk16","5/21/2025, 9:51:15 PM","0","0","0","5","43","0","ar","No","Twitter for Android","","https://x.com/bdalzyzalshyk16/status/1925263134068994464","","",""
"=""1925266598643867661""","تسليم #سوريا ملف #ايلي_كوهين ل #إسرائيل 
دليل على ..........
وليستمر المطبلون 🥁 والمغفلون 🫡","Tweet","حمزة الشيخي","hmzt_alshykhy","5/21/2025, 10:05:01 PM","0","0","0","1","59","0","ar","No","Twitter for Android","#سوريا, #ايلي_كوهين, #إسرائيل","https://x.com/hmzt_alshykhy/status/1925266598643867661","","",""
"=""1925272885503099186""","في الذكرى ال60 لإعـ.ـدام الجاسوس الإسرائيلي إيلي كوهين في العاصمة السورية دمشق... إسرائيل تكشف عن استعادتها أرشيفا رسميا سوريا يتعلق به، عبر عملية سرية نفذها ""الموساد"" بالتعاون مع جهاز استخبارات أجنبي وصفه بـ الحليف. https://t.co/iGabxReJlY","Tweet","مجلة ميم.. مِرآتنا","Meemmag","5/21/2025, 10:30:00 PM","0","0","0","5","561","2","ar","No","Twitter Media Studio","","https://x.com/Meemmag/status/1925272885503099186","video","https://video.twimg.com/amplify_video/1925225734768930820/vid/avc1/720x1024/ANmLIvITwjsM8cxT.mp4?tag=16",""
"=""1925265971515630072""","حلقة نااااريه لا تفتك … 

لماذا تنازل الجولانى عن ملف الجـ ـاسوس ايلى كوهين ؟ https://t.co/PEgK9ZsFAe via @YouTube","Tweet","2 التفرقه سلاح الاخوان Eng Moustafa FMHamza","moustafacairo1","5/21/2025, 10:02:31 PM","0","0","0","0","16","0","ar","No","Twitter for iPhone","","https://x.com/moustafacairo1/status/1925265971515630072","","","https://youtu.be/jS6bFFDElq4?si=WAeLki0k-l6V_wca"
"=""1925264516868411477""","@TmanMhmwd6220 ربنا يخلصنا من أشباهكم…. يا جماعة موضوع إيلي كوهين  بيفكرني ببتاع الملابس الداخلية اللي بقى منتشر اوي بالحفلات و خلافه","Reply","mansour mansour","mansour28158801","5/21/2025, 9:56:45 PM","0","0","0","0","50","0","ar","No","Twitter for iPhone","","https://x.com/mansour28158801/status/1925264516868411477","","",""
