"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1924541368828830176""","بعض الأعمال لمؤسسة جبلة للعود ✨️
المسوقين في فرصة رهيبة لكم عندهم 👏 https://t.co/1uJVYsgJmt","Tweet","سارا | مصممة","saraa_design","5/19/2025, 10:03:13 PM","12","1","0","58","2967","6","ar","No","Twitter for Android","","https://x.com/saraa_design/status/1924541368828830176","photo","https://pbs.twimg.com/media/GrVYK60XwAAasXz.jpg, https://pbs.twimg.com/media/GrVYK8qX0AAkY8L.jpg, https://pbs.twimg.com/media/GrVYLECXUAI37Wm.jpg, https://pbs.twimg.com/media/GrVYLJ-W0AETprl.jpg",""
"=""1924532053682303078""","ابن جبلة اذا بيطلع ع كوكب زحل وبتسألو انت من وين بقلك من جبلة .. مستحيل يقلك من اللاذقية .. 
خلص جبلة محافظة لحالا😂😍
وين سكان جبلة تعو لعندي تعو تقبرو قلبي ❤️ https://t.co/ADmEI5ljGu","Tweet","ريتاج خلف","Retag_Khalaf","5/19/2025, 9:26:12 PM","7","3","0","77","1410","0","ar","No","Twitter Web App","","https://x.com/Retag_Khalaf/status/1924532053682303078","photo","https://pbs.twimg.com/media/GrVProlWgAEUbr2.jpg",""
"=""1924197223857836400""","جبلة كفردبيل 
فقد التواصل مع الشابين 
علي هاشم معلا 
جعفر حسام حمودة 
من الساعة الواحدة والنصف ظهراً عند دوار الازهري في مدينة اللاذقية كانوا ضمن سيارة كيا ريو بيضاء 
الله يرجعكم بخير وسلامة
#غرب_سوريا https://t.co/MakBuP1XQg","Tweet","Joelle","joeel93_","5/18/2025, 11:15:42 PM","0","0","0","5","155","0","ar","No","Twitter for Android","#غرب_سوريا","https://x.com/joeel93_/status/1924197223857836400","photo","https://pbs.twimg.com/media/GrQfLVAXUAE7Neq.jpg, https://pbs.twimg.com/media/GrQfLUsXIAAa8IU.jpg",""
"=""1924775432127140062""","عاجل الان : القوات الروسية تسحق جرذان بني امية وارهابيين الجولاني في سوريا 

القوات الروسية بقاعدة حميميم بسوريا تهاجم بالرصاص الحي أرهابيين الجولاني بمدينة جبلة ….. مساكين جرذان بني امية الروسي بكل مكان وزمان يدعس على روسهم ويسحقهم ويهينهم . https://t.co/ISQAPMfstt","Tweet","نمير الكواك","nm_iq1","5/20/2025, 1:33:18 PM","29","62","3","320","7941","10","ar","No","Twitter for iPhone","","https://x.com/nm_iq1/status/1924775432127140062","video","https://video.twimg.com/amplify_video/1924775365756571648/vid/avc1/360x312/UvQepfU5kkBRDrgc.mp4?tag=21",""
"=""1924660832803094990""","الى من باع الشرف والعرض والدين بالمال إلى من باع دماء شهدائنا وجرحانا  إلى اولاد الزنا الخونه العملاء 
عواينية حمص وريفها
عواينية جبلة وريفها
عواينية القرداحة وريفها
عواينية حماة وريفها
عواينية طرطوس وريفها 
عواينية الشيخ سعد 
 وما ظلمناهم ولكن كانو أنفسهم يظلمون🤌🤏 https://t.co/nVZY9quhRy","Tweet","☀️علوية وافتخر ☀️","MemoKh1644524","5/20/2025, 5:57:55 AM","3","8","0","30","577","2","ar","No","Twitter for Android","","https://x.com/MemoKh1644524/status/1924660832803094990","photo","https://pbs.twimg.com/media/GrXE0xIWYAAX0a-.jpg, https://pbs.twimg.com/media/GrXE0wlWAAAeMKT.jpg, https://pbs.twimg.com/media/GrXE0zhWcAArmbU.jpg, https://pbs.twimg.com/media/GrXE0-QXQAAIX8i.jpg",""
"=""1924831077450842432""","#جبلة #حميميم الان اشتباكات بين الروس والمجهولين مطالبين الروس بالانسحاب فورا https://t.co/fKtc2GYCgd","Tweet","﷽آبـوٍوٍليڊﭰطيڜ💔⃢͜͡😴﷽","SwryH54312","5/20/2025, 5:14:25 PM","0","0","0","2","184","0","ar","No","Twitter for Android","#جبلة, #حميميم","https://x.com/SwryH54312/status/1924831077450842432","video","https://video.twimg.com/ext_tw_video/1924829998831050752/pu/vid/avc1/720x1280/VdRU5n40ABww4oHe.mp4?tag=12",""
"=""1925199964260462606""","ريف جبلة https://t.co/NDi89HuKZ8","Tweet","ريتاج خلف","Retag_Khalaf","5/21/2025, 5:40:14 PM","2","0","0","28","304","1","ar","No","Twitter Web App","","https://x.com/Retag_Khalaf/status/1925199964260462606","photo","https://pbs.twimg.com/media/GrevKCQX0AAHQCT.jpg",""
"=""1924039163109679308""","🔴 مايقارب ال 100 شهيد في أربع مقابر جماعية في قرية الصنوبر بريف جبلة

📌أظهرت صور جديد المقابر الجماعية التي قام نظام الجولاني الجهادي بإخفاء ضحايا مجزرة الإبادة التي ارتكبها في قرية الصنوبر في آذار/مارس.

📌 جمع الأهالي أسماء الضحايا في قوائم وبلغت أعداد الضحايا : 44 شهيد في https://t.co/BoaAs5IDMu","Tweet","Syrian Democratic Ob. | المرصد الديموقراطي السوري","CoastSyrian25","5/18/2025, 12:47:38 PM","2","80","5","307","15654","11","ar","No","Twitter for iPhone","","https://x.com/CoastSyrian25/status/1924039163109679308","photo","https://pbs.twimg.com/media/GrOPYYUWEAAVdZE.jpg, https://pbs.twimg.com/media/GrOPYYQXkAA_xCI.jpg, https://pbs.twimg.com/media/GrOPYYTWYAE3mpv.jpg, https://pbs.twimg.com/media/GrOPYYPXgAA2qfH.jpg",""
"=""1925172074571608155""","أعلن الموقع العسكري الروسي الرسمي ""ريبار"" 
عن مقتل جنديين روسيين نتيجة الاشتباكات التي اندلعت صباح أمس في محيط #قاعدة_حميميم العسكرية قرب مدينة #جبلة.
الروس باتوا غير قادرين على حماية أنفسهم في #سوريا فعجبا لمن يطلب منهم ""حماية دولية "" https://t.co/TawxMXi4bD","Tweet","Namir Bani maruf","BaniMaruf","5/21/2025, 3:49:25 PM","0","0","0","1","106","0","ar","No","Twitter for Android","#قاعدة_حميميم, #جبلة, #سوريا","https://x.com/BaniMaruf/status/1925172074571608155","video","https://video.twimg.com/ext_tw_video/1925171951619780608/pu/vid/avc1/1280x672/gTwJZBn72P3xpJgV.mp4?tag=12",""
"=""1924860721600344197""","@aprahem517 تغريدة من المستقبل :
في عام 3025 تم العثور على جثة من كان ينتظر قانون #البدون
المسكين مات و مازل القانون على الطاولة متحجراً ليصبح مزار و معلم تاريخي سياحي يصور معه سياح مجرة درب الزلق https://t.co/h9lBTKiC3C","Reply","خيَّال جبلة","optemus2077","5/20/2025, 7:12:12 PM","0","0","0","2","1689","0","ar","No","Twitter for Android","#البدون","https://x.com/optemus2077/status/1924860721600344197","photo","https://pbs.twimg.com/media/GrZ6n9rXMAE__4C.jpg, https://pbs.twimg.com/media/GrZ6n89XQAEzVCq.jpg",""
