"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1921148341095641578""","#ديرالزور
توفي صباح اليوم 6 مدنيين إثر حادث سير مروّع بين حافلة نقل ركاب ""بولمان"" وشاحنة مُحمّلة بالأغنام على طريق ديرالزور دمشق بالقرب من منطقة #الشولا جنوب مدينة ديرالزور
من بين الوفيات ""خلف حسن المحمد"" من بلدة #محيميدة بريف ديرالزور الغربي
#الشرقية24
#سوريا https://t.co/r2GMUZxRry","Tweet","شبكة الشرقية 24","alsharqia24news","5/10/2025, 1:20:32 PM","0","0","0","1","254","0","ar","No","Twitter Web App","#ديرالزور, #الشولا, #محيميدة, #الشرقية24, #سوريا","https://x.com/alsharqia24news/status/1921148341095641578","photo","https://pbs.twimg.com/media/GqlKOHBXMAAlKPY.jpg, https://pbs.twimg.com/media/GqlKOG_XAAAwcGy.png",""
"=""1883950513840132494""","توفي عدد من المدنيين وأُصيب آخرون إثر حادث سير مروّع لحافلة نقل (بولمان) في منطقة طلوع الثنايا عند المدخل الشمالي لمدينة #دمشق، حيث اتجهت الحافلة من مدينة #منبج الى دمشق
#الشرقية24
#سوريا https://t.co/DgevE8inMR","Tweet","شبكة الشرقية 24","alsharqia24news","1/27/2025, 9:49:39 PM","0","0","0","4","368","0","ar","No","Twitter Web App","#دمشق, #منبج, #الشرقية24, #سوريا","https://x.com/alsharqia24news/status/1883950513840132494","video","https://video.twimg.com/ext_tw_video/1883950421858811904/pu/vid/avc1/472x848/x47q-F8WD5eJaNPH.mp4?tag=12",""
"=""1853482568349364492""","وفاة شخصين وإصابة 20 آخرين نتيجة حادث سير على طريق عام سلمية - الرقة

توفي شخصان وأصيب 20 آخرين نتيجة حادث سير ناجم عن اصطدم صهريج متجه إلى محافظة الرقة بـ باص بولمان لنقل الركاب متجه إلى حماة على طريق عام سلمية - الرقة.
https://t.co/R7j1NGYgu4
#سوريا https://t.co/EbgslcE8G2","Tweet","جهينة نيوز","jouhinanewssy","11/4/2024, 8:00:54 PM","0","0","0","0","179","0","ar","No","Twitter for Android","#سوريا","https://x.com/jouhinanewssy/status/1853482568349364492","photo","https://pbs.twimg.com/media/GbjkknAXgAAxCVq.jpg, https://pbs.twimg.com/media/GbjkknPX0AAGJo0.jpg, https://pbs.twimg.com/media/GbjkkjzWwAA_wnw.jpg, https://pbs.twimg.com/media/GbjkkqFXAAIZ4G_.jpg","https://jpnews-sy.com/ar/news.php?id=242617"
"=""1909201618387476777""","حادث سير مروع على طريق #دمشق_ديرالزور، حيث وقع اصطدام بين #بولمان وسيارة أخرى بالقرب من مدينة #السخنة وقرية #كباجب. الحادث أسفر عن وفاة عدد من المدنيين وإصابة آخرين بجروح خطرة. فرق الإسعاف والأجهزة الأمنية تعمل على معالجة الوضع في المكان.

#سوريا #دمشق #ديرالزور #السخنة #كباجب https://t.co/8vlWsXZ6eS","Tweet","شبكة أخبار سوريا","SyrNetworkNews","4/7/2025, 2:08:31 PM","5","0","0","14","2344","1","ar","No","Twitter for Android","#دمشق_ديرالزور, #بولمان, #السخنة, #كباجب, #سوريا, #دمشق, #ديرالزور, #السخنة, #كباجب","https://x.com/SyrNetworkNews/status/1909201618387476777","video","https://video.twimg.com/ext_tw_video/1909201522220576768/pu/vid/avc1/718x1280/iRweh0_QLfzLLIow.mp4?tag=12",""
"=""1909189494017826979""","حادث سير على طريق #ديرالزور - #دمشق إثر اصطدام حافلة نقل مدنيين (بولمان) وسيارة أخرى بين مدينة #السخنة و قرية #كباجب، وأنباء عن وفاة عدد من المدنيين وإصابة آخرين بجروح خطرة
#الشرقية24
#سوريا https://t.co/1A83HRK7IH","Tweet","شبكة الشرقية 24","alsharqia24news","4/7/2025, 1:20:21 PM","0","0","0","1","284","0","ar","No","Twitter Web App","#ديرالزور, #دمشق, #السخنة, #كباجب, #الشرقية24, #سوريا","https://x.com/alsharqia24news/status/1909189494017826979","video","https://video.twimg.com/ext_tw_video/1909189433653395456/pu/vid/avc1/478x850/PcJY3MiEjGaCrbpg.mp4?tag=12",""
"=""1909226016502919302""","#عاجــــــــــــــــل

وفاة 4 مدنيين وإصابة 9 آخرين بينهم طفلان و3 نساء جراء حادث سير أليم بتصادم سيارة شاحنة أنتر وحافلة لنقل الركاب بولمان على طريق #ديرالزور #تدمر بالقرب من قرية #كباجب https://t.co/PU4zYDryMF","Tweet","سوريا لحظة بلحظة","Almohrar1","4/7/2025, 3:45:28 PM","0","0","0","1","387","0","ar","No","Twitter for Android","#عاجــــــــــــــــل, #ديرالزور, #تدمر, #كباجب","https://x.com/Almohrar1/status/1909226016502919302","photo","https://pbs.twimg.com/media/Gn7u8V-XsAEBSrv.jpg",""
"=""1909222239095976181""","وفاة 4 مدنيين وإصابة 9 مدنيين آخرين بينهم طفلان و 3 نساء في حادث سير أليم وقع اليوم الاثنين 7 نيسان، بتصادم سيارة شاحنة وحافلة لنقل الركاب (بولمان) على طريق #ديرالزور – #تدمر بالقرب من قرية كباجب.

#الخوذ_البيضاء #سوريا https://t.co/ULw9it8SD5","Tweet","Abdulrahman Al Hariri","abdulrahmanpho","4/7/2025, 3:30:28 PM","0","0","0","0","169","0","ar","No","Twitter for iPhone","#ديرالزور, #تدمر, #الخوذ_البيضاء, #سوريا","https://x.com/abdulrahmanpho/status/1909222239095976181","photo","https://pbs.twimg.com/media/Gn7rgGkWYAA73MC.jpg, https://pbs.twimg.com/media/Gn7rgGiWwAAP7oJ.jpg, https://pbs.twimg.com/media/Gn7rgJrWIAA9mDD.jpg, https://pbs.twimg.com/media/Gn7rgJtWkAA785E.jpg",""
"=""1833955241550647634""","🔴 وصل | توفي شخص وأصيب 22 آخرين، اليوم الأربعاء، إثر حادث سير قرب مفرق الدارة الكبيرة على طريق حمص- حماة (سوريا)، ناجم عن انقلاب حافلة بولمان عقب اصدامها بدراجة نارية مسرعة.","Tweet","وصل","waslnew","9/11/2024, 10:46:17 PM","0","0","0","0","79","0","ar","No","Twitter for Android","","https://x.com/waslnew/status/1833955241550647634","","",""
"=""1833867198374302101""","وفاة شخص وإصابة 22 آخرين  جراء حادث سير على تحويلة ( #حماة  ــ #حمص ــ #دمشق )
تدهورت مركبة باص نوع (بولمان) على طريق تحويلة ( حماة ــ حمص ــ دمشق)  نتيجة اصطدامها بدراجة نـ.ارية نوع (بارت) ما أدى إلى وفـ.اة شخص وإصـ.ابة اثنان وعشرين آخرين وأضرار مادية بالمركبة.

#نبض_سوريا https://t.co/cbRT2lBi7e","Tweet","نبض سوريا","pulse1_syria","9/11/2024, 4:56:26 PM","0","0","0","0","131","0","ar","No","Twitter for Android","#حماة, #حمص, #دمشق, #نبض_سوريا","https://x.com/pulse1_syria/status/1833867198374302101","photo","https://pbs.twimg.com/media/GXM0fE7WMAAIFcj.jpg, https://pbs.twimg.com/media/GXM0fevWEAA2cgb.jpg, https://pbs.twimg.com/media/GXM0fipX0AAVgBM.jpg, https://pbs.twimg.com/media/GXM0f1RW8AASEMD.jpg",""
"=""1801542963291365848""","🔵 مقتل وإصابة عدة أشخاص في حادث سير مأساوي وقع في مدينة #اللاذقية الساحلية في #سوريا، الجمعة.

🔵 وكالة أنباء ""سانا"" التابعة للنظام السوري قالت إن ""ستة أشخاص توفوا وأصيب آخرون بجروح متفاوتة جراء حادث سير وقع اليوم (الجمعة) لحافلة بولمان نقل جماعي قادمة من حلب باتجاه اللاذقية https://t.co/JRK7ivdctf","Tweet","قناة الحرة","alhurranews","6/14/2024, 12:11:28 PM","0","0","0","3","2349","0","ar","No","Twitter Web App","#اللاذقية, #سوريا","https://x.com/alhurranews/status/1801542963291365848","photo","https://pbs.twimg.com/media/GQBdxU4WAAAI3lJ.jpg, https://pbs.twimg.com/media/GQBdxU_XYAAnCev.jpg, https://pbs.twimg.com/media/GQBdxU7XwAAQKZZ.jpg, https://pbs.twimg.com/media/GQBdxVAW4AAP5-Q.jpg",""
