"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1921620074600775979""","لو تمت محاسبة من قتل الطفل إبراهيم شاهين في قرية حرف بنمرة على العلن لما تجرأ على قتل الطفل زين هلال العلي وحيدر باسل  الجردي على قتلهم في قرية زاما في الأمس https://t.co/V6JdS7J1Vl","Tweet","الساحل السوري Syrian coast","SyriaTruthNews","5/11/2025, 8:35:02 PM","0","6","2","28","549","1","ar","No","Twitter for Android","","https://x.com/SyriaTruthNews/status/1921620074600775979","photo","https://pbs.twimg.com/media/Gqr3RgpWQAAEqtp.jpg, https://pbs.twimg.com/media/Gqr3RgsW8AA4rPn.jpg",""
"=""1921488806227722434""","الشـ.هيد الطـ.فل (حيدر باسل الجردي - 13 عامًا) من قرية درميني في جبلة، أحد شهـ.داء مجـ.زرة "" زاما "" البارحة، 10-5-2025. https://t.co/2ZbhjYDBJ9","Quoted tweet","الساحل السوري Syrian coast","SyriaTruthNews","5/11/2025, 11:53:25 AM","0","4","2","23","889","2","ar","No","Twitter for Android","","https://x.com/SyriaTruthNews/status/1921488806227722434","photo","https://pbs.twimg.com/media/Gqp_4uEWkAAmCar.jpg",""
"=""1909306013850665455""","بإشراف مسؤول الأمن العام في بانياس عامر المدني...

 تقديم مساعدات مالية لأهالي قرية حرف بنمرة في ريف بانياس وذلك بدعم من إدارة الأمن العام ولجنة السلم الأهلي بقيادة الشيخ فادي صقر. https://t.co/3nI8OoVLcR","Tweet","رؤى لدراسات الحرب","Roaastudies","4/7/2025, 9:03:21 PM","8","3","1","111","14703","5","ar","No","Twitter for Android","","https://x.com/Roaastudies/status/1909306013850665455","photo","https://pbs.twimg.com/media/Gn83swYXcAA7uRt.jpg, https://pbs.twimg.com/media/Gn83svuWIAEvUqC.jpg, https://pbs.twimg.com/media/Gn83swwXIAA7WXr.jpg",""
"=""1909267487960559688""","بإشراف مسؤول الأمن العام في بانياس عامر المدني

يتم تقديم مساعدات مالية لأهالي قرية حرف بنمرة في ريف بانياس وذلك بدعم من إدارة الأمن العام ولجنة السلم الأهلي (فادي صقر)
😡
كان الاولى بهذه الفلوس تروح للناس الي تضررت بيوتها 🥺 https://t.co/eEaIrq4b3R","Tweet","عابد دياب 💚🤍🖤","GodGod596444","4/7/2025, 6:30:16 PM","0","0","0","0","54","0","ar","No","Twitter for Android","","https://x.com/GodGod596444/status/1909267487960559688","photo","https://pbs.twimg.com/media/Gn8UqETW8AAYqEZ.jpg",""
"=""1912091212200157526""","بعد مرور نحو 15 يوماً على اعــتـقـال الـمـتـورطـيـن في مـجـزرة #حرف_بنمرة، #المرصد_السوري يُطالب القيادة في محافظة #طرطوس بالكشف عن نتائج التحقيق والإجراءات المتخذة لتقديمهم إلى المحاكمة

📌الثقة مفقودة بهالحكومة 100% 
اذا بدنا نجهز تقرير عن حالات (تناسي معاقبة المجرمين) ما منخلص","Tweet","salsabeela ⛲️ سلسبيلا","User7976115971","4/15/2025, 1:30:44 PM","1","1","0","4","85","0","ar","No","Twitter for iPhone","#حرف_بنمرة, #المرصد_السوري, #طرطوس","https://x.com/User7976115971/status/1912091212200157526","","",""
"=""1912074918356729894""","بعد مرور نحو 15 يوماً على اعـ ـتـ ـقـ ـال الـ ـمـ ـتـ ـورطـ ـيـ ـن في مـ ـجـ ـزرة قرية #حرف_بنمرة، #المرصد_السوري لحقوق الإنسان يُطالب القيادة في محافظة #طرطوس بالكشف عن نتائج التحقيق والإجراءات المتخذة لتقديمهم إلى المحاكمة
https://t.co/VyJRx9ovsX","Tweet","المرصد السوري لحقوق الإنسان","syriahr","4/15/2025, 12:25:59 PM","19","35","1","284","8253","2","ar","No","Twitter Web App","#حرف_بنمرة, #المرصد_السوري, #طرطوس","https://x.com/syriahr/status/1912074918356729894","","","https://www.syriahr.com/%d8%a8%d8%b9%d8%af-%d9%85%d8%b1%d9%88%d8%b1-%d9%86%d8%ad%d9%88-15-%d9%8a%d9%88%d9%85%d8%a7%d9%8b-%d8%b9%d9%84%d9%89-%d8%a7%d8%b9%d8%aa%d9%82%d8%a7%d9%84-%d8%a7%d9%84%d9%85%d8%aa%d9%88%d8%b1%d8%b7/756937/"
"=""1909709687248855193""","""دية"" غير معلنة بإشراف أمني تحت غطاء ""مساعدات مالية"" لقرية حرف بنمرة  #  https://t.co/BFlRKmrtiN","Tweet","صحيفة ليفانت نيوز","levantnewsAR","4/8/2025, 11:47:24 PM","0","0","0","0","51","0","ar","No","thelevantnewsen","","https://x.com/levantnewsAR/status/1909709687248855193","","","https://levant-news.com/article/283258"
"=""1909354286120644898""","بإشراف مسؤول الأمن العام في بانياس، عامر المدني، تقديم مساعدات مالية لأهالي قرية حرف بنمرة في ريف بانياس، وذلك بدعم من إدارة الأمن العام ولجنة السلم الأهلي.
ا https://t.co/3e5xKjGbcF","Tweet","همام","HamamIssa7","4/8/2025, 12:15:10 AM","4","4","1","21","2231","1","ar","No","Twitter for Android","","https://x.com/HamamIssa7/status/1909354286120644898","photo","https://pbs.twimg.com/media/Gn9jmS6XsAAX34Z.jpg, https://pbs.twimg.com/media/Gn9jmU9XcAA09zA.jpg, https://pbs.twimg.com/media/Gn9jmWgWgAAiZsQ.jpg, https://pbs.twimg.com/media/Gn9jmeKXgAANkhH.jpg",""
"=""1909319422764106180""","بإشراف مسؤول الأمن العام في بانياس، عامر المدني، تقديم مساعدات مالية لأهالي قرية حرف بنمرة في ريف بانياس، وذلك بدعم من إدارة الأمن العام ولجنة السلم الأهلي.

🔻مراسل الأمن العام https://t.co/8fIwmWS9zA","Tweet","مراسل الأمن العام","murasil_amniun","4/7/2025, 9:56:38 PM","7","7","1","114","6492","0","ar","No","Twitter for Android","","https://x.com/murasil_amniun/status/1909319422764106180","photo","https://pbs.twimg.com/media/Gn9D5JJXwAAze82.jpg, https://pbs.twimg.com/media/Gn9D5WHW8AAnIA1.jpg, https://pbs.twimg.com/media/Gn9D5SYWYAEIMqU.jpg, https://pbs.twimg.com/media/Gn9D5H9WoAA7ZpK.jpg",""
"=""1909314744030277985""","دعم مالي للنصيرية في بانياس - حرف بنمرة

تم تقديم مساعدات مالية للنصيرية بإشراف من مسؤول الأمن العام عامر المدني - بدعم من إدارة الأمن العام ولجنة السلم الأهلي!

حسبي الله ونعم الوكيل النصيري و الدرزي يقتل وينُكل بأهل السُنَّة و السُنَّة يقبعون في الخيام ومازالوا يبحثون عن رفات https://t.co/GF8BTiLoyZ","Tweet","‏۞ Yazid ‏( بَنِّي أُمَيَّة ) 🏳️","Bani_umayyadd","4/7/2025, 9:38:02 PM","16","6","1","74","1903","1","ar","No","Twitter for iPhone","","https://x.com/Bani_umayyadd/status/1909314744030277985","photo","https://pbs.twimg.com/media/Gn8_o2lX0AAtgPR.jpg, https://pbs.twimg.com/media/Gn8_o2gXAAENjA0.jpg",""
"=""1909309281922408914""","دعم نقدي للعلويين ..
ولأهل الخيام بالحب بدنا نعمرها ..
بإشراف مسؤول الأمن العام في بانياس عامر المدني
تقديم مساعدات مالية لأهالي قرية حرف بنمرة النصيرية  في ريف بانياس، وذلك بدعم من إدارة الأمن العام ولجنة السلم الأهلي https://t.co/ilP0Y03lxF","Tweet","Wolverine","Wolveri07681751","4/7/2025, 9:16:20 PM","79","32","3","432","23685","17","ar","No","Twitter for Android","","https://x.com/Wolveri07681751/status/1909309281922408914","photo","https://pbs.twimg.com/media/Gn86rCcWEAA7qV_.jpg, https://pbs.twimg.com/media/Gn86rCFXAAA4Km1.jpg",""
"=""1921568447902748898""","لو تمت محاسبة من قتل الطفل إبراهيم شاهين في قرية حرف بنمرة على العلن لما تجرأ قاتل الطفل حيدر باسل الجردي على قتله في زاما البارحة..","Tweet","The-Dealer","ABO_LAILAAA","5/11/2025, 5:09:53 PM","0","0","0","2","148","0","ar","No","Twitter for Android","","https://x.com/ABO_LAILAAA/status/1921568447902748898","","",""
"=""1909296162810589477""","بإشراف مسؤول الأمن العام في بانياس عامر المدني
يتم تقديم مساعدات مالية لأهالي قرية حرف بنمرة في ريف بانياس وذلك بدعم من إدارة الأمن العام ولجنة السلم الأهلي

İ","Tweet","Ali Al Barghouth","AliAlBarghout","4/7/2025, 8:24:12 PM","0","0","0","0","39","0","ar","No","Twitter for iPhone","","https://x.com/AliAlBarghout/status/1909296162810589477","","",""
"=""1909289960584208649""","بإشراف مسؤول الأمن العام في بانياس عامر المدني

يتم تقديم مساعدات مالية لأهالي قرية حرف بنمرة في ريف بانياس وذلك بدعم من إدارة الأمن العام ولجنة السلم الأهلي (فادي صقر)
#سوريا الى اين 
لن تدوم هذه الحكومه كثيراً لانها تسلقت على دماء السوريين السنه https://t.co/I2Q8WbtEHY","Tweet","ابو ركان","aarkan701","4/7/2025, 7:59:34 PM","0","0","1","2","1431","0","ar","No","Twitter for Android","#سوريا","https://x.com/aarkan701/status/1909289960584208649","photo","https://pbs.twimg.com/media/Gn8pF8AXgAA3nNz.jpg, https://pbs.twimg.com/media/Gn8pF6DXgAA2wIT.jpg",""
