"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925153070742155677""","حسين العلي الجغيفي : 

هذا المجرم حسين العلي الجغيفي هو وأولاده وأحفاده من تعامل مع الأمن في عهد العصابة الأسدية إلى شبيح وتاجر سلاح ومخدرات مع المليشيات الإيرانية 
هذه الأسلحة اليوم تم الكشف عنها في مستودعات تابعة له في قرية الهري على الحدود السورية العراقية ومعروف ارتباطه https://t.co/VOECgB2QUJ","Tweet","ساري الحمد Sari","SariHamad6","5/21/2025, 2:33:54 PM","4","2","1","70","2058","2","ar","No","Twitter for iPhone","","https://x.com/SariHamad6/status/1925153070742155677","photo","https://pbs.twimg.com/media/GreEgwqXIAAEmef.jpg, https://pbs.twimg.com/media/GreEgwoXsAAFFHC.jpg, https://pbs.twimg.com/media/GreEgwsXcAA-z3_.jpg",""
"=""1925249748770201949""","القبض على مهرب خطير في دير الزور
.
الملقب بـ""الحوت"" يعتقل مع أبنائه و أحفاده و أفراد من شبكته المتهمة بإدارة عمليات تهريب واسعة في #ديرالزور. حسين #الجغيفي ""الحوت"", من أهالي ""#الهري"" في #البوكمال, متهم بالتهريب بين #سوريا و #العراق لسنوات, حيث صودرت أثناء العملية من مستودعه, الذي https://t.co/deDPXd2eZu","Tweet","المشرق الاخباري...نحن وراء الحقيقة","Dina_Amir28","5/21/2025, 8:58:04 PM","0","0","0","0","49","0","ar","No","Twitter Web App","#ديرالزور, #الجغيفي, #الهري, #البوكمال, #سوريا, #العراق","https://x.com/Dina_Amir28/status/1925249748770201949","video","https://video.twimg.com/amplify_video/1925249588857864192/vid/avc1/320x482/NdbBwpXxSFqUuMlw.mp4?tag=21",""
"=""1914392090550612272""","أشهر كلماته 
لن أسمح بسقوط بغداد
المواليد : 1957
أستشهد : 2020/1/3

▪️أعظم قائد شيعي بالعصر الحديث .... https://t.co/KEiW67wbBv","Tweet","د.حسين الصافي","alsafi_husien","4/21/2025, 9:53:36 PM","1243","167","27","2189","238059","68","ar","No","Twitter for Android","","https://x.com/alsafi_husien/status/1914392090550612272","photo","https://pbs.twimg.com/media/GpFJde0WAAA0ik7.jpg",""
"=""1925146111590773232""","هذا هو الحوت ومن حوله هم أولاده وأحفاده وأفراد عصابته الشهيرة في دير الزور بتجارة المخدرات

قبضت إدارة الأمن العام على حسين علي الجغيفي الملقب بالحوت في مدينة #البوكمال على الحدود السورية العراقية https://t.co/000oWFMTie","Tweet","أحمد العقدة","alokdehahmad","5/21/2025, 2:06:15 PM","48","31","2","567","8079","30","ar","No","Twitter for Android","#البوكمال","https://x.com/alokdehahmad/status/1925146111590773232","video","https://video.twimg.com/ext_tw_video/1925146093102174208/pu/vid/avc1/480x848/NVlYXUcMKvZrPmoT.mp4?tag=12",""
"=""1924948998122610916""","الصورة الأولية لاعتقال ""حسين العلي الجغيفي""، الملقب بـ (الحوت) مع عدد من أبناءه وأحفادهِ، وأفراد من شبكة التهريب التي تديرها العائلة في البوكمال شرق دير الزور. https://t.co/SVUbyqs4fs","Tweet","ردع العدوان","3M_SI","5/21/2025, 1:02:59 AM","111","172","4","2357","309783","104","ar","No","Twitter for Android","","https://x.com/3M_SI/status/1924948998122610916","photo","https://pbs.twimg.com/media/GrbK6T2XgAA8ly2.jpg",""
"=""1925165319804326206""","قلتها مرارا وتكرارا. طهروا الامن العام. بدير الزور اولاً. 

عمّت الفرحة بين الناس، الذين اعتبروا أن زمن الواسطة والمحسوبيات قد انتهى. لكن لم تدم هذه الفرحة طويلًا.

حُجّة جاهزة كانت بانتظار الجميع: حسين مريض بالسكري! تم نقله إلى مشفى الجورة في محافظة دير الزور، وبعد ساعات فقط، https://t.co/RFJCg4L19a","Tweet","خالد","sviuo3","5/21/2025, 3:22:34 PM","0","0","1","3","504","0","ar","No","Twitter for iPhone","","https://x.com/sviuo3/status/1925165319804326206","photo","https://pbs.twimg.com/media/GrePomgXYAABdca.jpg",""
"=""1924702208358015114""","المذيع #حسين_الشيخ 
@HusseinAlshiekh
الشبيح سابقا الذي لم يدفع ثمن منذ بدايه الثوره تعود التسلق على كل شي ..
يطل عليها بفيديو من مناطق قسد في الرقه قسد التي استوطنت بيوتنا واعتقلت شبابنا ليتحفنا بكلمات رنانه من امام بيته ..
حسين الشيخ باعنا ليروح يزور قبر ابوه..كما باعنا سابقا https://t.co/0Q3Rjy7AGH","Tweet","ليلى المهلهل","iliciatota1990","5/20/2025, 8:42:20 AM","1","1","0","6","464","0","ar","No","Twitter for Android","#حسين_الشيخ","https://x.com/iliciatota1990/status/1924702208358015114","video","https://video.twimg.com/ext_tw_video/1924702178863710208/pu/vid/avc1/576x1024/Jeyp44F8i0xJjIwc.mp4?tag=12",""
"=""1925122357087150224""","🚨 🚨 🚨 
الامن السوري يعتقل (حسين العلي الجغيفي) الملقب بـ 《الحوت》مع عدد من أبناءه وأحفادهِ، وأفراد من شبكة تهريب السلاح  التي تديرها العائلة في مدينة #البوڪمال الحدودية مع #العراق شرق دير الزور وهو أكبر تاجر سلاح في المنطقة وعلى مستوى سوريا والعراق 
#سوريا https://t.co/yCIaIiPWqn","Tweet","الأحداث الشامية","activist6681","5/21/2025, 12:31:51 PM","57","64","5","685","214291","76","ar","No","Twitter for Android","#البوڪمال, #العراق, #سوريا","https://x.com/activist6681/status/1925122357087150224","video","https://video.twimg.com/ext_tw_video/1925122337399013376/pu/vid/avc1/480x848/qLnl5RP8XGbgBSfb.mp4?tag=12",""
"=""1084837464496316416""","أعلنت إدارة نادي @ALAHLI_FC تعاقدها مع اللاعب حسين عبدالغني (41 عام) في صفقة انتقال حر إلى نهاية الموسم بعد انتهاء علاقته مع نادي أحد بالتراضي. https://t.co/Fweb78ieyq","Tweet","دوري روشن السعودي","SPL","1/14/2019, 5:39:41 PM","53","172","13","340","","4","ar","No","Twitter for Android","","https://x.com/SPL/status/1084837464496316416","photo","https://pbs.twimg.com/media/Dw4d4xRX4AE_YXE.jpg, https://pbs.twimg.com/media/Dw4d5abWsAAiRsU.jpg, https://pbs.twimg.com/media/Dw4d6A6X0AcDMEx.jpg, https://pbs.twimg.com/media/Dw4d6k4WkAERZjT.jpg",""
"=""1925225753353892220""","انتهت أسطورة ""الحوت"" التي استمرت عقودا
فقد نجح الامن العام في اقتحام مقر ""حسين العلي الجغيفي"" ، الملقب بـ"" #الحوت""، وذلك في ""الهري"" بمنطقة #البوكمال في #ديرالزور مع عدد من أبنائه وأحفادهِ وأعوانه في شبكة #التهريب https://t.co/8CjPrSdmEg","Tweet","Medhat Ali","MedhatAli88","5/21/2025, 7:22:43 PM","0","0","0","0","259","0","ar","No","Twitter for Android","#الحوت, #البوكمال, #ديرالزور, #التهريب","https://x.com/MedhatAli88/status/1925225753353892220","video","https://video.twimg.com/ext_tw_video/1925225656364806145/pu/vid/avc1/476x718/TY6lfPcUDvWASl4v.mp4?tag=12",""
