"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1924516494542557488""","تصاعد في حوادث الخطف والقتل بحق مدنيين من الطائفة العلوية منذ 13 أيار عقب الإعلان عن رفع العقوبات عن #سوريا
@hrw
@USEmbassySyria
@GermanyOnMENA
@UKforSyria
@francediplo_AR
@JBaptisteFaivre

#حمص #مصياف #جبلة #اللاذقية #طرطوس #حماة #السلمية #العلويين

 https://t.co/5kOc4J3dNF","Tweet","Kurd Online","kurdonline","5/19/2025, 8:24:22 PM","0","0","0","0","106","0","ar","No","Twitter Web App","#سوريا, #حمص, #مصياف, #جبلة, #اللاذقية, #طرطوس, #حماة, #السلمية, #العلويين","https://x.com/kurdonline/status/1924516494542557488","","","https://kurd-online.com/%d8%aa%d8%b5%d8%a7%d8%b9%d8%af-%d9%81%d9%8a-%d8%ad%d9%88%d8%a7%d8%af%d8%ab-%d8%a7%d9%84%d8%ae%d8%b7%d9%81-%d9%88%d8%a7%d9%84%d9%82%d8%aa%d9%84-%d8%a8%d8%ad%d9%82-%d9%85%d8%af%d9%86%d9%8a%d9%8a%d9%86/"
"=""1924413517408428301""","""حبر على ورق""؟
وعود حكومية بمحاسبة المسؤولين عن حوادث الغسانية بريف #حمص

https://t.co/3Nb4zU5cBz https://t.co/OAYgBvqQdr","Tweet","نبض سوريا","tvnabdsyria","5/19/2025, 1:35:11 PM","0","0","0","0","40","0","ar","No","Twitter Web App","#حمص","https://x.com/tvnabdsyria/status/1924413517408428301","photo","https://pbs.twimg.com/media/GrTj4kJX0AAK3xS.jpg","https://nabdsyria.tv/2528-.html"
"=""1924222575158370684""","للمعلومة طريق دير الزور الذي يصلها بحمص ودمشق هو طريق زراعي بالأصل، وليس أوتستراد بالمعنى الحقيقي، أمس حادث ثالث قضى فيه زوجان والضحايا بغالبيتهم من دير الزور وشرقي حمص، ثلاثة حوادث بظرف أسبوع فقط، بولمانات، سيارات، شاحنات، منذ التحرير تقريباً لدينا أكثر من 34 حادث مروري أودت","Tweet","زين العابدين | Zain al-Abidin","DeirEzzore","5/19/2025, 12:56:26 AM","11","15","1","240","14111","7","ar","No","Twitter for Android","","https://x.com/DeirEzzore/status/1924222575158370684","","",""
"=""1924221571436081352""","💢 أهم أحداث الجزيرة خلال الساعات الماضية 

حادث جديد أليم هو الثالث خلال أسبوع على طريق «الموت» دير الزور- تدمر، أسفر عن وفاة الشاب ""خضر الشكار"" وزوجتة وهما من أبناء مدينة القورية شرقي دير الزور

عملية تسلل لعناصر ميليـشـيا «قـسـد» نحو جبل الماشي في دير حافر شرقي حلب واستهدفوا","Quoted tweet","زين العابدين | Zain al-Abidin","DeirEzzore","5/19/2025, 12:52:27 AM","10","6","1","166","21757","1","ar","No","Twitter for Android","","https://x.com/DeirEzzore/status/1924221571436081352","","",""
"=""1920546027347546234""","كل المحافظات كوم وضع محافظة حمص بكوم ثاني 
الوضع الأمني كارثي
حوادث الصبايا مخيفة غير  مقبولة 
الخطف والاختفاء والاعتداء الجنسي مو شي جديد على النساء سوريا
بدنا نتحسن مو نعمل نفس الأفعال 
ياريت القضية تصير رأي عام لتتوقف لانو قادرين نوقفها","Tweet","شام عيون🇸🇾 Sham Aioun 🦉","OyounSham","5/8/2025, 9:27:09 PM","19","11","1","76","5004","3","ar","No","Twitter for Android","","https://x.com/OyounSham/status/1920546027347546234","","",""
"=""1920475256885571969""","@NoorHalabi95 @Niceboy21674122 انا أكتر حدا بعرف الهجري وشو عم يعمل
مارجعو عالسويدا بدون سبب لأن حوادث الطعن والضرب بجامعة حمص وبدرعا مين عملها ؟
أنا ماعم دافع عن حدا أنا بدي كل طلاب سورية تكون على مقاعدها وبجامعاتها بأمان","Reply","Reham","REHAMYEHYA18SY","5/8/2025, 4:45:56 PM","3","0","0","4","171","0","ar","No","Twitter for Android","","https://x.com/REHAMYEHYA18SY/status/1920475256885571969","","",""
"=""1918351251865256330""","🔴🇸🇨 عودة إرهابيين جهاديين من أشرفية صحنايا إلى تلبيسة في حمص

❗️❗️لم تحدث أي حوادث خطف في حمص المدينة يوم أمس أو اليوم أو قبله، وذلك لأنهم كانو يهاجمون الدروز، هذه السلطة الإرهابية هي من تتحكم بفصائل القتل والخطف الطائفية....

يجب أن يحاسب داعمي نظام القاعدة الإرهابي، من قطر https://t.co/zF5W3kX8x1","Tweet","Syrian Democratic Ob. | المرصد الديموقراطي السوري","CoastSyrian25","5/2/2025, 8:05:54 PM","0","46","1","257","27994","24","ar","No","Twitter for iPhone","","https://x.com/CoastSyrian25/status/1918351251865256330","video","https://video.twimg.com/amplify_video/1918351177919377408/vid/avc1/640x362/s93lmF11mwOHiPBe.mp4?tag=16",""
"=""1918339094460981337""","🔴عصابات تنظيم هيئة تحرير الشام يعترفون بقتل الدروز

يقول بالتسجيل ""ماخلى درزي ماقطع رأسه"" https://t.co/y73Yjm4z7E","Quoted tweet","Syrian Democratic Ob. | المرصد الديموقراطي السوري","CoastSyrian25","5/2/2025, 7:17:35 PM","0","70","29","231","98382","35","ar","No","Twitter for iPhone","","https://x.com/CoastSyrian25/status/1918339094460981337","video","https://video.twimg.com/amplify_video/1918339039339376645/vid/avc1/720x720/8nIgBIEj44_wcNZQ.mp4?tag=16",""
"=""1919500891029139834""","#المرصد_السوري
3 حوادث تقيد الحريات الشخصية خلال 24 ساعة.. متشددون يتبعون لـ""الحكومة السورية"" يهـ ـاجـ ـمـ ـون ناديين ليليين ومحلا لبيع الخمور في #دمشق و #حمص
https://t.co/zpTBBsi6IF","Tweet","المرصد السوري لحقوق الإنسان","syriahr","5/6/2025, 12:14:09 AM","8","22","0","187","7411","1","ar","No","Twitter Web App","#المرصد_السوري, #دمشق, #حمص","https://x.com/syriahr/status/1919500891029139834","","","https://www.syriahr.com/3-%d8%ad%d9%88%d8%a7%d8%af%d8%ab-%d8%aa%d9%82%d9%8a%d8%af-%d8%a7%d9%84%d8%ad%d8%b1%d9%8a%d8%a7%d8%aa-%d8%a7%d9%84%d8%b4%d8%ae%d8%b5%d9%8a%d8%a9-%d8%ae%d9%84%d8%a7%d9%84-24-%d8%b3%d8%a7%d8%b9%d8%a9/760082/"
"=""1919780439926919179""","كل يوم في حوادث قتل وخطف اطباء ب حمص  واللاذقية (دكتور مبارح ب جبلة ودكتور عيون بحمص )حتى صارت شغلة روتينية وخبر طبيعي عند شركاء الوطن  
بس كلو عادي وغير مهم طالما عنا الدكتور ابو دجانة يعلمنا استخدام القنابل الهجومية والدفاعية https://t.co/fOpI4VjEmH","Tweet","yara","1yaal","5/6/2025, 6:44:59 PM","0","0","0","6","145","1","ar","No","Twitter Web App","","https://x.com/1yaal/status/1919780439926919179","video","https://video.twimg.com/amplify_video/1919779007328878593/vid/avc1/720x1278/pnJoV0Akt35iuyRd.mp4?tag=14",""
