"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925268991964061803""","مئات المقاتلين الأجانب يحشدون في قرية ""الشراشير""  لشن هجوم جديد على ""حميميم""
#سوريا #روسيا #مقاتيلن #الشراشير #حميميم https://t.co/ke00KYUanQ","Tweet","i24NEWS Arabic","i24NEWS_AR","5/21/2025, 10:14:32 PM","0","0","0","1","17","0","ar","No","Wildmoka","#سوريا, #روسيا, #مقاتيلن, #الشراشير, #حميميم","https://x.com/i24NEWS_AR/status/1925268991964061803","video","https://video.twimg.com/amplify_video/1925268815211831296/vid/avc1/1280x720/rsqM73ckv29NTmsS.mp4?tag=14",""
"=""1862865700357865551""","💬 // اتمنى ان تكون غرفة عمليات ادلب قد جهزت نفسها لعمليات الردع للقصف الروسي بعد التحرير و السيطرة 

تبعد قاعدة حميميم الروسية 47 km عن كباني https://t.co/QsZVR58T7C","Tweet","المرصد العسكري ⧨","Military_OSTX","11/30/2024, 5:26:07 PM","12","13","0","333","35501","20","ar","No","Twitter for Android","","https://x.com/Military_OSTX/status/1862865700357865551","photo","https://pbs.twimg.com/media/Gdo6cjhXEAA2q8l.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1862865669370327040/pu/img/BcAa2D44lKXhpyuz.jpg",""
"=""1925186154061582773""","#اللاذقية
#رسمياً ،، موقع ريبار العسكري الروسي الرسمي يقول أن 5 جنود رووس قتلو خلال اشتباكات جرت أمس في محيط قاعدة حميميم المحتلة https://t.co/c3eBR2znyT","Tweet","شبكة أخبار سوريا","SyrNetworkNews","5/21/2025, 4:45:22 PM","71","25","7","729","21667","43","ar","No","Twitter for Android","#اللاذقية, #رسمياً","https://x.com/SyrNetworkNews/status/1925186154061582773","photo","https://pbs.twimg.com/media/GreimrlXYAATJkO.jpg",""
"=""1925162409565831357""","#قاعدة_حميميم في قلب النار.. تحشيد عسكري من مقاتلين أجانب يُنذر بكارثة 

#إرم_نيوز #سوريا https://t.co/vb9MvcUEQL","Tweet","Erem News - إرم نيوز","EremNews","5/21/2025, 3:11:00 PM","1","0","0","3","838","0","ar","No","Twitter Media Studio","#قاعدة_حميميم, #إرم_نيوز, #سوريا","https://x.com/EremNews/status/1925162409565831357","video","https://video.twimg.com/amplify_video/1925160676869464064/vid/avc1/1920x1080/QGntKUgovwuzYSHO.mp4?tag=16",""
"=""1925172074571608155""","أعلن الموقع العسكري الروسي الرسمي ""ريبار"" 
عن مقتل جنديين روسيين نتيجة الاشتباكات التي اندلعت صباح أمس في محيط #قاعدة_حميميم العسكرية قرب مدينة #جبلة.
الروس باتوا غير قادرين على حماية أنفسهم في #سوريا فعجبا لمن يطلب منهم ""حماية دولية "" https://t.co/TawxMXi4bD","Tweet","Namir Bani maruf","BaniMaruf","5/21/2025, 3:49:25 PM","0","0","0","2","130","0","ar","No","Twitter for Android","#قاعدة_حميميم, #جبلة, #سوريا","https://x.com/BaniMaruf/status/1925172074571608155","video","https://video.twimg.com/ext_tw_video/1925171951619780608/pu/vid/avc1/1280x672/gTwJZBn72P3xpJgV.mp4?tag=12",""
"=""1925267224333259129""","أسوشيتد برس: مقتل جنديين ومسلحين اثنين خلال هجوم على قاعدة حميميم في سوريا 
#العربية https://t.co/52tKko1KJZ","Tweet","العربية","AlArabiya","5/21/2025, 10:07:30 PM","0","0","0","6","2988","0","ar","No","Sprinklr","#العربية","https://x.com/AlArabiya/status/1925267224333259129","photo","https://pbs.twimg.com/media/GrfsVmtXsAA1AiQ.jpg",""
"=""1917258017281642664""","المدعو أبو دجانة يهدد الوجود الروسي في سوريا ويتوعد بعمليات ضدهم،
هؤلاء من أطلقوا المسيرات على قاعدة #حميميم #الروسية قبل ايام

هذه الفيديوهات جيدة لتسريع الخلاص من هذه النماذج 😃😃 كترولنا منهم بليز 🙏 https://t.co/UdSXFPPZBD","Tweet","maya","meme_syr3","4/29/2025, 7:41:46 PM","20","37","2","223","20950","24","ar","No","Twitter for Android","#حميميم, #الروسية","https://x.com/meme_syr3/status/1917258017281642664","video","https://video.twimg.com/ext_tw_video/1917257952362217473/pu/vid/avc1/624x352/PYLNWMCECRSQOlNe.mp4?tag=12",""
"=""1925239926217433228""","كيف سترد روسيا؟!
#رسمياً⁩ ..

موقع ريبار العسكري #الروسي الرسمي يقول إن 5 جنود رووس قُتلوا خلال اشتباكات جرت أمس في محيط قاعدة #حميميم في #سوريا يوم أمس https://t.co/MMb6rpXCU1","Tweet","المرصد الوطني السوري لحقوق الإنسان!","nur_al_yasmin","5/21/2025, 8:19:02 PM","3","9","0","34","405","2","ar","No","Twitter for Android","#رسمياً, #الروسي, #حميميم, #سوريا","https://x.com/nur_al_yasmin/status/1925239926217433228","photo","https://pbs.twimg.com/media/GrfTgk-WUAE2Gq3.jpg",""
"=""1923354279966085164""","قاعدة #روسيا بين فكي كماشة.. هل يستمر حصار ""#حميميم"" من قبل الفصائل السورية؟ 

#إرم_نيوز #قاعدة_حميميم #سوريا https://t.co/8DbvcCODCO","Tweet","Erem News - إرم نيوز","EremNews","5/16/2025, 3:26:09 PM","0","0","0","4","976","2","ar","No","Twitter Media Studio","#روسيا, #حميميم, #إرم_نيوز, #قاعدة_حميميم, #سوريا","https://x.com/EremNews/status/1923354279966085164","video","https://video.twimg.com/amplify_video/1923349012226478080/vid/avc1/1920x1080/w_0wVR6kohV2gRIi.mp4?tag=16",""
"=""1875141342407622728""","من مطار حميميم.. الثكنة الروسية الأكبر في سوريا.. انتصرت الثورة رغماً عنهم 

لا يدوم محتل ولا يبقى ظالم 
ولا يهنئ مجرم.. https://t.co/TTA4k3yjHD","Tweet","هادي العبدالله Hadi","HadiAlabdallah","1/3/2025, 2:25:09 PM","358","892","20","8387","232067","125","ar","No","Twitter for iPhone","","https://x.com/HadiAlabdallah/status/1875141342407622728","video","https://video.twimg.com/amplify_video/1875140211321004032/vid/avc1/1080x1920/9XjPdPwwAxo8rpAW.mp4?tag=16",""
