"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925227590438072795""","انتهى اليوم آخر فصول واحدة من أبشع الجرائم التي هزت وجدان المجتمع #السعودي 

#خاطفة_الدمام القصة التي امتدت لسنوات، طويت اليوم بيد العدالة #السعودية، تنفيذ حُكم القتل تعزيرا بجانيين في المنطقة الشرقية أقدما على خطف 3 أطفال حديثي الولادة، وسلكا دروب السحر والشعوذة بلا وازع من دين https://t.co/XGjEr95jU1","Tweet","سحاب | sahab","sahabnews1","5/21/2025, 7:30:01 PM","0","16","0","41","14312","21","ar","No","Twitter for iPhone","#السعودي, #خاطفة_الدمام, #السعودية","https://x.com/sahabnews1/status/1925227590438072795","video","https://video.twimg.com/amplify_video/1925226657540976641/vid/avc1/640x364/cxf_7AmIIoebJXXN.mp4?tag=21",""
"=""1925219568542183617""","في قضية عُرفت بـ #خاطفة_الدمام..

تنفيذ حُكم القتل تعزيرًا بجانيين في المنطقة الشرقية أقدما على خطف 3 أطفال حديثي الولادة وممارسة السحر والشعوذة https://t.co/TcQ8lFOlQ7","Tweet","مدار الشرقية","Sharqiya_Madar","5/21/2025, 6:58:08 PM","0","1","0","3","5835","0","ar","No","Twitter for Android","#خاطفة_الدمام","https://x.com/Sharqiya_Madar/status/1925219568542183617","video","https://video.twimg.com/ext_tw_video/1925219525995188224/pu/vid/avc1/1280x720/O3jZ19PSHr3NckJJ.mp4?tag=12",""
"=""1925122989185536005""","دخول مميز للفارسة السورية زينب في مضمار بسويسرا خطف الانظار فضل من الله انه الله ميزنا بكلشي وبكل مجال لنا الصدراة ✌🏻لسبب بسيط انه من اجتهد وجد https://t.co/84anQNfSrI","Tweet","umbader","terk2233","5/21/2025, 12:34:22 PM","0","0","0","2","87","0","ar","No","Twitter for iPhone","","https://x.com/terk2233/status/1925122989185536005","video","https://video.twimg.com/amplify_video/1925122898559127552/vid/avc1/468x640/zvjfMnejKZo-4O7d.mp4?tag=14",""
"=""1924787776756535299""","خلال يومين بالكثير رح تطلع الوزيرة @HindKabawat تبكي علينا دموع التماسيح:
""عم يهاجموني لأني الأنثى الوحيدة!""
مو لأنو مديرة مكتبها كانت مسؤولة عن ملف خطف أبناء المعتقلين أيام بشار الأسد!

النسوية عند البعض بتشتغل ع الطلب… وقت الفضايح!
#سوريا
#اقالة_هند_قبوات https://t.co/3zfLdkO7HI","Tweet","MANHAL ABDULRAZZAK","ManhlAbdulrazak","5/20/2025, 2:22:21 PM","0","2","0","28","1124","1","ar","No","Twitter for Android","#سوريا, #اقالة_هند_قبوات","https://x.com/ManhlAbdulrazak/status/1924787776756535299","photo","https://pbs.twimg.com/media/GrY4SF1X0AAS-v2.jpg",""
"=""1925168212783562944""","#الاردن #خبرني 
الأمن العام:   لا قضايا خطف أطفال بالأردن، والفيديو المتداول لحادثة تحرّش بطفلة في الرصيفة https://t.co/a5I5YSZZhM","Tweet","خبرني - khaberni","khaberni","5/21/2025, 3:34:04 PM","1","0","0","3","1369","0","ar","No","Twitter Web App","#الاردن, #خبرني","https://x.com/khaberni/status/1925168212783562944","photo","https://pbs.twimg.com/media/GreSQgMXsAAwZE-.jpg",""
"=""1925209137928888749""","في قضية عُرفت بـ #خاطفة_الدمام..

تنفيذ حُكم القتل تعزيرًا بجانيين في المنطقة الشرقية أقدما على خطف 3 أطفال حديثي الولادة وممارسة السحر والشعوذة

#الإخبارية https://t.co/mqUvRkVw7U","Tweet","قناة الإخبارية","alekhbariyatv","5/21/2025, 6:16:41 PM","243","854","148","1439","707895","394","ar","No","Wildmoka","#خاطفة_الدمام, #الإخبارية","https://x.com/alekhbariyatv/status/1925209137928888749","video","https://video.twimg.com/amplify_video/1925209040100990976/vid/avc1/1280x720/q5Gp4v94J1p9pjVN.mp4?tag=14",""
"=""1924246992756089000""",".
جريمه تهز م/#البيضاء
خطف الطفله انهار العامري من قبل عصابه مجرمه وبعد ان فعلو فعلتهم النكرا قامو برميها في بئر للماءقريب للمنطقة التي تسكنها اسرة الطفله اين عبدالوهاب الحميقاني صاحب حساب مبارك البيحاني @m_albayhani من هذه الجرائم التي تحدث بمسقط راسه ولا مشغول بالجنوبيين""👇🏽 https://t.co/fKt5nmUhft","Tweet","جٍنۈ̜̌بي̀́∇قلُ̜̌ب𓄂آلُإسُد̀́☆","gno0be","5/19/2025, 2:33:28 AM","17","46","2","111","7750","2","ar","No","Twitter for Android","#البيضاء","https://x.com/gno0be/status/1924246992756089000","photo","https://pbs.twimg.com/media/GrRMcCsXkAA35GB.jpg, https://pbs.twimg.com/media/GrRMcRCXYAAI1CP.jpg",""
"=""1925224224202858579""","الحمدلله 🇸🇦
في القضية المعروفة بـ #خاطفة_الدمام..

تم تنفيذ حُكم القتل تعزيرًا بجانيين في المنطقة الشرقية أقدما على خطف 3 أطفال حديثي الولادة وممارسة السحر والشعوذة

 #خاطفه_الدمام https://t.co/tKZR0UVww9","Tweet","قلم جاف","F_nlv3","5/21/2025, 7:16:38 PM","0","2","0","5","5605","4","ar","No","Twitter for iPhone","#خاطفة_الدمام, #خاطفه_الدمام","https://x.com/F_nlv3/status/1925224224202858579","video","https://video.twimg.com/amplify_video/1925224154896257024/vid/avc1/1280x720/49KshajKrdbtnhvf.mp4?tag=21",""
"=""1925261087563264444""","🔴عاجل 

تنفيذ حُكم القتل تعزيرًا بجانيين في المنطقة الشرقية أقدما على خطف 3 أطفال حديثي الولادة وممارسة السحر والشعوذة في قضية عُرفت بـ #خاطفة_الدمام 

 https://t.co/YE0faHKG5f","Tweet","أخبار الدمام","Dmm_city","5/21/2025, 9:43:07 PM","0","2","0","5","1396","0","ar","No","Twitter for iPhone","#خاطفة_الدمام","https://x.com/Dmm_city/status/1925261087563264444","video","https://video.twimg.com/amplify_video/1925209040100990976/vid/avc1/1280x720/q5Gp4v94J1p9pjVN.mp4?tag=14",""
"=""1925217364603257004""","تنفيذ حُكم القتل تعزيرًا بجانيين في المنطقة الشرقية أقدما على خطف 3 أطفال حديثي الولادة وممارسة السحر والشعوذة
#خاطفة_الدمام 

 https://t.co/LpdkWstOVI","Tweet","صدى السعودية","saudiech","5/21/2025, 6:49:23 PM","0","0","0","4","4225","1","ar","No","Twitter for iPhone","#خاطفة_الدمام","https://x.com/saudiech/status/1925217364603257004","video","https://video.twimg.com/amplify_video/1925209040100990976/vid/avc1/1280x720/q5Gp4v94J1p9pjVN.mp4?tag=14",""
