"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1924446732919738408""","أغلبهن فتيات..
حوادث الخطف تنتقل من الساحل إلى قلب العاصمة #دمشق

#سوريا 
https://t.co/45hGPeX7yu https://t.co/D2uRPvjfE5","Tweet","نبض سوريا","tvnabdsyria","5/19/2025, 3:47:10 PM","0","0","0","0","35","0","ar","No","Twitter Web App","#دمشق, #سوريا","https://x.com/tvnabdsyria/status/1924446732919738408","photo","https://pbs.twimg.com/media/GrUCGRPWwAAWjku.jpg","https://nabdsyria.tv/2533-.html"
"=""1924217410208313745""","@SyriaCivilDefe 
في طريق ديرالزور-دمشق يوجد خلل في الشارع أدى الى عدة حوادث و في ناس ماتو ربي يرحمهم 
ياريت لو تتأكدون من الطريق و سلامته و جاهزيته 
 و جزيتم خيرا
#الخوذ_البيضاء","Tweet","ސހއި","PaploPaplo95773","5/19/2025, 12:35:55 AM","1","1","0","2","29","0","ar","No","Twitter for Android","#الخوذ_البيضاء","https://x.com/PaploPaplo95773/status/1924217410208313745","","",""
"=""1924067210848296975""","@BdallhWsm12060 الجبناء يضربون منطقة جديدة كل يوم، وهذه المرة في قلب العاصمة، في منطقة الجامعات والسفارات—حيث يُفترض أن يكون الأمان أعلى ما يمكن.

لطالما كانت الحوادث تتركز على مدن أخرى وشهدت أطراف دمشق حوادث ، لكن الآن وسط البلد لم يسلم، وهذا مؤشر خطير على أن لا مكان محصن، وأن يد الغدر يمكن أن","Reply","Leen Syria","LeenahSyria","5/18/2025, 2:39:05 PM","0","0","0","0","19","0","ar","No","Twitter for iPhone","","https://x.com/LeenahSyria/status/1924067210848296975","","",""
"=""1924051648994766963""","#ريف_دمشق
فرق الدفاع المدني، تعمل على فتح طرقات وإزالة أنقاض قـ.ـصف سابق منها، في حي المقبرة بـ #جوبر، وعملت الفرق على تنظيم الكتل الاسمنتية على منصفات طريق #حرستا للحد من حوادث السير.
#شام_إف_إم #للخبر_مصدر https://t.co/cgrXy67Hsk","Tweet","Sham fm شام إف إم","radioshamfm","5/18/2025, 1:37:14 PM","0","0","0","0","1","0","ar","No","Twitter Web App","#ريف_دمشق, #جوبر, #حرستا, #شام_إف_إم, #للخبر_مصدر","https://x.com/radioshamfm/status/1924051648994766963","photo","https://pbs.twimg.com/media/GrOaqTXWcAEJlrf.jpg, https://pbs.twimg.com/media/GrOaqTYXYAAtm3r.jpg, https://pbs.twimg.com/media/GrOaqTYXwAAxbG7.jpg, https://pbs.twimg.com/media/GrOavn8W0AAyilf.jpg",""
"=""1924050207949431140""","في إطار أعمالنا المستمرة بفتح الطرقات وإزالة الإنقاض منها لتسهيل الوصول الإنساني في المحافطات السورية، عملت فرقنا على فتح طرقات وإزالة أنقاض قصف سابق منها، في حي المقبرة بجوبر، كما عملت الفرق على تنظيم الكتل الاسمنتية على منصفات طريق حرستا بريف دمشق، للحد من حوادث السير. https://t.co/XdY1NrqNqL","Tweet","الدفاع المدني السوري","SyriaCivilDefe","5/18/2025, 1:31:31 PM","0","7","0","126","2499","0","ar","No","Twitter for Android","","https://x.com/SyriaCivilDefe/status/1924050207949431140","photo","https://pbs.twimg.com/media/GrOZdGUW8AAdVjL.jpg, https://pbs.twimg.com/media/GrOZdtdXIAACVUL.jpg, https://pbs.twimg.com/media/GrOZdJtWQAAtJOC.jpg, https://pbs.twimg.com/media/GrOZd5HXAAAyEtv.jpg",""
"=""1923656710041858452""","@MousaAlomar استاذ موسى طريق دير الزور دمشق كل سبوع عم يصير عليه حوادث وموت بسبب ضيق الطريق هل سيكون لوزير النقل شي يخص هاذ الطريق الذي لايمر اسبوع او أسبوعين الا وفيه حادث يروح فيه فوق 10شهداء","Reply","عـثـمـان. #ديــر_الــزور","OTHMAN_H2","5/17/2025, 11:27:54 AM","0","0","1","24","2674","0","ar","No","Twitter for iPhone","","https://x.com/OTHMAN_H2/status/1923656710041858452","","",""
"=""1923675883262329254""","@MousaAlomar موسى العمر شف لنا خطة سكة قطار يوصل للدير او يبنون طريق جديد كل يوم هناك حوادث قاتلة على طريق دير الزور دمشق","Reply","🎒 fyoddst.lvl 🆙 (Ø,G) .ink","FyodDost","5/17/2025, 12:44:05 PM","0","0","0","0","28","0","ar","No","Twitter for Android","","https://x.com/FyodDost/status/1923675883262329254","","",""
"=""1923820278875926654""","استجابت فرق الطوارئ وفرق الإسعاف في الدفاع المدني السوري لـ  5 حوادث مرورية اليوم السبت 17 أيار، وأدت هذه الحوادث لإصابة 5 أشخاص.
تفاصيل الحوادث المرورية:
🔹إصابة رجلين نتيجة انحراف سيارة يستقلونها على طريق دمشق حلب بالقرب من بلدة الزربة جنوبي #حلب.
🔹حادث سير تحت جسر دوار الكرة https://t.co/2Q0k3QgV3B","Tweet","الدفاع المدني السوري","SyriaCivilDefe","5/17/2025, 10:17:51 PM","0","6","0","125","2660","1","ar","No","Twitter Web App","#حلب","https://x.com/SyriaCivilDefe/status/1923820278875926654","photo","https://pbs.twimg.com/media/GrLIPy8XgAAkd7l.jpg, https://pbs.twimg.com/media/GrLIPzBXoAAPVq2.jpg, https://pbs.twimg.com/media/GrLIPy_WIAAHSVu.jpg, https://pbs.twimg.com/media/GrLIPzDWgAED53L.jpg",""
"=""1922273422207332719""","أكد سكان المخيم في شهادات متطابقة أن حوادث السرقة ليست ظاهرة جديدة تماماً على المنطقة، حيث بدأت بالظهور بشكل ملحوظ قبل عام 2011، إلا أنهم أشاروا إلى أن وتيرة هذه الجرائم قد تسارعت بشكل كبير في أعقاب حالة الانفلات الأمني التي شهدتها دمشق مؤخراً، وأوضحوا أن السارقين أصبحوا أكثر https://t.co/XXad4i4bAp","Tweet","مجموعة العمل من أجل فلسطينيي سوريا","actgroup_pal","5/13/2025, 3:51:12 PM","0","0","0","0","106","0","ar","No","Twitter for iPhone","","https://x.com/actgroup_pal/status/1922273422207332719","photo","https://pbs.twimg.com/media/Gq1JfRvWkAA0VZ1.jpg",""
"=""1922176491149721650""","فرق الطوارئ والإسعاف في الدفاع المدني تستجيب لثلاثة حوادث سير في مناطق مختلفة أسفرت عن وفاة رجل على طريق حلب–الباب القديم وشاب إثر انقلاب جرار زراعي في قناة ري بقرية ""التوينة"" بسهل الغاب شمال غربي حماة

كما أُصيبت امرأة وفتاة بعد خروج سيارة عن مسارها على طريق التل–منين بريف دمشق https://t.co/uK3vtcTzL2","Tweet","Halab Today TV قناة حلب اليوم","HalabTodayTV","5/13/2025, 9:26:02 AM","0","0","0","9","1135","0","ar","No","Twitter Web App","","https://x.com/HalabTodayTV/status/1922176491149721650","photo","https://pbs.twimg.com/media/GqzxU_zWMAAtwXs.jpg",""
