"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925256993498894782""","#اقل_سعررررررر__هاشتاق_О54О6288З4
وَلَو كانَت دِمَشقَ ثَنى عِناني
صيججدعس","Tweet","sahan","sahan09957377","5/21/2025, 9:26:51 PM","0","0","0","0","","0","ar","No","Twitter for Android","#اقل_سعررررررر__هاشتاق_О54О6288З4","https://x.com/sahan09957377/status/1925256993498894782","","",""
"=""1925256903015485562""","تعرض محافظ #السويداء د. #مصطفى_البكور لاعتداء من مجموعة مسلحة من #ميليشيات_الهجري الخارجة عن القانون، هاجمت مكتبه واعتدت عليه بالضرب وسرقت محتوياته، ما دفعه لمغادرة المحافظة نحو #دمشق.

الاعتداء يشكل مساساً بسيادة الدولة، وصبرها لا يعني عجزاً. تغليب المصلحة العامة لا يلغي حق https://t.co/AufEsL9IMe","Tweet","Mo Al Masoud","almasoud205","5/21/2025, 9:26:29 PM","1","0","0","0","1","0","ar","No","Twitter for iPhone","#السويداء, #مصطفى_البكور, #ميليشيات_الهجري, #دمشق","https://x.com/almasoud205/status/1925256903015485562","photo","https://pbs.twimg.com/media/Grfi8nwXEAAgl_l.jpg",""
"=""1925256875538297218""","@DeirEzzore هاد المسجد اظن هو أول مكان قصف من قبل النظام في الرقة ،وكذلك موجودين بريف حمص و بالسلمية وبالغوطة الشرقية كان في مرج للسلطان عبدالحميد سكنوا فيه وعرف بمرج السلطان والاغلبية سكنوا في الجولان المحتل وبعد نكسة ال٦٧ نزحوا إلى دمشق مع اهل الجولان","Reply","Manal","blackdesert81","5/21/2025, 9:26:23 PM","0","0","0","0","","0","ar","No","Twitter for Android","","https://x.com/blackdesert81/status/1925256875538297218","","",""
"=""1925256857658044857""","@Omar_Madaniah #فلاي_دبي تعلن استئناف الرحلات إلى #دمشق 

بدءا من مطلع #الشهر_المقبل ♥️♥️ https://t.co/GZxQmlfWwG","Reply","Halla","moonway6","5/21/2025, 9:26:19 PM","0","0","0","0","3","0","ar","No","Twitter for Android","#فلاي_دبي, #دمشق, #الشهر_المقبل","https://x.com/moonway6/status/1925256857658044857","photo","https://pbs.twimg.com/media/Grfi6ObWQAAFimE.jpg",""
"=""1925256841925169493""","مجموعة من الدروز الخارجين عن القانون تقوم بالاعتداء على محافظ السويداء ""مصطفى بكور""  وقد قاموا بالهجوم على مكتبه والاعتداء عليه بالضرب،  وقاموا بسرقة مقتنيات المكتب ليغادر المحافظ محافظة السويداء ويتجه إلى دمشق.","Tweet","ابن العربي","IbnAlarabi15","5/21/2025, 9:26:15 PM","0","0","0","1","1","0","ar","No","Twitter Web App","","https://x.com/IbnAlarabi15/status/1925256841925169493","","",""
"=""1925256716532236732""","على غرار أفعال المافيات في أميركا الجنوبية، اقتحم مسلحون من بلدة ذيبين مكتب محافظ #السويداء مصطفى بكور، واحتجزوه تحت تهديد السلاح، وسرقوا مقتنياته، للضغط للإفراج عن موقوفين من قريتهم بتهم سرقة سيارات في #دمشق.
النائب العام أفرج عن السجينين مقابل فك احتجاز المحافظ.","Tweet","Maimouna  Khotaba","MaimounahK","5/21/2025, 9:25:45 PM","0","0","0","0","5","0","ar","No","Twitter for Android","#السويداء, #دمشق","https://x.com/MaimounahK/status/1925256716532236732","","",""
"=""1925256685054001361""","مجموعة مسلحة خارجة عن القانون تعتدي على محافظ السويداء الدكتور مصطفى البكور واحتفظت به كرهينة لحين إطلاق سراح مجرمين اثنين من سارقي السيارات في العاصمة السورية دمشق 

هذا العمل الارهابي يجب أن لا يمر دون عقاب ومحاسبة المجرمين https://t.co/falYXHd94e","Tweet","محمد ابو الهدى الحمصي","aboalhodaalhoms","5/21/2025, 9:25:37 PM","0","1","0","2","28","0","ar","No","Twitter for iPhone","","https://x.com/aboalhodaalhoms/status/1925256685054001361","photo","https://pbs.twimg.com/media/Grfiv6EXcAAaXsB.jpg",""
"=""1925256700786852128""","معالي الوزير في طفلة اسمها "" اية بلوق"" تم خطفها بوضح النهار من منطقة  الزبلطاني ، دمشق منذ عدة ايام 
وحيدة لوالدتها بعد 15 سنة انتظار او عدم قدرة على الإنجاب.
هل ممكن عمل شيء قبل فوات الأوان 💔

#سوريا_الان 
#آية_بلوق https://t.co/UoRUIyDcSD","Tweet","Mustafa 🇺🇸","BackoMustafa","5/21/2025, 9:25:41 PM","0","0","0","0","1","0","ar","No","Twitter for iPhone","#سوريا_الان, #آية_بلوق","https://x.com/BackoMustafa/status/1925256700786852128","photo","https://pbs.twimg.com/media/GrfixAdW8AALEtI.jpg",""
"=""1925156427208749541""","تشرفت اليوم باستقبال وفد من محافظة حلب برئاسة محافظ حلب السيد ""عزام الغريب"" وجرى خلال اللقاء بحث عدد من القضايا الأمنية والإدارية وسبل تعزيز التنسيق بين وزارة الداخلية والمحافظة لخدمة أهلنا في حلب. https://t.co/f7vSnBbgNk","Quoted tweet","أنس حسان خطاب","Anas_Khatab_sy","5/21/2025, 2:47:14 PM","67","54","5","1362","36472","7","ar","No","Twitter for Android","","https://x.com/Anas_Khatab_sy/status/1925156427208749541","photo","https://pbs.twimg.com/media/GreHkNJXAAA-XtC.jpg, https://pbs.twimg.com/media/GreHkREWcAAePFg.jpg, https://pbs.twimg.com/media/GreHkTjWgAAAnSD.jpg, https://pbs.twimg.com/media/GreHkXFWcAANhr_.jpg",""
"=""1925256674715046369""","يحدث في سويداء الهجري

اقتحمت مجموعة مسلحة مقر المحافظة واحتجزت المحافظ مصطفى بكور رهينة،
المجموعة طالبت بإطلاق سراح عدد من المعتقلين في دمشق بتهم الجريمة المنظمة والسرقة
بعد إخراج السجناء قامت المجموعة بالانسحاب من مبنى المحافظة، وتوجه المحافظ إلى دمشق.

#سوريا #السويداء #الهجري","Tweet","M.r X","AlMonlla","5/21/2025, 9:25:35 PM","0","0","0","0","9","0","ar","No","Twitter for Android","#سوريا, #السويداء, #الهجري","https://x.com/AlMonlla/status/1925256674715046369","","",""
