"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1918761946792218902""","في #ديرالزور، حيث لا انقسام ولا خصام، لا ندّ فيها ولا نكد، يقف الشعب والجيش، الكبار والصغار، صفًا واحدًا خلف الدولة السورية. لا ملاذ فيها للفلول ولا حماية للمجرمين. دير الزور… درع الشرق الحصين لسوريا. https://t.co/1D9hRNqBpg","Tweet","عمَّار الهلال","99_amori","5/3/2025, 11:17:51 PM","5","59","0","841","8015","35","ar","No","Twitter for iPhone","#ديرالزور","https://x.com/99_amori/status/1918761946792218902","video","https://video.twimg.com/amplify_video/1918761879175872512/vid/avc1/1080x1920/YgEMIhSeaVRzT4mL.mp4?tag=16",""
"=""1924760858275500069""","الجسر المعلق في دير الزور عام 1960 https://t.co/JiDfK9UqpA","Tweet","Syrian vibes","syrianvibes","5/20/2025, 12:35:23 PM","2","14","1","179","3025","9","ar","No","Twitter for Android","","https://x.com/syrianvibes/status/1924760858275500069","photo","https://pbs.twimg.com/media/GrYfzMnXoAA3-nu.jpg",""
"=""1924737230473453734""","مدير أمن منطقة #البوكمال مصطفى العلي: 

- نفذنا عملية مداهمة لمجموعة من كبار تجار المخدرات والسلاح بمنطقة البوكمال الحدودية شرقي #دير_الزور

- نعمل على منع دخول المخدرات والسلاح عبر تلك المنافذ التي تشرف عليها ميليشيات لا تخضع للقانون

- نواصل العمل للكشف عن وجود أنفاق لعبور https://t.co/0uF4DWg1cj","Tweet","الـسهـم الـسوري🇸🇾 ‏ˢʸʳⁱᵃ","Syrian_arrow","5/20/2025, 11:01:30 AM","0","2","0","6","407","0","ar","No","Twitter for iPhone","#البوكمال, #دير_الزور","https://x.com/Syrian_arrow/status/1924737230473453734","video","https://video.twimg.com/amplify_video/1924737219920629760/vid/avc1/300x150/OGVQFSr6uiM9uyJD.mp4?tag=21",""
"=""1922973004864053371""","نهر الفرات والجسر المعلق في دير الزور https://t.co/noI1OrgJCN","Tweet","Syrian vibes","syrianvibes","5/15/2025, 2:11:06 PM","5","25","2","305","5653","12","ar","No","Twitter for Android","","https://x.com/syrianvibes/status/1922973004864053371","photo","https://pbs.twimg.com/media/Gq_FwdPWcAA2g_i.jpg",""
"=""1924793424844054587""","#دير الزور - البوكمال: الحملة الأمنية التي قام بها الأمن العام بالاشتراك مع وزراة الدفاع ضد المُهربين و تُجّار الممنوعات في بلدة الهري بمدينة البوكمال.

. https://t.co/r0NJI8Y7Bh","Tweet","مُحَمّد الخَليِّل || M . Al Khalil","mohammad19857","5/20/2025, 2:44:48 PM","0","2","0","15","334","1","ar","No","Twitter for Android","#دير","https://x.com/mohammad19857/status/1924793424844054587","video","https://video.twimg.com/ext_tw_video/1924793261039722496/pu/vid/avc1/1280x720/N6OU7sG1dqFcwmKI.mp4?tag=12",""
"=""1924448627868442656""","ديرالزور مقبرة الدبابات https://t.co/grqJKqwqGF","Tweet","HuzeyfeEltaha||حذيفة الطه","huzeyfeeltaha_","5/19/2025, 3:54:42 PM","3","1","2","29","858","2","ar","No","Twitter for Android","","https://x.com/huzeyfeeltaha_/status/1924448627868442656","video","https://video.twimg.com/ext_tw_video/1924448579084509184/pu/vid/avc1/480x864/IHucfZ-b7ZRyB5U_.mp4?tag=12",""
"=""1924871114129293389""","#دير_الزور رجــال وخوات الرجال🫡👌
 فخورة جداً #لأنتمائي لدير العز😊😌 https://t.co/fmcsvnW6di","Tweet","مي الديـرية ، {سوريه حرة} أم رماح","may_osh27","5/20/2025, 7:53:30 PM","35","2","1","120","6136","4","ar","No","Twitter for iPhone","#دير_الزور, #لأنتمائي","https://x.com/may_osh27/status/1924871114129293389","photo","https://pbs.twimg.com/media/GraEEZYWMAAkU24.jpg, https://pbs.twimg.com/media/GraEEZSXkAETvCS.jpg",""
"=""1924461784376676441""","لأول مرة منذ 63 سنة، بني سمية يعبرون عن مشاعرهم الحُبّية في سوريا… بعد ما كان الأسد مانعهم 😂

وبدمشق، شب اسمه أحمد الغانم من دير الزور امبارح صار يشفط ويفحط ع أوتوستراد المزة قدام بيت البنت اللي بيحبها، عشان يشد انتباها

فكرت بس عندهم عقدة نقص طلع معهم جفاف عاطفي كمان 😂😂😂 https://t.co/VESZupsAVm","Tweet","kawa Can☀️","KurdoooooO21","5/19/2025, 4:46:58 PM","1","0","0","8","219","0","ar","No","Twitter for iPhone","","https://x.com/KurdoooooO21/status/1924461784376676441","video","https://video.twimg.com/amplify_video/1924461593032577024/vid/avc1/540x960/-v58P3LcVpNIu0dT.mp4?tag=21",""
"=""1924771036010074293""","تعزيزات قسد على ريف دير الزور https://t.co/jUoWNgVGJM","Tweet","mimory44","mimo778mm","5/20/2025, 1:15:50 PM","1","1","0","11","734","1","ar","No","Twitter for Android","","https://x.com/mimo778mm/status/1924771036010074293","photo","https://pbs.twimg.com/media/GrYpDk_WoAAffm3.jpg, https://pbs.twimg.com/media/GrYpDpIW8AAdzgh.jpg",""
"=""1925213955166818497""","الفرق الهندسية في الجيش السوري تستقدم كاسحات ألغام إلى بلدة دير الزور لتمشيط المنطقة وإزالة الألغام. https://t.co/1v8eomm9EX","Tweet","أخبار الحروب والنزاعات🎖️🚨","ahkbaralhrob","5/21/2025, 6:35:50 PM","0","3","0","3","369","0","ar","No","Twitter for Android","","https://x.com/ahkbaralhrob/status/1925213955166818497","photo","https://pbs.twimg.com/media/Gre742QXgAAp85k.jpg, https://pbs.twimg.com/media/Gre747-WUAAMGvw.jpg",""
