"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1924779266647966080""","مبارك للسوريين رفع الإتحاد الأوروبي كافة العقوبات عن الجمهورية العربية السورية 💚💚💚💚🥹🥹
الحمدلله حمدا كثيرا طيبا مباركا فيه 💚 https://t.co/0Ui3YsFbL0","Tweet","أمّ الحلويِنْ🇸🇦🇸🇾💚🫶","Danydany984","5/20/2025, 1:48:32 PM","8","0","1","27","582","0","ar","No","Twitter for Android","","https://x.com/Danydany984/status/1924779266647966080","photo","https://pbs.twimg.com/media/GrYwivsXoAAgjPD.jpg",""
"=""1924868646398026064""","@AsaadHShaibani هنيئا لسوريا حكومة وشعبا رفع جميع العقوبات الاوروبيه على البلاد..

يستحقون الفرح الشعب السوري 💚 https://t.co/ShWcTwMICM","Reply","فيصل محمد Faisal Mohammed","fyicl","5/20/2025, 7:43:42 PM","0","1","0","4","292","0","ar","No","Twitter for iPhone","","https://x.com/fyicl/status/1924868646398026064","photo","https://pbs.twimg.com/media/GraB1LAWsAAb93z.jpg",""
"=""1924782688512172349""","مبروووك للسوريين الأصليون رفع العقوبات الأوروبية 🥳 https://t.co/c10fOGMGCP","Tweet","🇸🇾🇸🇾🇸🇾🇸🇾","KM9875","5/20/2025, 2:02:08 PM","3","1","0","23","421","4","ar","No","Twitter for iPhone","","https://x.com/KM9875/status/1924782688512172349","video","https://video.twimg.com/amplify_video/1924782628449751041/vid/avc1/320x568/_FeCwxUIYfhtqjqK.mp4?tag=21",""
"=""1924793506976956587""","الاتحاد الأوروبي أعلن قبل دقائق موافقته على رفع جميع العقوبات الاقتصادية التي فرضتها دول الاتحاد على سوريا

الف مبروك لأهل سوريا الأحرار 🤍⚜️ https://t.co/UbjZvW8vCh","Tweet","طويّق | Twaiq","Twaiq93","5/20/2025, 2:45:07 PM","0","0","0","3","1355","0","ar","No","Twitter for iPhone","","https://x.com/Twaiq93/status/1924793506976956587","video","https://video.twimg.com/amplify_video/1924793445266141184/vid/avc1/576x506/Dfa2JRV9y0FQYo3s.mp4?tag=21",""
"=""1924783756356829202""","عاجل 🔴
استجابة لطلب #ولي_العهد 
الأمير #محمد_بن_سلمان الاتحاد الأوروبي 
يعلن رسميًا رفع جميع العقوبات عن #سوريا
خطوة تاريخية تُجسّد دور #السعودية كصانعة سلام 
وحامية للشعوب العربية وعودة سوريا لحضنها العربي 

هُنا الرياض .. حيث القرار 🇸🇦🤍 https://t.co/8EQ2hS8sj0","Tweet","فيصل الدوسري 🇸🇦","FM_502D","5/20/2025, 2:06:22 PM","8","44","1","86","2608","1","ar","No","Twitter for iPhone","#ولي_العهد, #محمد_بن_سلمان, #سوريا, #السعودية","https://x.com/FM_502D/status/1924783756356829202","photo","https://pbs.twimg.com/media/GrY0naiXQAAiCyZ.jpg",""
"=""1924797624000893267""","الاتحاد الأوروبي 🇪🇺
يعلن رفع العقوبات عن سورية 🇸🇾 بشكل كامل  🇸🇾

وضع محور سليماني🔦 https://t.co/zGpPhk3ETp","Tweet","محمد الحيدري Moh. Haidari 𐩣.𐩢","haidari700","5/20/2025, 3:01:29 PM","4","14","0","67","1933","2","ar","No","Twitter for iPhone","","https://x.com/haidari700/status/1924797624000893267","video","https://video.twimg.com/amplify_video/1924797514139541504/vid/avc1/720x1264/bFC98A_wi1q13mDq.mp4?tag=21",""
"=""1924838070135697793""","الاتحاد الأوروبي يوافق على رفع جميع العقوبات المفروضة على سوريا الشقيقة.
جهود الدبلوماسية السعودية كان لها دور كبير جدا في هذا الأمر..
نسأل الله لسوريا قيادة وشعب الأمن والاستقرار والتطور..
#حبيت_أقول https://t.co/0wnq5xfbnW","Tweet","عبدالاله المالكي .","Abdulelah_ha","5/20/2025, 5:42:12 PM","2","1","0","3","109","0","ar","No","Twitter for Android","#حبيت_أقول","https://x.com/Abdulelah_ha/status/1924838070135697793","photo","https://pbs.twimg.com/media/GrZmBinWQAEhWUN.jpg",""
"=""1924786833533125006""","مبارك للسوريين رفع الإتحاد الأوروبي كافة العقوبات عن الجمهورية العربية السورية ..👍👍

#أحمد_الشرع 
#رفع_العقوبات_عن_سوريا https://t.co/ZNNVCpwEOl","Tweet","فيصل ""من بَنِي أُمَيَّة 🫡 🇸🇾","jw98805","5/20/2025, 2:18:36 PM","0","0","0","4","156","0","ar","No","Twitter for iPhone","#أحمد_الشرع, #رفع_العقوبات_عن_سوريا","https://x.com/jw98805/status/1924786833533125006","photo","https://pbs.twimg.com/media/GrY3a7BWYAAdcq9.jpg",""
"=""1925078491948540404""","سوريا: قرار رفع العقوبات الاقتصادية الأوروبية تاريخي

#قناة_العربية_Business https://t.co/ycOH8P4VvV","Tweet","العربية Business","AlArabiya_Bn","5/21/2025, 9:37:33 AM","0","0","0","1","2166","0","ar","No","Wildmoka","#قناة_العربية_Business","https://x.com/AlArabiya_Bn/status/1925078491948540404","video","https://video.twimg.com/amplify_video/1925078401993326592/vid/avc1/1280x720/5TQq8_evVmaYBnEW.mp4?tag=14",""
"=""1924777012750643692""","@Nath_limited_ed رسمياً بعد الولايات المتحدة الأمريكية 🇺🇸
الاتحاد الأوروبي 🇪🇺
يعلن رفع العقوبات كاملاً عن سورية 🇸🇾

والدول العربية تدعوا إلى بدء الاستثمارات الثقيلة في سورية الجديدة. 🕺🏻🕺🏻🚀 https://t.co/CckePBCqpj","Reply","عبد القادر الدمشقي | ABD","abdghla","5/20/2025, 1:39:35 PM","3","2","0","47","6082","4","ar","No","Twitter for iPhone","","https://x.com/abdghla/status/1924777012750643692","video","https://video.twimg.com/amplify_video/1924777002248159232/vid/avc1/576x1024/KuEGiFSS-X-LBJ8L.mp4?tag=21",""
"=""1924865199053365289""","المستشار الاقتصادي زياد أيوب: رفع العقوبات الأوروبية عن #سوريا يسحب البساط من تحت أقدام الدول الراعية للعنف.. وخطة متكاملة قد تعيد تدوير عجلة الاقتصاد المتهالكة
#قناة_العربية https://t.co/NSqnxrGxhJ","Tweet","العربية","AlArabiya","5/20/2025, 7:30:00 PM","0","1","0","8","6250","0","ar","No","Sprinklr","#سوريا, #قناة_العربية","https://x.com/AlArabiya/status/1924865199053365289","video","https://video.twimg.com/amplify_video/1924857146929266688/vid/avc1/1920x1080/pc7p76qqZqD2Qu_5.mp4?tag=16",""
"=""1924831738108207149""","مبروك #سوريا
الاتحاد الأوروبي يقرر رفع #العقوبات بالكامل عن سوريا
إنه فجر جديد بلا حصار…
فرصة حقيقية للسوريين كي يعيدوا بناء وطنهم ويجعلوه أجمل مما كان.
نتمنى لسوريا وشعبها السلام والازدهار https://t.co/w88ymSRyUP","Tweet","مشعان الجبوري","mashanaljabouri","5/20/2025, 5:17:02 PM","39","9","1","440","12035","0","ar","No","Twitter for iPhone","#سوريا, #العقوبات","https://x.com/mashanaljabouri/status/1924831738108207149","photo","https://pbs.twimg.com/media/GrZgQyJWgAAZrvZ.jpg",""
"=""1925043208284766565""","عناوين #أخبار_الصباح
دمشق تصف قرار رفع العقوبات الاقتصادية الأوروبية بالتاريخي

ضغط أوروبي غير مسبوق على إسرائيل

بريطانيا تعلق مفاوضات اتفاقية التجارة الحرة.. وبروكسل تدرس

مسؤولون أميركيون يؤكدون تجهيزات إسرائيلية لضرب منشآت نووية إيرانية

#قناة_العربية https://t.co/Pz0rTelOlQ","Tweet","العربية","AlArabiya","5/21/2025, 7:17:21 AM","1","3","0","11","10666","0","ar","No","Sprinklr","#أخبار_الصباح, #قناة_العربية","https://x.com/AlArabiya/status/1925043208284766565","video","https://video.twimg.com/amplify_video/1925043151552536576/vid/avc1/1920x1080/CWKADSy6SwBIk7Qn.mp4?tag=16",""
"=""1925168448293752893""","رفع العقوبات الأوروبية عن #سوريا 
تقديم: حسام الجمّال @HossamJammal
#تلفزيون_سوريا https://t.co/ji3zVHYfsa","Tweet","تلفزيون سوريا","syr_television","5/21/2025, 3:35:00 PM","0","1","0","6","2093","1","ar","No","Twitter Media Studio","#سوريا, #تلفزيون_سوريا","https://x.com/syr_television/status/1925168448293752893","video","https://video.twimg.com/amplify_video/1925162664059133952/vid/avc1/1080x1920/d5lSxYc1FrJb7uGd.mp4?tag=16",""
