"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1922334798862754103""","بعد رفع العقوبات عن سوريا كم 
أصبحت نسبة حب ولي العهد محمد بن سلمان  عند الشعب السوري 🇸🇾💚🇸🇦 ٪ https://t.co/U69Sk6kXWQ","Tweet","غازي العنزي 🇸🇦🇸🇾","x055x5","5/13/2025, 7:55:05 PM","1507","670","32","10797","837282","115","ar","No","Twitter for iPhone","","https://x.com/x055x5/status/1922334798862754103","photo","https://pbs.twimg.com/media/Gq2BTkcWsAAhZ1C.jpg",""
"=""1922367511040868683""","حركة ولي العهد وكأنه يحتضن العرب
رفع العقوبات عن سوريا 
هي فرحة أمة #رفع_العقوبات_عن_سوريا 
#محمد_بن_سلمان 
#محمد_بن_سلمان_ينتصر_لسوريا 
#سوريا https://t.co/XehsR2Ny2P","Tweet","عنتر الأثري","11antar11","5/13/2025, 10:05:05 PM","164","1023","10","3076","113014","90","ar","No","Twitter for Android","#رفع_العقوبات_عن_سوريا, #محمد_بن_سلمان, #محمد_بن_سلمان_ينتصر_لسوريا, #سوريا","https://x.com/11antar11/status/1922367511040868683","video","https://video.twimg.com/ext_tw_video/1922367287002120192/pu/vid/avc1/720x1280/XmW8Z6CWetygDtXy.mp4?tag=12",""
"=""1922332222272499852""","شاهد..

فرحة ولي العهد بعد إعلان رفع العقوبات عن سوريا .

 #محمد_بن_سلمان_ينتصر_لسوريا

- https://t.co/yqGfX7TtW3","Tweet","أخبار السعودية","SaudiNews50","5/13/2025, 7:44:51 PM","3113","13406","2208","46436","6139862","2906","ar","No","Twitter for iPhone","#محمد_بن_سلمان_ينتصر_لسوريا","https://x.com/SaudiNews50/status/1922332222272499852","video","https://video.twimg.com/amplify_video/1922332155285303297/vid/avc1/886x468/Nb_X8DUqMKlTMkjD.mp4?tag=21",""
"=""1925053576012767705""","بجهود سمو #ولي_العهد ... 

امريكا ودول الاتحاد الاوروبي رفعوا العقوبات الدولية عن #سوريا بشكل رسمي، والتي استمر بعضها لمدة تزيد عن 40 عام. 

سوريا ستنهض سريعًا باذن الله . https://t.co/mP3aiPBrHD","Tweet","محمد بن سلمان بن عبد العزيز (Informal)","HRHMBNSALMAAN","5/21/2025, 7:58:32 AM","248","430","14","1946","108982","23","ar","No","Twitter for iPhone","#ولي_العهد, #سوريا","https://x.com/HRHMBNSALMAAN/status/1925053576012767705","photo","https://pbs.twimg.com/media/GrcqBZgWAAAeCNR.jpg, https://pbs.twimg.com/media/GrcqBbKWMAA9r3h.jpg",""
"=""1922356789049274829""","فرحة ولي العهد الأمير محمد بن سلمان بعد رفع العقوبات عن سوريا أصبحت ترند عند السوريين. https://t.co/MzZSNPXJX3","Tweet","أخبار محمد بن سلمان","KING_MBS_","5/13/2025, 9:22:28 PM","68","314","4","1882","77665","38","ar","No","Twitter for iPhone","","https://x.com/KING_MBS_/status/1922356789049274829","photo","https://pbs.twimg.com/media/Gq2VTrgXQAAJf33.jpg",""
"=""1924531130943807944""","حركة سمو سيدي ولي العهد الأمير #محمد_بن_سلمان‌ عند اعلان رفع العقوبات على سوريا، اصبحت أيقونة عند الأشقاء السوريين💚 https://t.co/lVOKmPDGCL","Tweet","الردع السعودي ١٧٢٧م 🇸🇦","s_hm2030","5/19/2025, 9:22:32 PM","86","514","8","2282","87970","54","ar","No","Twitter Web App","#محمد_بن_سلمان‌","https://x.com/s_hm2030/status/1924531130943807944","video","https://video.twimg.com/amplify_video/1924530754458906624/vid/avc1/576x1026/UnM9iviYII9fSQsG.mp4?tag=21",""
"=""1922364489170661754""","في هذي اللحظة تم رفع العقوبات عن سوريا 💚

 وبرضو في هذي اللحظة نشوف فرحة سمو ولي العهد الله يحفظه ويطول عمره يارب اللي تعني لنا الكثييررر💚
تعجز الكلمات عن وصف اللي صار واللي اشوفه
شكراً للمملكة على هذه البادرة الطيبة والجهود الجبارة
وشكراً لهذا الشعب العظيم على هذي المحبة💚 https://t.co/zRn2slhwEn","Tweet","C7","C7Gaming1999","5/13/2025, 9:53:04 PM","11","37","1","634","20912","19","ar","No","Twitter Web App","","https://x.com/C7Gaming1999/status/1922364489170661754","video","https://video.twimg.com/amplify_video/1922360730059231232/vid/avc1/1920x1080/1m7OR2XIToyGB8s0.mp4?tag=21",""
"=""1922333388679029150""","سررررريع اذا فرحان لخبر رفع العقوبات الامريكية عن سوريا ضع لايك وقلب 💚 الان ! 

😍👏🏻👏🏻🇸🇦🇸🇦♥️♥️♥️

 #القمه_السعوديه_الامريكيه https://t.co/pZp60FNiLl","Tweet","عزيز تقني","iAl3eez","5/13/2025, 7:49:29 PM","44","41","2","758","210706","33","ar","No","Twitter for iPhone","#القمه_السعوديه_الامريكيه","https://x.com/iAl3eez/status/1922333388679029150","photo","https://pbs.twimg.com/media/Gq2ABi5WwAAQpl1.jpg",""
"=""1922357058315116711""","ألف مبروك لسوريا الحبيبة حكومة و شعبا رفع العقوبات عنها 🤍 نتمنى #سوريا آمنة مزدهرة دائما 🌷
#ترامب_في_السعوديه 
بعض الذكريات في سوريا 🤍🥰 https://t.co/aQwrvf6477","Tweet","Rim Bougamra | ريم بوقمرة","rimbougamra1","5/13/2025, 9:23:33 PM","35","31","10","768","88880","44","ar","No","Twitter for iPhone","#سوريا, #ترامب_في_السعوديه","https://x.com/rimbougamra1/status/1922357058315116711","photo","https://pbs.twimg.com/media/Gq2VQOqWcAAs3Na.jpg, https://pbs.twimg.com/media/Gq2VQOjXwAAcPpv.jpg, https://pbs.twimg.com/amplify_video_thumb/1922356721994854400/img/rLFN5w32i33n8Ap3.jpg, https://pbs.twimg.com/amplify_video_thumb/1922356722837917696/img/ud__m8dIwh82UUiI.jpg",""
"=""1923454562280620223""","رفع العقوبات عن سوريا 
#كاريكاتير https://t.co/OjytgpTorX","Tweet","kamal  sharaf كمال شرف","kamalsharf","5/16/2025, 10:04:38 PM","120","1129","69","3219","101197","58","ar","No","Twitter Web App","#كاريكاتير","https://x.com/kamalsharf/status/1923454562280620223","photo","https://pbs.twimg.com/media/GrF7kzUXAAAt7fi.jpg",""
