"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1924616029210124619""","@ALMA78090 من إقليم روجافا شمال وشرق سوريا إلى اقليم غرب سوريا ☀️","Reply","Sherwan Shahin","sh_shsherwan1","5/20/2025, 2:59:53 AM","0","0","0","1","21","0","ar","No","Twitter for Android","","https://x.com/sh_shsherwan1/status/1924616029210124619","","",""
"=""1924616008502820990""","@sham_mathers كل سوريا تحبه 
حتى الي مع النضام او pkk او داعش وحتى خارج سوريا يحبونه 
عنجد بطل من ابطال سوريا","Reply","ذيب🇸🇾","SbAlshmry","5/20/2025, 2:59:48 AM","0","0","0","0","37","0","ar","No","Twitter for iPhone","","https://x.com/SbAlshmry/status/1924616008502820990","","",""
"=""1924615976965795967""","@binassaf33 اللهم إحفظ سوريا الأحرار أرضآ وإنسانآ","Reply","الثاائر الثااائر","AAlthaaayr35351","5/20/2025, 2:59:41 AM","0","0","0","0","98","0","ar","No","Twitter for Android","","https://x.com/AAlthaaayr35351/status/1924615976965795967","","",""
"=""1924615956724133942""","لن يقبل ب تبادل الزوجات إلا ذكور ديوثين أو نساء عاهرات انتهى

#العراق #اليمن #سوريا #لبنان تبادل زوجات شيعة علي 😂 😂","Tweet","أحمد أبوناصر 🇾🇪🇾🇪","nasser3_abo","5/20/2025, 2:59:36 AM","0","0","0","2","1076","1","ar","No","Twitter Web App","#العراق, #اليمن, #سوريا, #لبنان","https://x.com/nasser3_abo/status/1924615956724133942","","",""
"=""1924615897127256202""","@xdeebruyne @mustafa_habesh سوريا امتداد طبيعي لشبه الجزيرة العربية اصلاً","Reply","🇰🇼 1613","greatsideofme","5/20/2025, 2:59:22 AM","0","0","0","2","387","0","ar","No","Twitter for iPhone","","https://x.com/greatsideofme/status/1924615897127256202","","",""
"=""1924615875610517672""","فرحة احرار العراق بتحرير سوريا 
@omaraljmmal https://t.co/yJTYILUFnV","Tweet","raneen k","dafna23j","5/20/2025, 2:59:17 AM","6","43","5","446","1640","13","ar","No","Twitter for iPhone","","https://x.com/dafna23j/status/1924615875610517672","video","https://video.twimg.com/amplify_video/1924615797395030016/vid/avc1/360x640/Zlxv02bNPMe_UWil.mp4?tag=21",""
"=""1924615817552937072""","فقط لعشاق سوريا 
حمص هي الروح 😍😍😍 https://t.co/YEsHESPbZl","Tweet","شام","ShamSy772780","5/20/2025, 2:59:03 AM","4","0","0","18","160","0","ar","No","Twitter for Android","","https://x.com/ShamSy772780/status/1924615817552937072","video","https://video.twimg.com/ext_tw_video/1924614552492081152/pu/vid/avc1/720x1280/A1FojjUYJ8vTL8Ed.mp4?tag=12",""
"=""1924615795985764547""","@Mhdmadwar وجوههم مبتسمة ويبدون مرتاحين وفي مزاج جيد. شو رأيكم ؟ بينما أطفال سوريا بردانين، نازحين، وواقفين عالطوابير…","Reply","00","RrK834359188942","5/20/2025, 2:58:58 AM","0","0","0","0","23","0","ar","No","Twitter Web App","","https://x.com/RrK834359188942/status/1924615795985764547","","",""
"=""1924615793582719191""","الصندوق العربي للإنماء الاقتصادي والاجتماعي يبدي استعداده لمواكبة #الجزائر في إنجاز مشاريعها الحيوية.

- 

 #الكويت #السعودية #فلسطين #القدس #غزه #اليمن #لبنان #بيروت #السودان #سوريا #مصر #العراق #الأردن #حماس   #لبنان #ترمب #ترامپ #صباح_الخير #تركيا #الرياض #يوم_الجمعة https://t.co/fT30G3zWvD","Tweet","الصباح","assabahnews","5/20/2025, 2:58:57 AM","0","0","0","1","598","1","ar","No","Twitter for iPhone","#الجزائر, #الكويت, #السعودية, #فلسطين, #القدس, #غزه, #اليمن, #لبنان, #بيروت, #السودان, #سوريا, #مصر, #العراق, #الأردن, #حماس, #لبنان, #ترمب, #ترامپ, #صباح_الخير, #تركيا, #الرياض, #يوم_الجمعة","https://x.com/assabahnews/status/1924615793582719191","photo","https://pbs.twimg.com/media/GrWb3ASWUAAuYwm.jpg",""
"=""1924615761819013563""","بالأفعال وليس الأقوال.. هنا يصنع القرار🇸🇦💚
#رفع_العقوبات #السعوديه_سوريا https://t.co/VKrsfe39MD","Tweet","Maya","7xisii_","5/20/2025, 2:58:49 AM","0","0","0","2","24","0","ar","No","Twitter for iPhone","#رفع_العقوبات, #السعوديه_سوريا","https://x.com/7xisii_/status/1924615761819013563","photo","https://pbs.twimg.com/media/GrWb0x6XAAAXVbu.jpg",""
"=""1924615747470295285""","بنت صينيه رغم الحرب ماطلعت من سوريا 
حدى يقلها تفتح مطعم صيني 😁
بتحكي سوري قح تعلمت لهجتنا بقوة https://t.co/tOju9iyhrq","Tweet","Abo ali","Aboali198589","5/20/2025, 2:58:46 AM","1","1","0","6","161","0","ar","No","Twitter for Android","","https://x.com/Aboali198589/status/1924615747470295285","video","https://video.twimg.com/ext_tw_video/1924615316337733632/pu/vid/avc1/720x1280/VJCpnUCCwk4ntQyq.mp4?tag=12",""
"=""1924615736678293821""","#ديرالزور
انتشار دوريات عسكرية لميليشيا #قسد في قرية جديد بكارة بريف ديرالزور الشرقي
#الشرقية24
#سوريا","Tweet","شبكة الشرقية 24","alsharqia24news","5/20/2025, 2:58:43 AM","0","0","0","1","263","0","ar","No","Twitter Web App","#ديرالزور, #قسد, #الشرقية24, #سوريا","https://x.com/alsharqia24news/status/1924615736678293821","","",""
"=""1924615721096528360""","@ahmad77ahmad321 @ali_x222 وجيش إسرائيل محتل نصف سوريا الموضوع بسيط انا حررت نفسي وهو موجود باتفاقية سلام وليس تطبيع  اما أنت محتل حرر نفسك الموضوع بسيط وسهل الكلام غالي","Reply","أبوهاشم الهاشمي🇪🇬🫡","Abohashem2222","5/20/2025, 2:58:40 AM","1","0","0","0","36","0","ar","No","Twitter for Android","","https://x.com/Abohashem2222/status/1924615721096528360","","",""
"=""1924615700158505125""","@S_m_sa88 اي نعم، وهذا يشمل سوريا الاسد الي استقبلتموه قبل سقوطة؟؟ الله يعلم لولا ثورة الشعب السوري واسقاطة لابشار كان شفنا الاسد مكان الشرع، لو كان العالم الاسلامي نسى محاولتكم لتطبيع بشار فا الناس الي عندها معرفة بالتاريخ مش حتنسى","Reply","☪️Yilan","Yilan1086747","5/20/2025, 2:58:35 AM","0","0","0","0","56","0","ar","No","Twitter for Android","","https://x.com/Yilan1086747/status/1924615700158505125","","",""
"=""1924615674422292642""","سوريا 🇸🇾 مابين 2024 و 2025 https://t.co/wazX2PTChr","Tweet","Hussain Haj Hussain","hussainhaj82","5/20/2025, 2:58:29 AM","34","89","3","494","27","21","ar","No","Twitter for iPhone","","https://x.com/hussainhaj82/status/1924615674422292642","video","https://video.twimg.com/amplify_video/1924615563533275136/vid/avc1/1080x1920/ZcU2GbJPJPL6PTe8.mp4?tag=21",""
"=""1924615671930847422""","و يمكن تصنيف ذلك في الايطار السياسي و تقديم نفسه انه افضل من سابقه !!
هذا و يتوعّد جماعته بشكل متواصل بضمّ لبنان إلى سجنهم السوري ..
نحن فصلنا السوري عن جرائم المخابرات السورية ؛
اما انتم لحد اليوم تبيحون الانتهاكات تحت عنوان فلول نظام ..
خسئتم .
#سوريا #الإرهاب","Reply","Stx","DarkSt961","5/20/2025, 2:58:28 AM","0","1","0","0","71","0","ar","No","Twitter for iPhone","#سوريا, #الإرهاب","https://x.com/DarkSt961/status/1924615671930847422","","",""
