"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1924610706197917806""","امطار الخير في مدينة حلب 🌧️😍

#حلب #سوريا #سورية #aleppo #syria #Aleppo 
#بنت_حلب_الشهباء 👸🏻👑 https://t.co/1VAGtOKOFT","Tweet","Ranim Ranom","RanimHares","5/20/2025, 2:38:44 AM","0","0","0","0","80","0","ar","No","Twitter for Android","#حلب, #سوريا, #سورية, #aleppo, #syria, #Aleppo, #بنت_حلب_الشهباء","https://x.com/RanimHares/status/1924610706197917806","video","https://video.twimg.com/ext_tw_video/1924610631145078784/pu/vid/avc1/480x856/cy_q6fahXPWbYpw4.mp4?tag=12",""
"=""1924609466319675456""","#جامعة_حلب في #المناطق_المحررة تحتفي بتخريج الدفعة الثانية من طلاب كلية الصيدلة في مدينة #مارع، دفعة الشهيد عمران سقيرق، للعام الدراسي 2023-2024.
تصوير : باسل ابواليزن #سوريا_أفق24 https://t.co/f2AZDe92KU","Tweet","افق 24","FFvd0nTLJP36452","5/20/2025, 2:33:48 AM","0","0","0","0","60","0","ar","No","Twitter for Android","#جامعة_حلب, #المناطق_المحررة, #مارع, #سوريا_أفق24","https://x.com/FFvd0nTLJP36452/status/1924609466319675456","photo","https://pbs.twimg.com/media/GrWWG_2W0AAv0ai.jpg, https://pbs.twimg.com/media/GrWWHB_XcAAm9Gg.jpg, https://pbs.twimg.com/media/GrWWG_vX0AAozm3.jpg, https://pbs.twimg.com/media/GrWWHDLWkAArDRl.jpg",""
"=""1924609336929607834""","@lucrluc @katsataro @TheVuItureMan حرك بس انت و اسمك ذا تقل كأنك شوارع حلب بعد ما شالوا صور بشار من اللوحات","Reply","الحمدلله ولدتُ سوريًّا","syrianaura","5/20/2025, 2:33:18 AM","0","0","0","0","100","0","ar","No","Twitter for iPhone","","https://x.com/syrianaura/status/1924609336929607834","","",""
"=""1924608058606682556""","على التيكتوك و خلافه صفيان كم برغي و بتخلص منصة إطلاق المكوك الفضائي السوري الأموي الجديد من حلب .
على أرض الواقع عنا بالضيعة خالتي عم تشحد حق جرة الغاز و مو مصدقة إنو الكهربا عم تجي ٣ ساعات باليوم .
#شي_بحط_العقل_بالكف 
#سوريا 
#سوريا_الان 
#سوريا_الجديدة https://t.co/IUTqV0Rc8p","Tweet","عباس صدران Abbas Sadran","AbbasSadran","5/20/2025, 2:28:13 AM","0","0","0","3","322","0","ar","No","Twitter for Android","#شي_بحط_العقل_بالكف, #سوريا, #سوريا_الان, #سوريا_الجديدة","https://x.com/AbbasSadran/status/1924608058606682556","photo","https://pbs.twimg.com/media/GrWU1HhaEAAh9Np.jpg",""
"=""1924598504929800337""","ضابط بعثي سابق في نظام الأسد يترأس هيئة العدالة الانتقالية في #سوريا
#قسد #دير_الزور #دمشق #منبج
#مظلوم_عبدي #أحمد_الشرع  #القامشلي #حمص #إدلب #حلب 

@USEmbassySyria
@GermanyOnMENA
@UKforSyria
@francediplo_AR
@JBaptisteFaivre 
 https://t.co/xSWlXX8AUw","Tweet","Kurd Online","kurdonline","5/20/2025, 1:50:15 AM","0","0","0","0","206","0","ar","No","Twitter Web App","#سوريا, #قسد, #دير_الزور, #دمشق, #منبج, #مظلوم_عبدي, #أحمد_الشرع, #القامشلي, #حمص, #إدلب, #حلب","https://x.com/kurdonline/status/1924598504929800337","","","https://kurd-online.com/%d8%b6%d8%a7%d8%a8%d8%b7-%d8%a8%d8%b9%d8%ab%d9%8a-%d8%b3%d8%a7%d8%a8%d9%82-%d9%81%d9%8a-%d9%86%d8%b8%d8%a7%d9%85-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%aa%d8%b1%d8%a3%d8%b3-%d9%87%d9%8a%d8%a6%d8%a9/"
"=""1924591524035113149""","@AasfSy52528 @bassima_salwa @mohamadzoka مفكر كل البشر عبيد متل جماعتك ..
لحنا مننتقد حتى رئيس الدولة من نص دمشق و حلب ..
المنصة السورية و ربيع دمشق و عشرات القنوات الإعلامية متل ام تي في سوريا و قنوات ناطقة باللغة الكردية و غيرها فاتحة مراكزها بنص الشام و بتغطي الأحداث  بكل حرية.
عادي لحنا عنا حرية و كرامة  مو متلكم😌","Reply","Mhmood","EnIngenieur","5/20/2025, 1:22:31 AM","1","0","0","0","32","0","ar","No","Twitter Web App","","https://x.com/EnIngenieur/status/1924591524035113149","","",""
"=""1924585026676560361""","جرح عميق لنا في جبهة وحي العامرية حلب .. 
سنعيد بناء سوريا العظيمة بسواعد الأحرار الأبطال بإذن الله.. https://t.co/NjQazpoQpa","Tweet","أبوالحسن زحلان","AbwalhsnMr","5/20/2025, 12:56:42 AM","0","0","0","4","134","0","ar","No","Twitter for Android","","https://x.com/AbwalhsnMr/status/1924585026676560361","video","https://video.twimg.com/ext_tw_video/1924584845109325824/pu/vid/avc1/574x1080/WL05ZNEEkqQiZafp.mp4?tag=12",""
"=""1924581757426307156""","@fadi0bed لازم بحمص باعتبار ها وسط سوريا 
والشام فيها مطار 
وحلب فيها 
منطور مطارات حلب والشام","Reply","ahmedali1453 Zin","Ahmedali1430245","5/20/2025, 12:43:42 AM","0","0","0","1","57","0","ar","No","Twitter for Android","","https://x.com/Ahmedali1430245/status/1924581757426307156","","",""
"=""1924579980811337765""","ترقبوا كتابي الجديد⌛
الذي سيحطم الاسواق🤌🏻 ويخلط الاوراق😬
كيف تصبح كوهين في عشرة ايام 
بدون معلم✡🥷🏻😉
يوزع على الخواريف مجانا🐑🫵🏻😅
#الثمن #العدالة_الانتقالية
#سوريا #دمشق #ادلب #القمة_العربية_في_بغداد
#الشيباني #الأمن_العام #القنيطرة
 #أحمد_الشرع
#حلب #غزة https://t.co/RdpC5qSg5V","Tweet","ابو عبيدة الجولاني🥷🏽","kerookeroo55146","5/20/2025, 12:36:39 AM","3","1","0","6","422","0","ar","No","Twitter for Android","#الثمن, #العدالة_الانتقالية, #سوريا, #دمشق, #ادلب, #القمة_العربية_في_بغداد, #الشيباني, #الأمن_العام, #القنيطرة, #أحمد_الشرع, #حلب, #غزة","https://x.com/kerookeroo55146/status/1924579980811337765","photo","https://pbs.twimg.com/media/GrV7SwNWoAAo1pc.jpg, https://pbs.twimg.com/media/GrV7Sw5XwAAMQ1W.jpg, https://pbs.twimg.com/media/GrV7SzjXcAA9jkF.jpg",""
"=""1924579396272132117""","@Maher_VII اصلا خطأ يتم بناء اي مطار في دمش او حلب وحمص مافيها مطار
حمص في منتصف سوريا ومساحتها كبيرة جدا
الافضل بناء مطار فيها","Reply","Mohammad | الحساب الثاني","moh_mm_a_d","5/20/2025, 12:34:19 AM","0","0","0","0","38","0","ar","No","Twitter for Android","","https://x.com/moh_mm_a_d/status/1924579396272132117","","",""
"=""1924577650107973665""","🔴

 #سوريا 
#حلب

مقتل ""باسل سعيد العاو"" نتيجة إطلاق النار عليه من مسلحين مجهولين، في مدينة #السفيرة بريف #حلب الشرقي ..","Tweet","سنديانة سورية","Geminisyria","5/20/2025, 12:27:23 AM","0","0","0","0","73","0","ar","No","Twitter for iPhone","#سوريا, #حلب, #السفيرة, #حلب","https://x.com/Geminisyria/status/1924577650107973665","","",""
"=""1924577016243736606""","@mrx91x شي بسود الوجه الديرية وارياف حلب وادلب وسخ سوريا انتشرو متل السرطان بالبلد","Reply","weaam","weamalkhateeb3","5/20/2025, 12:24:52 AM","0","0","0","0","11","0","ar","No","Twitter for Android","","https://x.com/weamalkhateeb3/status/1924577016243736606","","",""
"=""1924575755272331577""","@EmaanAljuhanii @ali_x222 الغار النظيف في حلب ... واغلب منتجات سوريا نظيفه بامانه","Reply","Bsaam ب͜ــ๋͜ـس͜ــ๋͜ـآم͜ــ๋͜ـ","Bsaam_2023_H","5/20/2025, 12:19:51 AM","1","0","0","2","382","0","ar","No","Twitter for Android","","https://x.com/Bsaam_2023_H/status/1924575755272331577","","",""
"=""1924575011672576124""","@AboJAFFAR2020 حدا يخبرها انو محمد فارس اول رائد فضاء عربي من سوريا حلب","Reply","م.القعقاع","al838a3_m","5/20/2025, 12:16:54 AM","0","0","0","0","1","0","ar","No","Twitter for Android","","https://x.com/al838a3_m/status/1924575011672576124","","",""
"=""1924574501209006087""","من سوريا عودة القطار الحلبي للعمل داخل حلب🚃
شيئ جميل ورائع هذا المشهد يشعرنا بلأمل ان سوريا سوف تنهض وتزدهر وتعود رغم كل الجراح والألم على مر السنوات السابقه .

ماشاءالله وتبارك الرحمن 

#سوريا
#dek68 
#SkyNani https://t.co/D4EkiBJyPc","Tweet","Alshbli","Alshbli14743229","5/20/2025, 12:14:52 AM","0","0","0","1","90","0","ar","No","Twitter for iPhone","#سوريا, #dek68, #SkyNani","https://x.com/Alshbli14743229/status/1924574501209006087","video","https://video.twimg.com/amplify_video/1924574442761371648/vid/avc1/364x454/jHCHq0IqPzc0T3Xt.mp4?tag=21",""
"=""1924562465200787957""","@soliamany1992 @Wolveri07681751 أنت تماماً قاعد توصف الحمير المأدجلة تبع حزب الله اللي تركو حدود جنوب لبنان وهربو يقاتلو السوريين في حلب وادلب بأقصى شمال سوريا 😆😂

بس بالأخير قصة بقاء النظام لا بإيد ابو هادي الإيراني ولا أم هادي الإيراني 😆😆😆
يلااا غطووه غطووه للسيد https://t.co/lQogx6SUB5","Reply","Ibrahim 🆇","detibrahimx","5/19/2025, 11:27:03 PM","0","1","0","5","120","0","ar","No","Twitter for Android","","https://x.com/detibrahimx/status/1924562465200787957","video","https://video.twimg.com/ext_tw_video/1924562433323962368/pu/vid/avc1/848x480/p5aooZD9O7-XD-7d.mp4?tag=12",""
"=""1924560373761327463""","كلمة عبد المنعم زين الدين في #حفل_تخريج دفعة من #كلية_الصيدلة - #جامعة_حلب الحرة، في #ريف_حلب الشمالي (#مارع).✌️💚 https://t.co/eHu9zrPaJ0","Tweet","شبكة أخبار سوريا","SyrNetworkNews","5/19/2025, 11:18:44 PM","3","1","0","31","2737","2","ar","No","Twitter for Android","#حفل_تخريج, #كلية_الصيدلة, #جامعة_حلب, #ريف_حلب, #مارع","https://x.com/SyrNetworkNews/status/1924560373761327463","video","https://video.twimg.com/ext_tw_video/1924560085793067008/pu/vid/avc1/478x850/xx9A_TKms1ZXHhPr.mp4?tag=12",""
"=""1924558886880612693""","تسلملي حلب اللي عم تشتغل وتنهض لحالها 😂🤍
#سوريا","Tweet","Ibrahim 🆇","detibrahimx","5/19/2025, 11:12:49 PM","0","0","0","1","83","0","ar","No","Twitter for Android","#سوريا","https://x.com/detibrahimx/status/1924558886880612693","","",""
"=""1924541691303780606""","مجهولون يغتالون الشبيح احمد كعكة في حي صلاح الدين بمدينة #حلب","Quoted tweet","أنس المعراوي anasmaarawi","anasanas84","5/19/2025, 10:04:30 PM","79","26","4","1098","90910","10","ar","No","Twitter for Android","#حلب","https://x.com/anasanas84/status/1924541691303780606","","",""
"=""1924555530585932135""","نشري لخبر مشروع استثماري قرب دمشّق لا يعني ان كل الاستثمارات في هذه المنطقة. بل هناك استمثارات في  عموما سوريا؛ درعا، دير الزور، حلب، إدلب، حمص، حماة. الخدمات مهمة نظام الأسد لم يبني حجر في هذه البلد وتركها مدمرة. هناك اولويات والعمل على جميع الأصعد، الدولة لا تدفع أموال بل هي","Reply","Maher Al-hamdan","MaherAL_hamdan","5/19/2025, 10:59:29 PM","4","5","0","133","6797","1","ar","No","Twitter Web App","","https://x.com/MaherAL_hamdan/status/1924555530585932135","","",""
"=""1924553208908689698""","أحرّ التهاني للصديق العزيز أحمد العبسي
بمناسبة تكليفه مديراً للثقافة في محافظة حلب،
نبارك لك هذه الثقة المستحقّة، ونتمنى لك التوفيق والسداد في مهمتك الجديدة.
نعلم أنك أهلٌ لها، وأنك ستواصل بعزمك المعروف تعزيز المشهد الثقافي في حلب، مدينة التاريخ والإبداع.
#سوريا #حلب https://t.co/mZfGUp8PHN","Tweet","غسان الجمعة","ghassanaljoma","5/19/2025, 10:50:16 PM","0","0","0","0","52","0","ar","No","Twitter for Android","#سوريا, #حلب","https://x.com/ghassanaljoma/status/1924553208908689698","photo","https://pbs.twimg.com/media/GrVi78fXYAArqvb.jpg, https://pbs.twimg.com/media/GrVi8aFXQAAlpcu.jpg",""
"=""1924548109931049367""","#الخليج_العربي يتجه لإقامة منتدى اقتصادي مع #سوريا

https://t.co/UkPZhzSTkv","Tweet","Halab Today TV قناة حلب اليوم","HalabTodayTV","5/19/2025, 10:30:00 PM","0","1","0","10","1401","2","ar","No","Twitter Web App","#الخليج_العربي, #سوريا","https://x.com/HalabTodayTV/status/1924548109931049367","","","https://halabtodaytv.net/archives/281587"
"=""1924547691935141979""","الموكامبو Al-Mogambo شارع الإتحاد 🥺❤️

#حلب #سوريا #سورية #aleppo #syria #Aleppo 
#بنت_حلب_الشهباء 👸🏻👑 https://t.co/0jFVNZwGdm","Tweet","Ranim Ranom","RanimHares","5/19/2025, 10:28:20 PM","0","0","0","1","80","0","ar","No","Twitter for Android","#حلب, #سوريا, #سورية, #aleppo, #syria, #Aleppo, #بنت_حلب_الشهباء","https://x.com/RanimHares/status/1924547691935141979","video","https://video.twimg.com/ext_tw_video/1924547617976877056/pu/vid/avc1/720x1280/EUyPgMMF7nJNFgXK.mp4?tag=12",""
"=""1924545740203774065""","@M_A_G_E_D12 لك شو عبتحكي انت تعالي شوفي الدول و عمارها وين صارو و نحن في سوريا عايشين على المشاعر كل سوريا تحتاج إلى تجديد بدءا من دمشق نهاية في حلب هل تعلمين ان في العشر السنوات القادمة ستبدا مشاكل كثير تخرج من الأبنية التي عمرها فوق ال ٢٥ سنة و كلها تحتاج إلى تجديد","Reply","x….","Hasaxxxx","5/19/2025, 10:20:35 PM","0","0","0","0","20","0","ar","No","Twitter for iPhone","","https://x.com/Hasaxxxx/status/1924545740203774065","","",""
"=""1924542234231267496""","أهم الأخبار في عيون الأخبار 19 05 2025 وفيها: برنامج الأمم المتحدة الإنمائي يوقع اتفاقية بقيمة 5 ملايين دولار لدعم الأمن الغذائي والتعافي في #سوريا https://t.co/kWY9lFhZfr","Tweet","Halab Today TV قناة حلب اليوم","HalabTodayTV","5/19/2025, 10:06:39 PM","0","0","0","6","1426","0","ar","No","Twitter Web App","#سوريا","https://x.com/HalabTodayTV/status/1924542234231267496","photo","https://pbs.twimg.com/media/GrVY9VfW8AA8NLm.jpg",""
"=""1924539485246701805""","هي رسالة من موظف

كل يوم عبيجي مئات الاشخاص من كوباني والقامشلي اكراد مدنيين وعناصر حزب عبطالعوا جوازات سفر من حلب ونمر سياراتهم كوباني
……
قاعد يتجنس اي كلب قنديلي باسم المكتومين والي ما عندهم ثوبتيات 

#سوريا_الان 
#الجوازات #دمشق https://t.co/3v0YE3NBVw","Tweet","فيصل العنزي","fisall52","5/19/2025, 9:55:44 PM","0","0","0","1","73","0","ar","No","Twitter for iPhone","#سوريا_الان, #الجوازات, #دمشق","https://x.com/fisall52/status/1924539485246701805","photo","https://pbs.twimg.com/media/GrVWcW2WsAAAMfu.jpg",""
"=""1924537750436323638""","@syria7ra @AlaaDarkhbani في غرب حلب وادلب وما حولها يشتري الناس الخبز من محلات البقالة والبسطات بنفس سعر الافران .. الامر محلول .. وإن شاء الله ينتشر الامر في كل بقاع سوريا","Reply","shafik","shafik29","5/19/2025, 9:48:50 PM","1","0","0","1","19","0","ar","No","Twitter for Android","","https://x.com/shafik29/status/1924537750436323638","","",""
"=""1924533490592129175""","@H70qvjDY8611343 رفقاتي نازلين ع سوريا عملتلكم دعاية وبعتتهم ع حلب 😌","Reply","Ray 🇸🇾","Ray_H_o","5/19/2025, 9:31:54 PM","2","0","0","1","101","0","ar","No","Twitter for iPhone","","https://x.com/Ray_H_o/status/1924533490592129175","","",""
"=""1924531776967311618""","تعزيزات واشتباكات في محيط منطقة سد تشرين شمال شرقي #حلب بين الجيش السوري و""قسد"" بعد محاولة الأخيرة التسلل
تقرير: نبيهة الطه 
#تلفزيون_سوريا #نيو_ميديا_سوريا https://t.co/co1MbCVNlP","Tweet","تلفزيون سوريا","syr_television","5/19/2025, 9:25:06 PM","2","2","1","30","4985","3","ar","No","Twitter Media Studio","#حلب, #تلفزيون_سوريا, #نيو_ميديا_سوريا","https://x.com/syr_television/status/1924531776967311618","video","https://video.twimg.com/amplify_video/1924531071846129664/vid/avc1/1080x1350/nOZiX2wqQ5yZ4TVW.mp4?tag=16",""
"=""1924530574305165502""","@k7ybnd99 و المحزن كمان ضعف تركيز الإعلام على انتهاكات و جرائم قسد.

هذا الخبر مثلاً بتاريخ 09.05.2025
ما في وسيلة إعلام مهمة نشرت الخبر (الجزيرة، العربية، تلفزيون سوريا…إلخ).

ما في غير قناة حلب اليوم و كالة الفرات للأنباء و بعض النشطاء السوريين.

ما في على الفضائيات غير 🥴مجازر الساحل🥴 https://t.co/UeBXNrmAhW","Reply","Ali M","AliM0159","5/19/2025, 9:20:19 PM","0","0","0","1","89","0","ar","No","Twitter for iPhone","","https://x.com/AliM0159/status/1924530574305165502","photo","https://pbs.twimg.com/media/GrVOWwFW8AAqztq.jpg",""
"=""1924529702800064726""","مشاهد تظهر إرسال الجيش السوري تعزيزات أمنية إلى مواقع قرب سد تشرين، خلال الاشتباكات التي جرت مع عناصر قسد اليوم.
فهل سيشهد شمال شرق #سوريا معركة ضد ارها*ب الانفصاليين من تنظيم قسد، بعد تقليص أمريكا لقواتها في المنطقة؟!
#سد_تشرين #حلب #وزارة_الدفاع
#منبج
#قسد_PKK_الارهابية https://t.co/iiwV0mEDtU","Tweet","Khaledalhaby","khaled_alhalby","5/19/2025, 9:16:51 PM","0","0","0","0","203","0","ar","No","Twitter for Android","#سوريا, #سد_تشرين, #حلب, #وزارة_الدفاع, #منبج, #قسد_PKK_الارهابية","https://x.com/khaled_alhalby/status/1924529702800064726","video","https://video.twimg.com/ext_tw_video/1924529422838710272/pu/vid/avc1/720x1088/hAQxcvVODv-4xaeP.mp4?tag=12",""
"=""1924528284508770608""","@youarealliar خخخخ سوريا حقها فرنك من دون حلب العاصمة الاقتصادية","Reply","🧉","xyzoth","5/19/2025, 9:11:13 PM","0","0","0","0","10","0","ar","No","Twitter Web App","","https://x.com/xyzoth/status/1924528284508770608","","",""
"=""1924528039825727741""","تعيين أحمد وديع العبسي مديرًا لمديرية الثقافة في محافظة #حلب
#سوريا https://t.co/TIUO5RZbmH","Tweet","التلفزيون العربي - سوريا","AlarabyTvSY","5/19/2025, 9:10:15 PM","0","0","1","2","184","0","ar","No","Twitter Web App","#حلب, #سوريا","https://x.com/AlarabyTvSY/status/1924528039825727741","photo","https://pbs.twimg.com/media/GrVMC5VWAAA4iBl.jpg",""
"=""1924527956765888525""","اذهب الى الساحل تجد مخازن الاسلحة 
اذهب الى حلب وادلب ودرعا تجد المقابر 
هاد يلي صار بسوريا ببساطة 
#سوريا","Tweet","Mohammed","Jobar05","5/19/2025, 9:09:55 PM","0","0","0","0","63","0","ar","No","Twitter for Android","#سوريا","https://x.com/Jobar05/status/1924527956765888525","","",""
"=""1924498520037331079""","محافظة اللاذقية: تمكنت مديرية أمن اللاذقية من ضبط مستودع أسلحة في مدينة القرداحة يضم قذائف هاون وعدداً من قذائف الـRPG، وذلك إثر عملية رصد ومتابعة دقيقة. https://t.co/0pDeEYLgLe","Quoted tweet","Qasem","Qasemqt","5/19/2025, 7:12:57 PM","51","37","26","776","30616","25","ar","No","Twitter for iPhone","","https://x.com/Qasemqt/status/1924498520037331079","photo","https://pbs.twimg.com/media/GrUxL_OWsAA-9j3.jpg, https://pbs.twimg.com/media/GrUxMAlXEAIW_W5.jpg, https://pbs.twimg.com/media/GrUxL_MXYAANStM.jpg, https://pbs.twimg.com/media/GrUxL_QXoAAMNIT.jpg",""
"=""1924527885584421140""","نصيحة من أختكم وأنا من محافظة حلب منبع لواء القدس الفلسطيني هولاء اخطر من الشيعة ويجب تحذير منهم ماذا فعلوا في مخيم الحسين في الاردن وزعزعة الاردن هل تعلم أخي الكريم قتلوا 80 الف سوري في شرق سوريا وحمص وريف حلب الشمالي","Tweet","ريم التركماني","Reemhasantr","5/19/2025, 9:09:38 PM","1","0","0","2","118","0","ar","No","Twitter for Android","","https://x.com/Reemhasantr/status/1924527885584421140","","",""
"=""1924205616815349969""","ليش الفلسطيني عندة غل من فرحة سوريا الحبيبة ويتطول على السعودية 🇸🇦 وخيرة من السعودية وإسرائيل عدوتة ويدعمون المحتل الايراني في صنعاء الحوثي https://t.co/1na4wDHq5u","Quoted tweet","عصام الانسي حسابي الاول محظور","essamelansy92","5/18/2025, 11:49:03 PM","121","118","12","785","104147","82","ar","No","Twitter for Android","","https://x.com/essamelansy92/status/1924205616815349969","video","https://video.twimg.com/ext_tw_video/1924204517073022976/pu/vid/avc1/720x1280/fnG0EdzGmgm-TIMN.mp4?tag=12",""
"=""1924526289551011952""","قسد تواصل حشد قواتها على أطراف مدينة الرقة، في تحضيرات تشير إلى عملية عسكرية دفاعية مرتقبة. ومع تصاعد التوترات، يبدو أن ملف قسد يتجه شيئاً فشيئاً نحو الحسم العسكري، ما ينذر بمرحلة جديدة من المواجهة في المنطقة. #الحسكة #عفرين #سوريا #حلب #درعا #حمص #القامشلي #ديرالزور #منبج #تركيا https://t.co/bxAPRpug72","Tweet","فواز الذياب","fwazdeab89","5/19/2025, 9:03:18 PM","0","0","0","3","188","0","ar","No","Twitter for iPhone","#الحسكة, #عفرين, #سوريا, #حلب, #درعا, #حمص, #القامشلي, #ديرالزور, #منبج, #تركيا","https://x.com/fwazdeab89/status/1924526289551011952","video","https://video.twimg.com/amplify_video/1924526091760193540/vid/avc1/1080x1920/Mm6Q_QR0K3C5K4k3.mp4?tag=21",""
"=""1924519843455267036""","@Morwan05266410 القروش المدفوعه قصادها &lt; ( سلاح متطور / مشاريع ذكاء اصطناعي / حمايه ولو كانت صوريه 
القصه حقت حلب وما حلب دي غير صحيحه ي سعادتك  السعوديه حكمت سوريا بتعيين الشرع واكيد ما حنيه والعقوبات المرفوعه كمان ما حنيه 
رجال الاعمال المليارديه مرافقين ترمب ما جو ساي","Reply","طاهر🐋","mo7maedt","5/19/2025, 8:37:41 PM","0","0","0","0","73","0","ar","No","Twitter for Android","","https://x.com/mo7maedt/status/1924519843455267036","","",""
"=""1924515869620686981""","#سوريا و #المغرب تستعدان لإعادة تبادل السفراء واستئناف العلاقات الدبلوماسية

https://t.co/BDHSh9amYi","Tweet","Halab Today TV قناة حلب اليوم","HalabTodayTV","5/19/2025, 8:21:53 PM","0","0","0","10","1061","0","ar","No","Twitter Web App","#سوريا, #المغرب","https://x.com/HalabTodayTV/status/1924515869620686981","","","https://halabtodaytv.net/archives/281578"
