"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925290331974549757""","رئيس المجلس الأوروبي: 
اتفقت مع الرئيس السوري في مكالمة على أن رفع العقوبات الأوروبية فرصة لتعافي #سوريا
السيد الشرع أكد التزامه بالتحول الديمقراطي بما يمكن سوريا من استعادة اقتصاد مستقر
السيد الشرع أعرب عن اهتمامه بإقامة حوار رفيع المستوى مع الاتحاد الأوروبي https://t.co/mvAgHxdq9u","Tweet","Iyad","iyadalmugarabi","5/21/2025, 11:39:19 PM","0","0","0","0","2","0","ar","No","Twitter for iPhone","#سوريا","https://x.com/iyadalmugarabi/status/1925290331974549757","photo","https://pbs.twimg.com/media/GrgBWZlWoAAwuq3.jpg",""
"=""1925290049261670629""","الرئاسة السورية: 

⭕ الرئيس تلقى اتصالا من رئيس المجلس الأوروبي بحثا خلاله قرار الاتحاد الأوروبي رفع العقوبات

⭕ الرئيس أشار إلى أن التدخلات الإسرائيلية تؤثر على #سوريا وعلى الاتحاد الأوروبي العمل على وقفها

⭕ الرئيس رحب بالشركات الأوروبية للاستثمار في سوريا مؤكدا أن البلاد https://t.co/sOsupBU3Of","Tweet","المجهر السوري","ShamScope","5/21/2025, 11:38:12 PM","0","0","0","1","7","0","ar","No","Buffer","#سوريا","https://x.com/ShamScope/status/1925290049261670629","photo","https://pbs.twimg.com/media/GrgBGN5WcAASRjS.jpg",""
"=""1925289688740298823""","#عاجل | رئاسة الجمهورية: 
📌 الرئيس #أحمد_الشرع يتلقى تهنئة برفع العقوبات الأوروبية عن #سوريا من رئيس المجلس الأوروبي أنطونيو كوستا
📌 رئيس المجلس الأوروبي هنأ الشرع برفع العقوبات عن سوريا
📌 الرئيس الشرع شكر الاتحاد الأوروبي على رفع العقوبات عن سوريا
#تلفزيون_سوريا https://t.co/ie5BCfksEh","Tweet","تلفزيون سوريا","syr_television","5/21/2025, 11:36:46 PM","0","0","0","4","376","0","ar","No","Twitter Web App","#عاجل, #أحمد_الشرع, #سوريا, #تلفزيون_سوريا","https://x.com/syr_television/status/1925289688740298823","photo","https://pbs.twimg.com/media/Grf19evXIAEJDen.jpg",""
"=""1925288082581991797""","رئيس المجلس الأوروبي:
📌 أجريت اتصالاً جيداً مع الرئيس السوري أحمد الشرع
📌 الشرع أكد التزامه بالانتقال الديمقراطي بما يمكّن #سوريا من استعادة الاستقرار
📌 الشرع أعرب عن اهتمامه بإقامة حوار رفيع المستوى مع الاتحاد الأوروبي https://t.co/7QTr1ZD7yZ","Tweet","عامر هويدي","DeryNews","5/21/2025, 11:30:23 PM","0","0","0","6","118","0","ar","No","Twitter Web App","#سوريا","https://x.com/DeryNews/status/1925288082581991797","photo","https://pbs.twimg.com/media/Grf_TcWX0AAYact.png",""
"=""1925286583206363493""","رئيس المجلس الأوروبي يهنئ الرئيس السوري برفع العقوبات الأوروبية عن #سوريا https://t.co/FRnqkqVfvV","Tweet","عدسة أخبار العالم","News__Global","5/21/2025, 11:24:26 PM","0","0","0","0","34","0","ar","No","Twitter Web App","#سوريا","https://x.com/News__Global/status/1925286583206363493","photo","https://pbs.twimg.com/media/Grf98J3XIAA5V6J.jpg",""
"=""1925284950028267832""","الرئاسة السورية: الرئيس أكد في اتصاله مع رئيس المجلس الأوروبي أن سوريا ممر اقتصادي مهم بين الشرق والغرب
https://t.co/DfRAcYa7Pa","Tweet","صوت كل لبنان vdlnews 93.3","sawtkellebnen","5/21/2025, 11:17:56 PM","0","0","0","0","87","0","ar","No","Twitter for Android","","https://x.com/sawtkellebnen/status/1925284950028267832","","","https://www.vdlnews.com/news/494937"
"=""1925284715033936032""","عبر اتصال هاتفي، الرئيس أحمد الشرع يتلقى تهنئة برفع العقوبات الأوروبية عن سوريا من رئيس المجلس الأوروبي أنطونيو كوستا

#رئاسة_الجمهورية_العربية_السورية https://t.co/BnDyzOn9WA","Tweet","مرڤت بربور سوريه حره🇸🇾🇸🇦","MervatBarbour","5/21/2025, 11:17:00 PM","0","0","0","0","8","0","ar","No","Twitter for iPhone","#رئاسة_الجمهورية_العربية_السورية","https://x.com/MervatBarbour/status/1925284715033936032","photo","https://pbs.twimg.com/media/Grf8PUvXsAACysx.jpg",""
"=""1925284273671528526""","عبر اتصال هاتفي، الرئيس أحمد الشرع يتلقى تهنئة برفع العقوبات الأوروبية عن سوريا من رئيس المجلس الأوروبي أنطونيو كوستا

#رئاسة_الجمهورية_العربية_السورية https://t.co/g7WpOQ741f","Tweet","رئاسة الجمهورية العربية السورية","SyPresidency","5/21/2025, 11:15:15 PM","27","36","3","433","7303","2","ar","No","Twitter for Android","#رئاسة_الجمهورية_العربية_السورية","https://x.com/SyPresidency/status/1925284273671528526","photo","https://pbs.twimg.com/media/Grf7103WAAAyHvw.jpg",""
"=""1925283364422004860""","🚨🚨
رئيس المجلس الأوروبي :

يهنئ الرئيس السوري احمد الشرع  برفع العقوبات الأوروبية عن سوريا .. https://t.co/ZmRa58VzZO","Tweet","الأحداث الكورية 🎖️","KOREANPRESS1","5/21/2025, 11:11:38 PM","1","0","0","2","84","0","ar","No","Twitter for Android","","https://x.com/KOREANPRESS1/status/1925283364422004860","photo","https://pbs.twimg.com/media/Grf7AQeXgAAshR4.jpg",""
"=""1925282839148310858""","الرئاسة السورية: الرئيس أكد في اتصاله مع رئيس المجلس الأوروبي أن سوريا ممر اقتصادي مهم بين الشرق والغرب https://t.co/q2MXAM18xH","Tweet","Sawt Beirut International","SawtBeirut","5/21/2025, 11:09:33 PM","0","0","0","1","258","0","ar","No","Twitter Web App","","https://x.com/SawtBeirut/status/1925282839148310858","photo","https://pbs.twimg.com/media/Grf6gL2WcAAI9oz.jpg",""
