"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1924608112578691239""","@cherryjunes يعني شو الي هو المعجزة بالموضوع يا حديثي النعمة ؟ بفضل غباؤكم وعمالتكم وسخافتكم تحولت سوريا لبلد استهلاكي نمطي من الدرجة الخمسين يعني حتى بنجلادش صار فيها مصانع ملابس اكثر من سوريا التي كانت مصانعها تغزوا دول العالم باصناف مميزة قبل الحرب وبسبب سرقة المصانع من تركيا !","Reply","MO JO","madkw","5/20/2025, 2:28:26 AM","0","0","0","0","13","0","ar","No","Twitter for iPhone","","https://x.com/madkw/status/1924608112578691239","","",""
"=""1924604340624363682""","@x055x5 أهم شي الأتصالات ندعوا جميع شركات الاتصالات في الخليج عامة في الدخول والاستثمار في سوريا لأن شركات الاتصالات في سوريا تحتكر الاسعار والخدمة سيئة نقص كبير في الابراج واحياناً تتم سرقة الاجهزة الضوئية التي تبث شبكات الانترنت تخيل تنقطع الشبكة عن محافظة كاملة بسبب الاعطال المتكررة .","Reply","ﺟـڕﻧـ𓅓ــاۜ๛","Grnas_F16","5/20/2025, 2:13:26 AM","0","0","0","0","34","0","ar","No","Twitter for Android","","https://x.com/Grnas_F16/status/1924604340624363682","","",""
"=""1924598476647661858""","@n1262919 @dr5srm @mohammed_jajeh لا وشو،اكتفاء ذاتي، من يوم يومنا منعرف انو نفط سوريا بيروح سرقة ومنستورد كهربا من الاردن
قال صناعات؟ اي سيارة شام يلي على اساس سورية كانت تتصنع بإيران، هاد غير الخضروات والبضاعة يلي اجت من تركيا بعد فتح الحدود ب٢٠٠٨. طبعا هاد كلو غير الرشاوي والمحسوبيات والفساد بالمؤسسات الحكومية","Reply","HaH.","HHaz893","5/20/2025, 1:50:08 AM","2","0","0","0","39","0","ar","No","Twitter Web App","","https://x.com/HHaz893/status/1924598476647661858","","",""
"=""1924560126414856441""","#ديرالزور
تعرّض اليوم مسجدين في بلدة #أبوحمام وقرية #الجرذي بريف ديرالزور الشرقي للسرقة من قبل مجهولين، حيث تمت سرقة أجهزة الطاقة والإذاعة من مسجد الرحمن في أبوحمام، وسرقة جهاز الطاقة من مسجد أبو بكر الصديق في قرية الجرذي
#الشرقية24
#سوريا","Tweet","شبكة الشرقية 24","alsharqia24news","5/19/2025, 11:17:45 PM","0","0","0","1","205","0","ar","No","Twitter Web App","#ديرالزور, #أبوحمام, #الجرذي, #الشرقية24, #سوريا","https://x.com/alsharqia24news/status/1924560126414856441","","",""
"=""1924551559473418561""","@Marwalgendi يا افندى كلهم متفقين عليه الارهابى الجولانى وإسرائيل وأمريكا مافيش سرقه ولا حاجه كله تسليم مفتاح سوريا كلها  لى إسرائيل وأمريكا وتركيا وروسيا","Reply","محمد جابر...دام عزك يا وطنى 💯💯💯💯","mhmdtyh70745203","5/19/2025, 10:43:42 PM","0","0","0","0","21","0","ar","No","Twitter for Android","","https://x.com/mhmdtyh70745203/status/1924551559473418561","","",""
"=""1924547217316048968""","@Aylol_8_12 نعم يجب على كل مواطن سوري ان يكون هو خط الدفاع الاول والتصدي لكل مغرض بالإشاعات يحاول سرقة سوريا الجديدة

اجلد ولا تبالي","Reply","وطني","Watani_Hilali","5/19/2025, 10:26:27 PM","1","0","0","1","34","0","ar","No","Twitter Web App","","https://x.com/Watani_Hilali/status/1924547217316048968","","",""
"=""1924537554763686169""","@Reemmnzer اما عن سرقة ثروات سوريا خلال أكثر من خمسين سنة فالغرب ومؤسساتة وبنوكة يقرون بهذة الشيئ","Reply","صيد المثابر","almothabr","5/19/2025, 9:48:03 PM","0","0","0","0","12","0","ar","No","Twitter for Android","","https://x.com/almothabr/status/1924537554763686169","","",""
"=""1924532812176150764""","مالي فاهم الي ابتدع فكرة الاعلام الي بينشر بس اخبار البلد نفسها
كل الاخبار كل التغطية كل البث عن سوريا واخبار سوريا بس وحصرا
مالي فاهم مين واضع هالسياسة، حتى سرقة ارشيف كوهين ما ذكرتوا شي عنه
في ابادة بالمعنى الحرفي عم تصير على بعد كيلو مترات من بلدنا، على ايد عدونا كلنا@HmzhMo","Reply","Mohamad-محمّد","aljobouri99","5/19/2025, 9:29:13 PM","1","7","0","136","5198","3","ar","No","Twitter for iPhone","","https://x.com/aljobouri99/status/1924532812176150764","","",""
"=""1924527058786340949""","@MHShemi شبعت من سرقة اهل مصر الكرام ولا لسه ،نحن في سوريا لا نحتاج احد","Reply","Majed Sh","MajedSh05829856","5/19/2025, 9:06:21 PM","0","0","0","0","66","0","ar","No","Twitter Web App","","https://x.com/MajedSh05829856/status/1924527058786340949","","",""
"=""1924509804174696675""","سوريا ليست فقط تحت حكم الارhhابية، بل تعاني أيضا  من انتشار العصابات في الشوارع والمدن والأرياف، سرقة، قتل، خطف، تشليح، تشبيح.
#حمص: قرية سكرة
ما زالت الانتهاكات مستمرة في حمص و ريفها ومناطق العلويين 
#خطف الشاب #هاني_فتنة يعمل موزع خبز في القرية و في القرى المجاورة
مخطوف واتصل https://t.co/l12mmfs3GL","Tweet","Syrian-Elites","Syrian_Elites","5/19/2025, 7:57:47 PM","0","0","0","2","69","0","ar","No","Twitter for Android","#حمص, #خطف, #هاني_فتنة","https://x.com/Syrian_Elites/status/1924509804174696675","photo","https://pbs.twimg.com/media/GrU7d7iWwAACy1H.jpg",""
