"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925158000236384258""","عصابات الجولاني تصادر مقتنيات شخصية لاحد اهالي من الطائفة (المسلمة) الدرزية بلدة المقيليبة قرب #صحنايا ياعيب الشوم بس تتمرجلو عواحد مسكين ماعنده غير مستودع سلاح للاستعمال الشخصي وين الرجولة وييييين
#سوريا https://t.co/T8701U6ejh","Tweet","📟 گـمال 📟","nzar__86","5/21/2025, 2:53:29 PM","0","0","0","6","223","0","ar","No","Twitter for Android","#صحنايا, #سوريا","https://x.com/nzar__86/status/1925158000236384258","photo","https://pbs.twimg.com/media/GreI_c1WQAAo6SN.jpg",""
"=""1924929483955700036""","🔴 مقتل الشاب السوري مهران سلامة تحت التعذيب في سجون الأمن العام السوري بحسب منشور للكاتب قصي زهرالدين .
تم اعتقال مهران في الحملة الأخيرة على اشرفية صحنايا  و علمت عائلته اليوم بنبأ وفاته بعد حوالي اسبوعين من المناشدات .
يتم تداول صورة لجثة تظهر اثار تعذيب وحشي على انها لمهران https://t.co/dSbqOyfjVA","Tweet","Dilshad khalaf","DilshadKhalaf","5/20/2025, 11:45:27 PM","1","4","2","27","4305","4","ar","No","Twitter for iPhone","","https://x.com/DilshadKhalaf/status/1924929483955700036","photo","https://pbs.twimg.com/media/Gra5KMuXgAABuCd.jpg",""
"=""1923290214929256838""","@yahya_alaridi @ghassanyasin آخر من يتحدَّث عن الأخوَّة أنت وماهر شرف الدين. لقد كنتما تردحان تحريضاً ونشراً للكذب عن صحنايا وجرمانا وبسبب تحريضكم ؛قُصِف قصر الشعب وقتل رجال الأمن العام على يد ميليشات درزية.أنت أخاك ناجي الشعراني المجرم ونايف العاقل جزار حماة وهو بالسويداء حالياً يتنزه ويشرب عرق الريان! https://t.co/QG2ED3ssbY","Reply","بُجَيْر","bajir0","5/16/2025, 11:11:34 AM","1","2","0","27","692","1","ar","No","Twitter for iPhone","","https://x.com/bajir0/status/1923290214929256838","photo","https://pbs.twimg.com/media/GrDmQUFWAAA0u1-.jpg, https://pbs.twimg.com/media/GrDmQUEW4AAuU_V.jpg",""
"=""1925121504280285207""","ربيع الشعشاع ومهران السلامة شهداء تحت التعذيب في سجون حمامات السلام العام ، علماً أنه لا يزال هنالك لحد الآن اكثر من ستة معتقلين من اشرفية صحنايا وصحنايا مجهولي المصير في سجونهم ، نحمل سلامتهم وأمنهم لسلطة
الأسد الجديد.
الجريمة: الدفاع عن بلدتهم وأهلهم ضد قطعان الهمج التي انفلتت https://t.co/Bs08eNvWfW","Tweet","Lynn⭐️⭐️⭐️","lyelbo","5/21/2025, 12:28:28 PM","0","4","0","28","372","0","ar","No","Twitter for iPhone","","https://x.com/lyelbo/status/1925121504280285207","photo","https://pbs.twimg.com/media/Grdnzd_XYAACQUo.jpg, https://pbs.twimg.com/media/GrdnzeBXEAA7Apb.jpg",""
"=""1924991150823182791""","#صحنايا 
تلقى ذوي الشاب #مهران_سلامة من بلدة صحنايا نبأ استشهاده قتل تحت التعذيب بعد نحو اسبوعين من اعتقاله من قبل الامن العار تابع لي سلطة الأحتلال الأرهابي زعم التحقيق معه https://t.co/LKqSxrFOiA","Tweet","الساحل السوري Syrian coast","SyriaTruthNews","5/21/2025, 3:50:29 AM","1","2","1","3","1264","0","ar","No","Twitter for Android","#صحنايا, #مهران_سلامة","https://x.com/SyriaTruthNews/status/1924991150823182791","photo","https://pbs.twimg.com/media/GrbxP_mXwAABEyE.jpg",""
"=""1924132215111155715""","ليش الإستفزاز؟ 
مجرمين صحنايا أغلبهم طلعوا اذا مو كلهم !
وهالكلاب كل فترة بتطلعوا حدا فيهم! والله لو تمصو زبابهم مارح يحبوكم ولا يصيرو حاضنة الكم https://t.co/LNuSl2tDF4","Tweet","خ.حكمت الإجري🇮🇱🏳️‍🌈","Mazloum_Boya","5/18/2025, 6:57:23 PM","0","0","0","3","157","0","ar","No","Twitter for iPhone","","https://x.com/Mazloum_Boya/status/1924132215111155715","photo","https://pbs.twimg.com/media/GrPkDOfWcAA4Gtz.jpg, https://pbs.twimg.com/media/GrPkDOeWcAAyn-W.jpg",""
"=""1917994756681945274""","الحياة تعود إلى طبيعتها في أشرفية #صحنايا بريف دمشق.

#سانا https://t.co/P6OlSgu7O4","Tweet","الوكالة العربية السورية للأنباء - سانا","SanaAjel","5/1/2025, 8:29:19 PM","3","8","0","137","4570","0","ar","No","Twitter Web App","#صحنايا, #سانا","https://x.com/SanaAjel/status/1917994756681945274","photo","https://pbs.twimg.com/media/Gp4V_1mXUAA-kkG.jpg, https://pbs.twimg.com/media/Gp4WCMJWoAA74Gs.jpg, https://pbs.twimg.com/media/Gp4WDJEXgAAlQNF.jpg, https://pbs.twimg.com/media/Gp4WDzEXgAAm7ez.jpg",""
"=""1924862535712260270""","الشهيد مهران السلامي مات تحت التعذيب في سجون الدولة السورية بعدما إختطفه الامن العام من صحنايا . كان لدى النظام سجن صيدنايا وتدمر أما أنتم فقد حولتم سوريا الى سجن كبير https://t.co/HUsEm6oWLj","Tweet","Wiam Wahhab","wiamwahhab","5/20/2025, 7:19:25 PM","515","99","14","874","95503","21","ar","No","Twitter for iPhone","","https://x.com/wiamwahhab/status/1924862535712260270","photo","https://pbs.twimg.com/media/GrZ8Re8WoAAsVCP.jpg",""
"=""1925090602917482785""","لقاء في #دوما لتعزيز السلم الأهلي بحضور وفود من أهالي #جرمانا و #اشرفية و #صحنايا
#صوت_الحق

#جبل_العرب
#الجليل
#السويداء
#جبل_لبنان
#جبل_الشيخ https://t.co/zQJDSMs6F5","Tweet","صوت الحق","sowt_alhak","5/21/2025, 10:25:40 AM","1","10","0","25","903","0","ar","No","Twitter for iPhone","#دوما, #جرمانا, #اشرفية, #صحنايا, #صوت_الحق, #جبل_العرب, #الجليل, #السويداء, #جبل_لبنان, #جبل_الشيخ","https://x.com/sowt_alhak/status/1925090602917482785","video","https://video.twimg.com/amplify_video/1925090517890584576/vid/avc1/640x360/vI5qUF_wI4HcLfFg.mp4?tag=21",""
"=""1925168207519772763""","🔻🔹 #دمشق #صحنايا :

🔴استشهاد الشاب مهران السلامي تحت التعذيب في أقبية الأمن العام التابع لحكومة الجولاني

🔴توفي الشاب مهران السلامي من أبناء مدينة صحنايا، إثر تعرّضه للتعذيب حتى الموت داخل مراكز...👇
https://t.co/UyBUtcSoyI https://t.co/6zqEZdX6hf","Tweet","جبال العلويين | Alawite Mountains","alawities14","5/21/2025, 3:34:03 PM","3","4","0","15","297","0","ar","No","Twitter for Android","#دمشق, #صحنايا","https://x.com/alawities14/status/1925168207519772763","photo","https://pbs.twimg.com/media/GreSR-hW8AAjqOh.jpg, https://pbs.twimg.com/media/GreSSFXW8AAfNNb.jpg","https://t.me/Alawis14/11709?single"
