"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1924612729597239741""","@MaherAL_hamdan طريق دير الزور دمشق مثلا ..اني بعتبرو اهم اشي ..طريق زراعي دولي؟
و معروف بطريق الموت","Reply","حوراني","GhalebAb","5/20/2025, 2:46:46 AM","0","0","0","2","79","0","ar","No","Twitter for Android","","https://x.com/GhalebAb/status/1924612729597239741","","",""
"=""1924602481532707252""","@AlnqlWzart نريد منكم الاهتمام بطريق دير الزور دمشق هذا الطريق خطير ويحب ان يكون سايدين ويكون مجهز لانه طريق طويل","Reply","AHMAD_SY","098ljo","5/20/2025, 2:06:03 AM","0","0","0","0","48","0","ar","No","Twitter for Android","","https://x.com/098ljo/status/1924602481532707252","","",""
"=""1924553115237548343""","@mohammad133441 هناك الكثير من المشاريع ستكون في درعا، دير الزور، حمص، كن واثق أخي بذلك.. حلب يتم العمل على عدد من المشاريع ومن ضمنها تطوير مطارها وتوسعته.  المشاريع تأتي دائماً ضمن إطار شراكة بين الدولة والقطاع الخاص. على سبيل المثال طريق درعا-دمشق يجري العمل على إصلاحه وتنفيذ بمواصفات عالية","Reply","Maher Al-hamdan","MaherAL_hamdan","5/19/2025, 10:49:53 PM","1","0","0","24","3058","1","ar","No","Twitter Web App","","https://x.com/MaherAL_hamdan/status/1924553115237548343","","",""
"=""1924551383002308956""","شاحنة مشروبات غازية تعرضت لحادث صباح اليوم على طريق دير الزور، وبدلاً من مساعدة السائق، أقدم عدد من الأشخاص على سرقة البضاعة. 
#وكالة_ثقة https://t.co/uazZjyoHDS","Tweet","وكالة ثقة","thiqanewsagency","5/19/2025, 10:43:00 PM","2","0","0","5","627","1","ar","No","Twitter for iPhone","#وكالة_ثقة","https://x.com/thiqanewsagency/status/1924551383002308956","video","https://video.twimg.com/amplify_video/1924551108539645952/vid/avc1/234x426/HmgPIMvrH1OkViKi.mp4?tag=21",""
"=""1924501128802078796""","@7v_lc الواضح أنك تجهل تاريخ مدينة ديرالزور ومن سكنها من ابناء القبائل العربية بعد دمارها عام ١٨٠٤وكانت تسمى ديرالرمان ثم سميت دير العصافير ودعم العثمانيين ابناء القبائل لسكن ديرالزور كونها تقع على طريق التجارة بين حلب والموصل وتم تشكيل لواء الزور","Reply","احمد ابومصعب","BAbwms6453","5/19/2025, 7:23:19 PM","1","0","0","0","73","0","ar","No","Twitter for Android","","https://x.com/BAbwms6453/status/1924501128802078796","","",""
"=""1924418670605820160""","@TNT_arabic طريق القدس يمر بباريس 😉 احمد الشرع ما ادعى تحرير القدس ولكن السيد ادعى تحرير القدس ولكن كان طريقه يمر بالزبداني والغوطة وحلب ويكمل على دير الزور والعراق ويكمل السعودية ومصر ويحرر بلاد المسلمين من المسلمين وبعدها هم ما يحرر القدس","Reply","mahmood","mahmood07218118","5/19/2025, 1:55:39 PM","0","0","0","0","31","0","ar","No","Twitter for Android","","https://x.com/mahmood07218118/status/1924418670605820160","","",""
"=""1924319705466069086""","تحذير ‼️ 
 
بدء تصفية المعتقلين  لدى  #قسد  عن طريق حقنهم بأبر قاتلة وردت معلومات بتصفية 17  سجين خلال يومين   اجرام byd الكورد  لامثيل له 
#الرقة #الحسكة #دير_الزور","Tweet","Ahmad Alkneter","amk81a8","5/19/2025, 7:22:24 AM","1","1","0","32","1026","0","ar","No","Twitter for iPhone","#قسد, #الرقة, #الحسكة, #دير_الزور","https://x.com/amk81a8/status/1924319705466069086","","",""
"=""1924230535229981026""","حادث أليم على طريق #دير_الزور #دمشق يودي بحياة زوجين من مدينة القورية .

سوء الطريق وغياب الخدمات الصحية بسبب طول المسافة ، تضطر سيارات الإسعاف للمجيء من دمشق غالباً ، أيضاً غياب شبكة المحمول والإنترنت زاد من سوء الوضع وتعقيده.
@mohsyria12 
@amhaykal 
#سوريا","Tweet","عبود | Abud 🇸🇾","Abud0310","5/19/2025, 1:28:04 AM","0","0","0","0","146","0","ar","No","Twitter for iPhone","#دير_الزور, #دمشق, #سوريا","https://x.com/Abud0310/status/1924230535229981026","","",""
"=""1924222575158370684""","للمعلومة طريق دير الزور الذي يصلها بحمص ودمشق هو طريق زراعي بالأصل، وليس أوتستراد بالمعنى الحقيقي، أمس حادث ثالث قضى فيه زوجان والضحايا بغالبيتهم من دير الزور وشرقي حمص، ثلاثة حوادث بظرف أسبوع فقط، بولمانات، سيارات، شاحنات، منذ التحرير تقريباً لدينا أكثر من 34 حادث مروري أودت","Tweet","زين العابدين | Zain al-Abidin","DeirEzzore","5/19/2025, 12:56:26 AM","11","15","1","240","14113","7","ar","No","Twitter for Android","","https://x.com/DeirEzzore/status/1924222575158370684","","",""
"=""1924221571436081352""","💢 أهم أحداث الجزيرة خلال الساعات الماضية 

حادث جديد أليم هو الثالث خلال أسبوع على طريق «الموت» دير الزور- تدمر، أسفر عن وفاة الشاب ""خضر الشكار"" وزوجتة وهما من أبناء مدينة القورية شرقي دير الزور

عملية تسلل لعناصر ميليـشـيا «قـسـد» نحو جبل الماشي في دير حافر شرقي حلب واستهدفوا","Quoted tweet","زين العابدين | Zain al-Abidin","DeirEzzore","5/19/2025, 12:52:27 AM","10","6","1","166","21760","1","ar","No","Twitter for Android","","https://x.com/DeirEzzore/status/1924221571436081352","","",""
"=""1924221571436081352""","💢 أهم أحداث الجزيرة خلال الساعات الماضية 

حادث جديد أليم هو الثالث خلال أسبوع على طريق «الموت» دير الزور- تدمر، أسفر عن وفاة الشاب ""خضر الشكار"" وزوجتة وهما من أبناء مدينة القورية شرقي دير الزور

عملية تسلل لعناصر ميليـشـيا «قـسـد» نحو جبل الماشي في دير حافر شرقي حلب واستهدفوا","Tweet","زين العابدين | Zain al-Abidin","DeirEzzore","5/19/2025, 12:52:27 AM","10","6","1","166","21760","1","ar","No","Twitter for Android","","https://x.com/DeirEzzore/status/1924221571436081352","","",""
"=""1924221235753255352""","@AlnqlWzart طريق الموت . 

دير الزور دمشق .

من فضلكم النظر في وضع هذا الطريق . https://t.co/mOyQJk5pUS","Reply","M Eido","gewonemens94","5/19/2025, 12:51:07 AM","0","0","0","0","30","0","ar","No","Twitter for Android","","https://x.com/gewonemens94/status/1924221235753255352","video","https://video.twimg.com/ext_tw_video/1924221189062352896/pu/vid/avc1/720x1280/GBc7tAHi3gbMDbce.mp4?tag=12",""
"=""1924198521747411218""","@E7777B لا نحبك بس موضوع اليوم كان بسيط جداً خاصة أن المستثمر سوري ما أشوف فيه عداء لأي دولة وكان بنفس الوقت رد على عنصرية الأتراك علينا  تسمية منشأة أو شارع على أسم رموز لدول أخرة لازم يكون عن طريق الحكومة وبعناية وأتمنى اشوف شارع او شي مبنى فخم على أسم سعود الفيصل رحمة الله عليه","Reply","gassanدير الزور","gassan364","5/18/2025, 11:20:52 PM","0","0","0","0","50","0","ar","No","Twitter for iPhone","","https://x.com/gassan364/status/1924198521747411218","","",""
