"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925251067647857012""","🔴  مـــــتـــــابـــــعـــــات  

المندوب الأميركي في مجلس الأمن الدولي : ندعو سوريا لتوقيع اتفاق سلام مع إسرائيل و تولي مسؤولية حراسة مراكز احتجاز الارهابيين في شمال شرق سوريا

المندوب الامريكي في الأمم المتحدة : نطالب قسد بتسليم السجون لحكومة دمشق","Tweet","جوكر الثورة","Joker2977","5/21/2025, 9:03:18 PM","0","0","0","0","","0","ar","No","Twitter for iPhone","","https://x.com/Joker2977/status/1925251067647857012","","",""
"=""1925250237490151637""","أعلن ألكسندر فينيديكتوف، نائب أمين عام مجلس الأمن الروسي، استعداد بلاده لتقديم الدعم في الحوار بين إيران والولايات المتحدة حول الملف النووي الإيراني، مشيراً إلى أن ""عدم اتفاق الأطراف الأمريكية على حل سلمي للأزمة"" يعقد الموقف. 

#إيران #واشنطن #روسيا https://t.co/Te1BmMUEhw","Tweet","North Africa News","northafrikanews","5/21/2025, 9:00:00 PM","0","0","0","1","6","0","ar","No","Twitter Web App","#إيران, #واشنطن, #روسيا","https://x.com/northafrikanews/status/1925250237490151637","photo","https://pbs.twimg.com/media/GrfRS4PXAAAG7oU.jpg",""
"=""1925250225372815446""","مندوب تركيا في مجلس الأمن: 

الحكومة السورية اتخذت خطوات ملموسة وواعدة لبسط الأمن والاستقرار في البلاد
 
 أكثر من نصف مليون سوري عادوا إلى منازلهم منذ سقوط النظام السابق.","Tweet","نبيل العثمان Nabel Alothman","Nabel_Alothman1","5/21/2025, 8:59:57 PM","0","0","0","0","10","0","ar","No","Twitter for Android","","https://x.com/Nabel_Alothman1/status/1925250225372815446","","",""
"=""1925250082254799120""","@ramiaalibrahim جهاز الأمن الداخلي يعـ.ـتقل ""خالد العبود"" عضو مجلس الشعب السابق.

العدالة الانتقامية 
ليش هاد كمان برقته دم","Reply","Khalilfthabet","Khalilftha31351","5/21/2025, 8:59:23 PM","0","0","0","0","2","0","ar","No","Twitter for iPhone","","https://x.com/Khalilftha31351/status/1925250082254799120","","",""
"=""1925249860204208339""","نددت ممثلة دولة قطر في مجلس الأمن بالانتهاكات الإسرائيلية المتواصلة على الأراضي السورية، ورحبت باعتزام #واشنطن رفع العقوبات عن #سوريا، معتبرة ذلك خطوة داعمة للاستقرار والازدهار.

وأكدت استمرار دعم قطر للتعافي الاقتصادي في سوريا، مشيرة إلى مساهمة مشتركة مع السعودية لسداد مديونية https://t.co/WC2Ie9BbYs","Tweet","الخليج الجديد","thenewkhalij","5/21/2025, 8:58:30 PM","0","0","0","1","114","0","ar","No","Twitter Web App","#واشنطن, #سوريا","https://x.com/thenewkhalij/status/1925249860204208339","photo","https://pbs.twimg.com/media/GrfcarWWEAAwLbs.jpg",""
"=""1925249739055874346""","بناء على توجيهات رئيس مجلس الوزراء بالإنابة الشيخ فهد يوسف سعود الصباح
 
وزارة الداخلية تنفذ حملات أمنية في جليب الشيوخ ضمن جهودها لتعزيز الأمن والنظام
 
- أسفرت عن 191 ضبطية متنوعة وضبط 301 متهم وإبعاد 249 شخصا عن البلاد إلى جانب ضبط 52 مطلوبا https://t.co/13S3CS1fiU","Tweet","صحيفة وجوه الإلكترونية","Faces_News","5/21/2025, 8:58:01 PM","0","0","0","0","21","0","ar","No","Twitter for iPhone","","https://x.com/Faces_News/status/1925249739055874346","photo","https://pbs.twimg.com/media/Grfcbj2W4AADnwC.jpg",""
"=""1925249686329233804""","@RassdNewsN إسرائيل اخترقت جميع القوانين والمواثيق الدولية المتفق عليها من مجلس الأمن ومحكمة العدل ⚖️ الدولية  بدعم أمريكا 🇺🇸 القوى العظمى التى تحكم العالم 🌎 بقوة القانون الدولى يجب معاقبة كل ساهم في الابادة البشرية والتهجير والتطهير العرقى للشعب الفلسطيني الاعزل","Reply","WALEED MOSTAGIR","WMostagir64451","5/21/2025, 8:57:49 PM","0","0","0","0","3","1","ar","No","Twitter for Android","","https://x.com/WMostagir64451/status/1925249686329233804","","",""
"=""1925247987736809768""","بالجنوب بتكون الضيعة  بيتين وتنور و دجاجتين   ديك مخصي و مجلس  بلدي  12 شخص  بيترشح  عليه اكتر من نص  اهل الضيعة  ولك ليييييش روحوا عملوا تفاهم  تزكية و خدموا  هالضيعة و بلا نكايات هيدا مجلس بلدي  مش مجلس  الأمن","Tweet","سهيلا ايوب","ay_shyla","5/21/2025, 8:51:04 PM","4","0","0","12","60","0","ar","No","Twitter for Android","","https://x.com/ay_shyla/status/1925247987736809768","","",""
"=""1925247558793801730""","🔴ممثل الولايات المتحدة في مجلس الأمن:
ترامب رفع العقوبات عن سوريا من أجل الشعب السوري
🔴ندعو سوريا إلى إبرام اتفاقية سلام مع إسرائيل
🔴ندعو دمشق لطرد المقاتلين الأجانب وقادة فصائل الفلسطينية
🔴على دمشق التنسيق مع قوات سوريا الديمقراطية في مسألة حماية سجون تنظيم داعش
#سوريا https://t.co/j28ORlFevq","Tweet","judy ✌🏻","Judy20255","5/21/2025, 8:49:22 PM","1","0","0","5","80","0","ar","No","Twitter for iPhone","#سوريا","https://x.com/Judy20255/status/1925247558793801730","photo","https://pbs.twimg.com/media/GrfacuCXwAIwXmN.jpg",""
"=""1925247339318423969""","مندوب #السعودية في مجلس الأمن السفير عبد العزيز الواصل: ندين توغل قوات الاحتلال الإسرائيلي داخل الأراضي السورية
#سوريا 
#الحدث 
#قناة_الحدث https://t.co/QWZI1bBUTC","Tweet","ا لـحـدث","AlHadath","5/21/2025, 8:48:29 PM","0","0","0","3","2622","0","ar","No","Sprinklr","#السعودية, #سوريا, #الحدث, #قناة_الحدث","https://x.com/AlHadath/status/1925247339318423969","video","https://video.twimg.com/amplify_video/1925247275824992256/vid/avc1/1080x1920/1ynXjOM0wEI0hlcG.mp4?tag=16",""
"=""1925247296792338872""","الأمن العام السوري يلقي القبض على عضو مجلس الشعب السابق خالد العبود، رئيس منظومة التطبيل والتزمير للسفاح بشار الأسد.
#سوريا https://t.co/ocnqGFjIjU","Tweet","loquacious - لوكاسيوس","loquacious_lb","5/21/2025, 8:48:19 PM","0","0","0","1","47","0","ar","No","Twitter Web App","#سوريا","https://x.com/loquacious_lb/status/1925247296792338872","photo","https://pbs.twimg.com/media/GrfZ4T9WYAEwAJh.png",""
"=""1925247056823660769""","لا خيار من أجل الخروج من الحروب المدمّرة سوى التنفيذ الكامل للمبادرة الخليجية وآلياتها التنفيذية ومخرجات الحوار الوطني الشامل وتنفيذ قرارات مجلس الامن الدولي ذات الصلة.
#العيد35_للوحده_اليمنيه","Tweet","faisal lalsrary","Faisalalsrary1","5/21/2025, 8:47:22 PM","0","0","0","0","2","0","ar","No","Twitter for Android","#العيد35_للوحده_اليمنيه","https://x.com/Faisalalsrary1/status/1925247056823660769","","",""
"=""1925246892251742319""","تحوّل دولي تجاه سوريا في مجلس الأمن… دعم متزايد ورفع العقوبات يدخل حيز التنفيذ
https://t.co/Vi2cPecRti","Tweet","سوريا بلس | SY+","SY_plus","5/21/2025, 8:46:43 PM","0","1","0","7","141","1","ar","No","Twitter Web App","","https://x.com/SY_plus/status/1925246892251742319","","","https://www.sy-24.com/150149/"
"=""1925246471588184168""","أفادت صحيفة ""الوطن"" السورية بأن الأجهزة الأمنية اعتقلت عضو مجلس الشعب السوري الأسبق خالد العبود، المعروف بإثارته للجدل من خلال نظرياته حول ""المربعات""، و""رفع حرارة الجغرافيا""، و""تنويم إسرائيل"".
ولم توضح الصحيفة أسباب أو توقيت ومكان الاعتقال، كما لم يصدر أي تعليق رسمي من الأمن https://t.co/UGJ9xUJwUL","Tweet","Kurd Online","kurdonline","5/21/2025, 8:45:02 PM","0","0","0","0","27","0","ar","No","Twitter for Android","","https://x.com/kurdonline/status/1925246471588184168","photo","https://pbs.twimg.com/media/GrfZdSSWEAA028O.jpg",""
"=""1925245956410249239""","🔴#عاجل || مندوب #تركيا في مجلس الأمن:

• الحكومة السورية اتخذت خطوات ملموسة وواعدة لبسط الأمن والاستقرار في البلاد
• أكثر من نصف مليون سوري عادوا إلى منازلهم منذ سقوط النظام السابق https://t.co/3S5zeCKCFx","Tweet","سوريا 12.8","syria128sy","5/21/2025, 8:43:00 PM","0","0","0","3","34","0","ar","No","Twitter for Android","#عاجل, #تركيا","https://x.com/syria128sy/status/1925245956410249239","photo","https://pbs.twimg.com/media/GrfY_eTXQAAcbvD.jpg",""
"=""1925245956322140428""","#تم_القبض 
الأمن العام يتمكن من القبض على عضو مجلس الشعب الأسبق خالد العبود 😁 https://t.co/ISo7uITgX9","Tweet","الإخبارية السورية الأموية","SyrianUmayyad","5/21/2025, 8:42:59 PM","0","0","0","7","285","0","ar","No","Twitter for Android","#تم_القبض","https://x.com/SyrianUmayyad/status/1925245956322140428","photo","https://pbs.twimg.com/media/GrfY_rHWUAEpotv.jpg",""
"=""1925245681213620279""","أعتقد أن الحكومة السورية لن تذهب إلى حالة القطيعة مع روسيا و الصين مهما كانت حجم الضغوطات، هما عضوان دائمان في مجلس الأمن ويمتلكان حق النقض ( الفيتو) وما زالت الحكومة السورية بحاجة إلى تحييدها في كثير من الملفات الأممية وعلى رأسها إزالة التصنيف من قائمة الإرهاب في حال طُرحت","Tweet","ماجد عبد النور","Magedabdelnour1","5/21/2025, 8:41:54 PM","15","6","0","124","2611","2","ar","No","Twitter for iPhone","","https://x.com/Magedabdelnour1/status/1925245681213620279","","",""
"=""1925245512011087985""","في كلمة أمام مجلس الأمن، قال ممثل الولايات المتحدة إن الرئيس ترامب ""رفع العقوبات عن سوريا من أجل الشعب السوري""، داعياً دمشق إلى إبرام اتفاقية سلام مع اسراىيل، وضرورة التنسيق مع قوات سوريا الديمقراطية في ملف حماية سجون د1عش","Tweet","الإعلامي هاوار هبو","hawarhebo99","5/21/2025, 8:41:14 PM","10","1","0","42","1145","3","ar","No","Twitter for iPhone","","https://x.com/hawarhebo99/status/1925245512011087985","","",""
"=""1925245461251948576""","أعرب مبعوث الصين في مجلس الأمن عن قلق بلاده من تصاعد العنف في جنوب #سوريا، مطالبًا الحكومة السورية الانتقالية باتخاذ إجراءات فاعلة لوقف هذا التدهور. وأكد أن سوريا يجب ألا تكون ملاذًا آمنًا للجماعات الإرهابية، محذرًا من خطر المقاتلين الأجانب، وخاصة ""الحزب التركستاني الإسلامي""،","Tweet","Kurd Online","kurdonline","5/21/2025, 8:41:01 PM","0","0","0","0","3","0","ar","No","Twitter for Android","#سوريا","https://x.com/kurdonline/status/1925245461251948576","","",""
"=""1925245270465405168""","لا ولكن أيد تعيينه على رأس مجلس الامن الدولي فالعالم يحتاج رجل عادل غير طائفي مثله اما العرب فلن يحكمهم إلا الروم","Tweet","houchati Smail","HouchatiSmail","5/21/2025, 8:40:16 PM","0","0","0","0","4","0","ar","No","Twitter for Android","","https://x.com/HouchatiSmail/status/1925245270465405168","","",""
"=""1924922421301166089""","هل تؤيد ترشيح السيد عبد الملك بن بدر الدين الحوثي حفظه الله ،❤️🇾🇪❤️
قائداً للعرب والمسلمين؟؟؟؟ https://t.co/FUJKr4zdle","Quoted tweet","الشيخ د. موسى الخلف","Moussa_Alkhalaf","5/20/2025, 11:17:23 PM","1305","324","38","3983","241855","31","ar","No","Twitter for Android","","https://x.com/Moussa_Alkhalaf/status/1924922421301166089","photo","https://pbs.twimg.com/media/Grays21XUAASbPJ.jpg",""
"=""1925243915122176458""","مجلس الأمن يشيد بانفراجة تاريخية في الملف السوري: ترحيب دولي برفع العقوبات وعودة العلاقات الدبلوماسية  …….نيويورك – BAZ News https://t.co/lVlWlR4LAS","Tweet","وكالة BAZ الاخبارية","baznewz","5/21/2025, 8:34:53 PM","0","0","0","0","13","0","ar","No","Twitter for iPhone","","https://x.com/baznewz/status/1925243915122176458","","","https://baznews.net/%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d8%a3%d9%85%d9%86-%d9%8a%d8%b4%d9%8a%d8%af-%d8%a8%d8%a7%d9%86%d9%81%d8%b1%d8%a7%d8%ac%d8%a9-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae%d9%8a%d8%a9-%d9%81%d9%8a-%d8%a7%d9%84/"
"=""1925243599475593271""","اعتقال عضو مجلس الشعب السابق، خالد العبود، الذي ينحدر من بلدة النعيمة في ريف محافظة درعا الشرقي، من قِبل عناصر الأمن العام، يُرجح أن ""العبود"" لم يُعتقل في بلدة النعيمة.

للمزيد: https://t.co/V7Z3e2fuHo

#سوريا #درعا #خالد_العبود #درعا24 https://t.co/Iluh2qgZUX","Tweet","Daraa 24 - 24 درعا","Daraa24_24","5/21/2025, 8:33:38 PM","0","0","0","1","146","0","ar","No","Twitter Web App","#سوريا, #درعا, #خالد_العبود, #درعا24","https://x.com/Daraa24_24/status/1925243599475593271","photo","https://pbs.twimg.com/media/GrfWvxLWEAAt1HE.jpg","https://www.facebook.com/daraa24.24/posts/pfbid022rouXD7UfpGv6o222T2ZL9MG7m34aSRVDmCnp6bx1EcsypJnEhqxPU2KA5jHUEaGl?__cft__[0]=AZVebgkYkGAGUPHk_1oMVSo2xFwN5L94XsnEkn4QLmfh0dly6SGeQ-enxEJ6_X1BIiAfdpndR6b-AxO7fBGJFWWowL3F8fTC40xGBkF2NCBnG20lTXm-ySpUfaVWRIIlO4Gnf-Ysrs1FAfyXE-xDpW8YwwDFGYK9VuvxvWeyvvSTH0sWMxzwqAQL7xLy9F9uGsY&__tn__=%2CO%2CP-R"
"=""1925243282629558617""","المندوب الأميركي في مجلس الأمن الدولي: يجب أن تتولى الحكومة السورية الشرعية مسؤولية مراكز احتجاز مقاتلي تنظيـم داعـش في الحسكة
في رسالة واضحة الى ميليشيا @SDF_Syria بانتهاء مهمتها .","Tweet","DR.MILAD✝️ الحساب البديل","theangelqa","5/21/2025, 8:32:22 PM","1","0","0","20","175","1","ar","No","Twitter for Android","","https://x.com/theangelqa/status/1925243282629558617","","",""
"=""1925243006036172932""","@IsraelArabic إسرائيل 🇮🇱 اخترقت جميع القوانين والمواثيق الدولية المتفق عليها من مجلس الأمن ومحكمة العدل ⚖️ الدولية  تسقط أمريكا 🇺🇸 تسقط إسرائيل 🇮🇱 تسقط محكمة العدل الدولية الصهيونية يسقط مجلس الأمن والخزى والعار تسقط جميع المنظمات الحقوقية","Reply","WALEED MOSTAGIR","WMostagir64451","5/21/2025, 8:31:16 PM","0","0","0","1","11","0","ar","No","Twitter for Android","","https://x.com/WMostagir64451/status/1925243006036172932","","",""
"=""1925242574656155891""","الأمن العام يعتقل عضو مجلس الشعب السابق خالد العبود. https://t.co/cq26a7NE3S","Tweet","أخبار سوريا الوطن Syrian","SyriawatanNews","5/21/2025, 8:29:33 PM","0","0","0","3","336","1","ar","No","Twitter for Android","","https://x.com/SyriawatanNews/status/1925242574656155891","photo","https://pbs.twimg.com/media/GrfV6xuWsAAwyCy.jpg",""
"=""1925242458775966165""","@AvichayAdraee تسقط أمريكا 🇺🇸 تسقط إسرائيل 🇺🇸  تسقط محكمة العدل ⚖️ الدولية الصهيونية يسقط مجلس الأمن والخزى والعار تسقط جميع المنظمات الحقوقية https://t.co/7EwsY6tjCS","Reply","WALEED MOSTAGIR","WMostagir64451","5/21/2025, 8:29:06 PM","0","0","0","1","13","0","ar","No","Twitter for Android","","https://x.com/WMostagir64451/status/1925242458775966165","photo","https://pbs.twimg.com/media/GrfVzyqXMAEx6IQ.jpg, https://pbs.twimg.com/media/GrfVGvHX0AAwNui.jpg, https://pbs.twimg.com/media/GrfUx_BWoAALuGJ.jpg, https://pbs.twimg.com/media/GrfVj9UW0AAfkTS.jpg",""
"=""1925242397354606619""","@ajmubasher إسرائيل 🇮🇱 اخترقت جميع القوانين والمواثيق الدولية المتفق عليها. واضح ان قارة آسيا 🌏 الكبرى ملهاش كبير  . أوروبا 🇪🇺 القارة العجوز تتحكم فى أكبر قارات العالم 🌎 تسقط أمريكا 🇺🇸 تسقط إسرائيل 🇮🇱 تسقط محكمة العدل ⚖️ الدولية الصهيونية يسقط مجلس الأمن والخزى والعار تسقط جميع المنظمات","Reply","WALEED MOSTAGIR","WMostagir64451","5/21/2025, 8:28:51 PM","0","0","0","1","13","0","ar","No","Twitter for Android","","https://x.com/WMostagir64451/status/1925242397354606619","","",""
"=""1925242385664987381""","#عاجل | ممثل #الإمارات في مجلس الأمن نيابة عن المجموعة العربية: 
📌 الدعم العربي والدولي المتكامل لتعزيز جهود بناء الدولة السورية بما يراعي إرساء أسس السلام
📌نرفض كل أشكال التقسيم في سوريا وأي تدخل خارجي وندعم كل خطوات الحوار والوحدة","Tweet","حيدر الحسن","HAIDER73237","5/21/2025, 8:28:48 PM","1","0","0","0","30","0","ar","No","Twitter for iPhone","#عاجل, #الإمارات","https://x.com/HAIDER73237/status/1925242385664987381","","",""
"=""1925242338512629993""","مندوب تركيا في مجلس الأمن:
📌 الحكومة السورية اتخذت خطوات ملموسة وواعدة لبسط الأمن والاستقرار في البلاد
📌 أكثر من نصف مليون سوري عادوا إلى منازلهم منذ سقوط النظام السابق... https://t.co/avR95K0XZj","Tweet","السوریة","AmanullahN38916","5/21/2025, 8:28:37 PM","0","0","0","1","14","0","ar","No","Twitter for Android","","https://x.com/AmanullahN38916/status/1925242338512629993","photo","https://pbs.twimg.com/media/GrfVsZTWUAAi8Mk.jpg",""
"=""1925242314152165747""","مندوب المملكة العربية السعودية في مجلس الأمن:
📌 السعودية تنظر بإيجابية إلى التطورات الأخيرة في سوريا.
📌 كانت وما زالت حريصة على دعم الشعب السوري في جميع المحن التي مرّ بها.
📌 نُشيد بـ استجابة الرئيس الأميركي لطلب السعودية في رفع العقوبات عن سوريا.","Tweet","صهيب اليعربي","SOHEB2019","5/21/2025, 8:28:31 PM","0","1","0","16","591","0","ar","No","Twitter for Android","","https://x.com/SOHEB2019/status/1925242314152165747","","",""
"=""1925242208413720897""","🟥 | المندوب الصيني في مجلس الأمن : على المجتمع الدولي زيادة الدعم لــ سوريا ..

🟥 | المندوب الأميركي في مجلس الأمن الدولي :
✅ نعمل حاليا على تنفيذ قرار الرئيس ترمب برفع العقوبات عن سوريا
✅ رفع العقوبات بداية لإطلاق عجلة الاستقرار والازدهار في سوريا ..
✅ بدأنا بإعادة العلاقات","Tweet","شبكة أخبار سوريا","SyrNetworkNews","5/21/2025, 8:28:06 PM","0","1","0","12","1044","1","ar","No","Twitter for Android","","https://x.com/SyrNetworkNews/status/1925242208413720897","","",""
"=""1925242144010211646""","مجلس الأمن يناقش الوضع الإنساني في #سوريا 

#بترا 

https://t.co/14QMldewV8 https://t.co/lZIRMSmJHx","Tweet","Jordan News Agency","Petranews","5/21/2025, 8:27:51 PM","0","0","0","0","130","0","ar","No","Twitter Web App","#سوريا, #بترا","https://x.com/Petranews/status/1925242144010211646","photo","https://pbs.twimg.com/media/GrfVdszWwAAXnZT.jpg","https://www.petra.gov.jo/Include/InnerPage.jsp?ID=314381&lang=ar&name=news&cat=news"
"=""1925241726865674532""","مبعوث الصين في مجلس الأمن:

 - قلقون من تصاعد العنف جنوب سوريا.
 - على الحكومة السورية وضع حد لهذا التدهور.
 - سوريا لا يجب أن تكون ملاذًا آمنًا للإرهاب.
 - المقاتلون الأجانب، وخاصة “الحزب التركستاني الإسلامي”، يهددون استقرار المنطقة.","Tweet","حيدر الحسن","HAIDER73237","5/21/2025, 8:26:11 PM","1","0","0","0","21","0","ar","No","Twitter for iPhone","","https://x.com/HAIDER73237/status/1925241726865674532","","",""
"=""1925241400628560114""","🟠دعوات دولية للتنسيق بين دمشق وقسد في مجلس الأمن

🌐عرض المزيد (https://t.co/usxyJKL19O) 

🔔 وكالة أنباء هاوار #ANHA  
  
🦋موقعنا على بلوسكاي https://t.co/yCRn2WArow

📱 موقعنا على https://t.co/VqKJAXJOiE X

📱 لحظة بلحظة عبر الواتس اب https://t.co/uYaO7de5kR https://t.co/DvAd1Fok6I","Tweet","ANHA عربية","hawarnews1","5/21/2025, 8:24:53 PM","0","0","0","0","11","0","ar","No","Twitter Web App","#ANHA","https://x.com/hawarnews1/status/1925241400628560114","photo","https://pbs.twimg.com/media/GrfU1hsWcAEdkOr.png","https://hawarnews.com/ar/123323, https://short-link.me/11TxY, https://short-link.me/YUNs, https://x.com/hawarnews1/status/1925241400628560114/photo/1, https://x.com/hawarnews1"
"=""1925241398208413718""","المندوب الأميركي في مجلس الأمن الدولي:
📌نعمل حاليا على تنفيذ قرار الرئيس ترمب برفع العقوبات عن سوريا       
📌رفع العقوبات بداية لإطلاق عجلة الاستقرار والازدهار في سوريا
📌بدأنا بإعادة العلاقات الدبلوماسية مع سوريا
📌ندعو سوريا لتوقيع اتفاق سلام مع إسرائيل 
📌نطالب الحكومة","Tweet","Maissa Kabbani","MaissaAlkabbani","5/21/2025, 8:24:53 PM","16","19","1","239","2930","1","ar","No","Twitter for iPhone","","https://x.com/MaissaAlkabbani/status/1925241398208413718","","",""
