"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1887082085506052129""","تستمر سياسة التجويع في ""سوريا الشرع"" ..

قرار يقضي بمنح إجازة ٣ اشهر لمئات الموظفين من مهندسين و فنيين في محطة جندر الكهربائية تمهيدًا لفصلهم. https://t.co/Ov0oZBWDEM","Tweet","المرصد الوطني السوري لانتهاكات حقوق الإنسان","mcgui12","2/5/2025, 1:13:24 PM","0","0","0","1","73","0","ar","No","Twitter Web App","","https://x.com/mcgui12/status/1887082085506052129","photo","https://pbs.twimg.com/media/GjBDGLmW4AAZSB0.jpg, https://pbs.twimg.com/media/GjBDJV8XEAADHWQ.jpg",""
"=""1923768709954285766""","أن تكون مُغتربًا في قاموس سجن الوادي الجديد لا يعني أنك نُقلت؛ بل يعني أنك وُضعت في مفرمة قهرٍ جديدة، تبدأ من لحظة نزولك من عربة الترحيلات.

حفلات الضرب تبدأ فور الوصول، حفاة عراة مُقيَّدون يُطرَحون أرضًا ويتناوب المخبرون والجنائيون على ضربهم ضربًا لا ينجو منه موضع في الجسد، https://t.co/FFggNypqIQ","Tweet","جِوار - Jewar","Jewar0","5/17/2025, 6:52:57 PM","3","16","2","39","806","0","ar","No","Twitter Web App","","https://x.com/Jewar0/status/1923768709954285766","photo","https://pbs.twimg.com/media/GrKZcJ-WgAAfru3.jpg",""
"=""1925153111506600397""","#جريمة مروّعة في ريف #حمص الجنوبي
في محطة جندر لتوليد الكهرباء، عُثر على جثمان الموظف محمد مهيوب عبود (مواليد 1975 – طرطوس)، مقيّد ومذبوح بطريقة بشعة.
الضحية كان يعمل مساعد مهندس. https://t.co/QWZ8SJpWDN","Tweet","Alexander the Great","syrian_user","5/21/2025, 2:34:04 PM","0","0","0","0","48","0","ar","No","Twitter for Android","#جريمة, #حمص","https://x.com/syrian_user/status/1925153111506600397","photo","https://pbs.twimg.com/media/GreEjVfWsAACOVJ.jpg",""
"=""1912730999533809831""","الفَجر ــ محطة قطار طنطا.

وَلِلَّهِ الْمَشْرِقُ وَالْمَغْرِبُ ۚ فَأَيْنَمَا تُوَلُّوا فَثَمَّ وَجْهُ اللَّهِ ۚ إِنَّ اللَّهَ وَاسِعٌ عَلِيمٌ ( البقرة : ١١٥ ) https://t.co/x3SIZRIhEL","Tweet","عبدالغفار ربنا يسعد قلبه🕊","AbdelGhaffarAn1","4/17/2025, 7:53:01 AM","0","15","0","229","6630","3","ar","No","Twitter for Android","","https://x.com/AbdelGhaffarAn1/status/1912730999533809831","photo","https://pbs.twimg.com/media/GotisV2WoAAOUua.jpg",""
"=""1316807105010073601""","تكريم عدد من العمال المتميزين في محطة جندر لتوليد الكهرباء و المتفوقين من أبناء الطبقة العاملة في حمص. https://t.co/JElX0YTGll","Tweet","Syrian 🇸🇾⚔️","Tiger_forces_","10/15/2020, 9:24:13 PM","0","0","0","1","","0","ar","No","Twitter for iPhone","","https://x.com/Tiger_forces_/status/1316807105010073601","photo","https://pbs.twimg.com/media/EkY9FEeX0AAgKqd.jpg, https://pbs.twimg.com/media/EkY9FElXsAAaKkJ.jpg, https://pbs.twimg.com/media/EkY9FEnWsAAmWMk.jpg, https://pbs.twimg.com/media/EkY9FEeXYAE9xIb.jpg",""
"=""1925129449181196325""","ظهر الأحد، 21 أيار 2000:
بلاغ يصل من غرفة عمليات المقاومة الإسلامية إلى قائد ميداني في الغندورية بالاستعداد ورفع الجهوزية للتقدّم إلى القنطرة بعد انسحاب العدو تحت النار من موقعي ""الصلعة"" و""المحيسبات""، وكانت تلك أولى خطوات المقاومين وخلفهم الأهالي إلى المنطقة المحررة بالقوّة.. https://t.co/aJgjhGCGOL","Tweet","د.صالح","NewDsaleh83","5/21/2025, 1:00:02 PM","0","8","3","68","1804","7","ar","No","Twitter Web App","","https://x.com/NewDsaleh83/status/1925129449181196325","photo","https://pbs.twimg.com/media/GrVXJjQWsAA7pTm.jpg",""
"=""1925205966812741887""","🔴 جريمة مروّعة في ريف حمص الجنوبي
في محطة جندر لتوليد الكهرباء، عُثر على جثمان الموظف محمد مهيوب عبود (مواليد 1975 – طرطوس)، مقيّد ومذبوح بطريقة بشعة.
الضحية كان يعمل مساعد مهندس… والجريمة تفتح بابًا واسعًا للأسئلة.

🔴الحدث وقع في منطقة تُعاني من الفوضى وانعدام الأمان…
  صورة https://t.co/4ZEiZjfyZi","Tweet","Bülent Kılıç","BlntklKl","5/21/2025, 6:04:05 PM","0","0","0","0","26","0","ar","No","Twitter for iPhone","","https://x.com/BlntklKl/status/1925205966812741887","photo","https://pbs.twimg.com/media/Gre0nxCWAAAjesh.jpg",""
"=""1887119601047044283""","يجوعون الشعب ويقولون تحسنت الليرة السورية!
تستمر سياسة #التجويع في ""سوريا الشرع"" ..
قرار يقضي بمنح إجازة ٣ اشهر لمئات الموظفين من مهندسين و فنيين في محطة جندر الكهربائية تمهيدًا لفصلهم. https://t.co/XzpALBZ83f","Tweet","المرصد الوطني السوري لحقوق الإنسان!","nur_al_yasmin","2/5/2025, 3:42:28 PM","1","4","0","17","709","1","ar","No","Twitter for Android","#التجويع","https://x.com/nur_al_yasmin/status/1887119601047044283","photo","https://pbs.twimg.com/media/GjBlRk5XUAA-jki.jpg, https://pbs.twimg.com/media/GjBlRlIXcAE7c9o.jpg, https://pbs.twimg.com/media/GjBlRjOWcAAD-oM.jpg, https://pbs.twimg.com/media/GjBlRlCWgAAxAG_.jpg",""
"=""1422117484791058433""","#د24 :
لليوم الثاني على التوالي انقطاع التيار الكهربائي عن مناطق سيطرة نظام الأسد في #ديرالزور بسبب عطل فني على خط التوتر 230 المغذي لها بالقرب من محطه جندر. https://t.co/wmr6f8732Z","Tweet","ديرالزور24","DeirEzzor24","8/2/2021, 11:50:04 AM","0","0","0","1","","0","ar","No","Twitter Web App","#د24, #ديرالزور","https://x.com/DeirEzzor24/status/1422117484791058433","photo","https://pbs.twimg.com/media/E7xgTXyXMAEOgzt.jpg",""
"=""1923105418055909470""","الوادي الجديد.. سجن أم مقبرة؟

في عمق الصحراء حيث لا عين ترى ولا أذن تسمع؛ بُني سجن الوادي الجديد ليكون خندقًا للعزل الكامل، وساحةً للموت البطيء.

أُنشئ هذا السجن ليكون كنز قطاع الأمن الوطني، حيث لا رقابة ولا مساءلة، زنازينه تبتلع أكثر من 1500 معتقل، صُمّمت لتكون محكمة الإغلاق، https://t.co/t4pe9q4acJ","Tweet","جِوار - Jewar","Jewar0","5/15/2025, 10:57:15 PM","1","0","0","2","382","0","ar","No","Twitter Web App","","https://x.com/Jewar0/status/1923105418055909470","photo","https://pbs.twimg.com/media/GrA9d-KXwAAKE4L.jpg, https://pbs.twimg.com/media/GrA9-SWXQAA7LSC.jpg, https://pbs.twimg.com/media/GrA9_MXWUAAOxYJ.jpg",""
