"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1925264751313015219""","@shibl91 نطالب بعزل محافظ السويداء مصطفى البكور وتعيين الجنرال ابو عمشة بديلاً","Reply","011resalh","011resalh","5/21/2025, 9:57:41 PM","0","0","0","0","","0","ar","No","Twitter Web App","","https://x.com/011resalh/status/1925264751313015219","","",""
"=""1925264612267610177""","@Omar_Madaniah نطالب بعزل محافظ السويداء مصطفى البكور وتعيين الجنرال ابو عمشة بديلاً","Reply","011resalh","011resalh","5/21/2025, 9:57:07 PM","0","0","0","0","1","0","ar","No","Twitter Web App","","https://x.com/011resalh/status/1925264612267610177","","",""
"=""1925264511843303789""","لو كنت مكانك 
والله لتركتها واغلقت كل الطرق عليهم
هؤلاء شُذّاذ الأفعال لا 🙅‍♂️ يليق بهم شخص 
حكيم وعاقل مثلك #مصطفى_البكور 
#محافظ_السويداء
#سوريا https://t.co/XY981NnhXB","Tweet","ABD || عَبدُالرّحمٰنْ","ABD_Sy963","5/21/2025, 9:56:43 PM","0","0","0","0","8","0","ar","No","Twitter for iPhone","#مصطفى_البكور, #محافظ_السويداء, #سوريا","https://x.com/ABD_Sy963/status/1925264511843303789","photo","https://pbs.twimg.com/media/Grfp3rlWwAAWSBe.jpg",""
"=""1925264236441198920""","الأخبثين يذهب بخشوع الصلاة ويمنع الاتيان بها على الكمال ويحمله على العجلة ولا يضر ذلك في اللبس
كتاب الشرح الكبير على المقنع للإمام شمس الدين ابن قدامة
 فوائد البكور لابن النقيب","Reply","مصطفى النقيب","hRJSq3BFmEhyAxp","5/21/2025, 9:55:38 PM","0","0","0","0","1","0","ar","No","Twitter for Android","","https://x.com/hRJSq3BFmEhyAxp/status/1925264236441198920","","",""
"=""1925264196247462205""","مصادر محلية لـ""الوطن"": 

- اعتدت مجموعة خارجة عن القانون بقوة السلاح على محافظ السويداء الدكتور مصطفى البكور أثناء أدائه عمله في مكتبه في مبنى المحافظة بالسويداء.

- أثناء الاعتداء قامت المجموعة الخارجة عن القانون بمصادرة أجهزة الاتصال الخاصة بالمحافظ.

- تم استخدام الأجهزة","Tweet","المدونة السورية","Syrian_Blog","5/21/2025, 9:55:28 PM","0","0","0","1","22","0","ar","No","Twitter for Android","","https://x.com/Syrian_Blog/status/1925264196247462205","","",""
"=""1925264094094884938""","مراسل ستيب نيوز: تشهد السويداء استنفارا للفصائل العسكرية المندمجة مع الحكومة السورية وذلك عقب الاعتداء على محافظ السويداء مصطفى البكور صباح اليوم الأربعاء وذلك من قبل مجموعة مسلحة تطالب بإطلاق سراح ابنها المتهم بارتكاب عمليات سرقة و سيستمر الاستنفار طيلة الأيام القادمة دعما https://t.co/5ql7kBPJEJ","Tweet","Step News Agency - وكالة ستيب نيوز","Step_Agency","5/21/2025, 9:55:04 PM","0","0","0","0","90","0","ar","No","Twitter for iPhone","","https://x.com/Step_Agency/status/1925264094094884938","photo","https://pbs.twimg.com/media/GrfperxWQAAYMUc.jpg",""
"=""1925263974548783126""","@Magedabdelnour1 كان لؤي العلي و وفيق ناصر ضباط في عصابات الأسد يسحلوا الكبير والصغير في السويداء واكبر شارب لدى مشايخ العقل كانوا ينتفوا، 
وبالمقابل محافظ السويداء مصطفى البكور تعامل معهم بعقلية ابناء الوطن واحد الجميع تحت سقف القانون وعاملهم بكل أخلاق
وماكان منهم الأ أهانة المحافظ","Reply","احمد المحمد","AhmdAlmhmd1","5/21/2025, 9:54:35 PM","0","0","0","0","21","0","ar","No","Twitter for Android","","https://x.com/AhmdAlmhmd1/status/1925263974548783126","","",""
"=""1925263454128013738""","وإذا وقع عليه باطل لاقت ظلمته القلب المشرق بنور اليقين فينفر النور ولم يمتزج معه فاضطرب القلب وجاش. ففرق ما بين كلام النبوة وكلام غيرهم لائح واضح عند العلماء بالله وبأحكامه العاملين عليها
فوائد البكور لابن النقيب","Reply","مصطفى النقيب","hRJSq3BFmEhyAxp","5/21/2025, 9:52:31 PM","0","0","0","0","2","0","ar","No","Twitter for Android","","https://x.com/hRJSq3BFmEhyAxp/status/1925263454128013738","","",""
"=""1925263329410289988""","@i_99sy @k7ybnd99 احترم نفس ياولد مصطفى البكور مقاتل وقائد عسكري تهذب بالحديث عليه والنهج اللي كان ماشي فيه هو تعليمات الفاتح واختاره للبكور لانه بطبعه حليم وهادئ ! مين يبعثلك للقرود ابو يقظان عشان يحرق السويداء !!!!!","Reply","ابو معاذ السوري","Mssar00964","5/21/2025, 9:52:02 PM","0","0","0","0","30","0","ar","No","Twitter for iPhone","","https://x.com/Mssar00964/status/1925263329410289988","","",""
"=""1925263298036982270""","#السويداء
 مجموعة خارجة عن القانون أعتدت بقوة السلاح على محافظ #السويداء ""مصطفى البكور"" أثناء عمله في مبنى المحافظة

  المجموعة سلبت أجهزة الاتصال الخاصة بالمحافظ

 المجموعة استخدمت الأجهزة للتواصل مع النائب العام بـ #دمشق وطلبت منه إخراج سجناء متهمين بأحكام جنائية

  المجموعة","Tweet","المرصد السوري_Syrian Observatory","AlmarsadSyria","5/21/2025, 9:51:54 PM","0","0","0","2","63","0","ar","No","Twitter for Android","#السويداء, #السويداء, #دمشق","https://x.com/AlmarsadSyria/status/1925263298036982270","","",""
"=""1925263108060164250""","مجموعة مسلحة تعتدي على محافظ #السويداء مصطفى البكور في مكتبه https://t.co/TY8T03UNAy","Tweet","WelatTv عربية","welattvAr","5/21/2025, 9:51:09 PM","0","0","0","0","40","0","ar","No","Twitter Web App","#السويداء","https://x.com/welattvAr/status/1925263108060164250","photo","https://pbs.twimg.com/media/GrfolWPXUAAc2gA.jpg",""
